i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:tower1_0;pos:73.94851,112.8689,682.7156;rot:0,184.5333,0;m:tower1;scl:1,2.5,10;;
i:tower1_1;pos:-558.9412,142.3069,-656.0129;rot:0,0.01461135,0;m:tower1;scl:8,2,8;;
i:tower1_2;pos:662.5258,145.0938,20.54735;rot:0,266.6825,0;m:tower1;scl:8,2,8;;
i:tower1_3;pos:-670.5658,141.9362,134.8203;rot:0,101.1777,0;m:tower1;scl:8,2,8;;
i:cuboid_4;pos:-9.946877,0.4215539,-0.4943382;rot:0,359.9854,0;m:cuboid;scl:5,0.2,5;t:stone1;;
i:tower1_5;pos:463.3265,140.7736,493.2719;rot:0,225.1867,0;m:tower1;scl:8,2,8;;
i:tower1_6;pos:420.789,140.8232,532.7336;rot:0,220.6697,0;m:tower1;scl:8,2,8;;
i:tower1_7;pos:375.3077,141.0996,569.0446;rot:0,215.9549,0;m:tower1;scl:8,2,8;;
i:tower1_8;pos:502.9372,140.8263,449.7839;rot:0,230.3708,0;m:tower1;scl:8,2,8;;
i:tower1_9;pos:538.4368,140.8277,403.1467;rot:0,235.2546,0;m:tower1;scl:8,2,8;;
i:tower1_10;pos:596.8578,140.2925,301.4524;rot:0,245.3345,0;m:tower1;scl:8,2,8;;
i:tower1_11;pos:569.8035,140.2513,353.6849;rot:0,240.0793,0;m:tower1;scl:8,2,8;;
i:tower1_12;pos:636.6783,140.2189,192.3616;rot:0,254.3345,0;m:tower1;scl:8,2,8;;
i:tower1_13;pos:619.084,140.2401,247.2958;rot:0,250.1793,0;m:tower1;scl:8,2,8;;
i:cuboid_14;pos:-9.935983,0.4672787,49.49375;rot:0,0.03436858,0;m:cuboid;scl:5,0.2,5;t:stone1;;
i:cuboid_15;pos:-34.47674,14.93553,-0.4952068;rot:0,270.0004,0;m:cuboid;scl:5,3,0.1;t:stone1;;
i:cuboid_16;pos:-34.46616,16.24657,49.44014;rot:0.3199997,270.0205,-4.535743E-07;m:cuboid;scl:5,3,0.1;t:stone1;;
i:cuboid_17;pos:14.58243,14.95942,-0.4733658;rot:0,270.0018,0;m:cuboid;scl:5,3,0.1;t:stone1;;
i:cuboid_18;pos:14.61415,14.96922,49.47893;rot:0,90.05016,0;m:cuboid;scl:5,3,0.1;t:stone1;;
i:cuboid_19;pos:-9.906981,14.91219,74.07976;rot:0,180.0411,0;m:cuboid;scl:5,3,0.1;t:stone1;;
i:cuboid_20;pos:-23.14359,14.9213,-25.01361;rot:0,359.9776,0;m:cuboid;scl:5,3,0.1;t:stone1;;
i:cuboid_21;pos:33.33084,14.95992,-24.98483;rot:0,359.9074,0;m:cuboid;scl:5,3,0.1;t:stone1;;
i:cuboid_22;pos:-32.38791,9.504174,24.49377;rot:0,0.007135976,0;m:cuboid;scl:0.5,0.1,10;t:bark1;;
i:cuboid_23;pos:-30.37729,4.868379,24.40114;rot:0,269.9585,0;m:cuboid;scl:0.1,1,0.1;t:bark1;;
i:cuboid_24;pos:-30.37348,4.852971,49.45028;rot:0,269.9134,0;m:cuboid;scl:0.1,1,0.1;t:bark1;;
i:cuboid_25;pos:-30.38125,4.841704,-0.5161023;rot:0,270.0455,0;m:cuboid;scl:0.1,1,0.1;t:bark1;;
i:cuboid_26;pos:-30.3715,4.821453,12.03198;rot:0,269.6437,0;m:cuboid;scl:0.1,1,0.1;t:bark1;;
i:cuboid_27;pos:-30.36828,4.876309,36.89528;rot:0,270.2883,0;m:cuboid;scl:0.1,1,0.1;t:bark1;;
i:cuboid_28;pos:-30.38815,4.862713,-13.11056;rot:0,269.8143,0;m:cuboid;scl:0.1,1,0.1;t:bark1;;
i:cuboid_29;pos:-30.38032,4.86888,61.95284;rot:0,269.954,0;m:cuboid;scl:0.1,1,0.1;t:bark1;;
i:cuboid_30;pos:-9.942996,21.14454,24.8344;rot:0,359.9191,0;m:cuboid;scl:0.1,0.1,10;t:stone2;;
i:cuboid_31;pos:-33.23212,21.15273,24.69647;rot:0,179.9387,0;m:cuboid;scl:0.1,0.1,10;t:stone2;;
i:cuboid_32;pos:-21.56976,21.11361,24.75444;rot:0,179.9855,0;m:cuboid;scl:0.1,0.1,10;t:stone2;;
i:cuboid_33;pos:13.32158,21.18245,24.69272;rot:0,180.0588,0;m:cuboid;scl:0.1,0.1,10;t:stone2;;
