i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:prism_0;pos:-7.275437,34.31191,89.51825;rot:340.9674,107.7421,180.0281;m:prism;scl:0.06225643,0.0001,0.1549716;clr:255,0,0,255;;
i:prism_1;pos:-5.97059,34.82294,88.73691;rot:17.84794,308.8582,186.7204;m:prism;scl:0.06119557,0.0001,0.2751318;clr:255,0,0,255;;
i:prism_2;pos:-1.020478,34.98459,89.72632;rot:23.84219,268.6999,274.0332;m:prism;scl:0.07994623,0.0001,0.3307102;clr:255,0,0,255;;
i:prism_3;pos:-2.68032,34.49344,89.67299;rot:1.259582,86.98612,86.31059;m:prism;scl:0.08291689,0.0001,0.151757;clr:255,0,0,255;;
i:prism_4;pos:-4.632896,35.01447,88.48012;rot:17.0886,36.72113,180.9759;m:prism;scl:0.1726234,0.0001,0.1457997;clr:255,0,0,255;;
i:prism_5;pos:-3.387154,34.69269,88.91032;rot:349.0262,264.3759,166.7838;m:prism;scl:0.1462945,0.0001,0.3839088;clr:255,0,0,255;;
i:prism_6;pos:-1.979144,34.44441,88.76947;rot:349.0763,226.7914,188.6393;m:prism;scl:0.07934441,0.0001,0.09791238;clr:255,0,0,255;;
i:prism_7;pos:-5.86778,34.82223,89.52489;rot:0.7199345,274.9725,278.6921;m:prism;scl:0.05992716,0.0001,0.1884609;clr:255,0,0,255;;
i:prism_8;pos:-8.283596,35.21227,89.67056;rot:13.68697,92.7289,81.05247;m:prism;scl:0.05915691,0.0001,0.4419865;clr:255,0,0,255;;
i:prism_9;pos:-7.31477,34.52052,89.67286;rot:0.2771685,273.0933,273.258;m:prism;scl:0.08738055,0.0001,0.1509297;clr:255,0,0,255;;
i:prism_10;pos:-8.918571,35.02586,89.73029;rot:26.31374,91.46443,86.36492;m:prism;scl:0.08389805,0.0001,0.3260083;clr:255,0,0,255;;
i:prism_11;pos:-5.897316,34.72893,89.27022;rot:345.3083,116.1655,189.0927;m:prism;scl:0.1118201,0.0001,0.1805028;clr:255,0,0,255;;
i:prism_12;pos:-5.282275,34.99182,88.65295;rot:16.95394,338.9045,183.0892;m:prism;scl:0.1133303,0.0001,0.1639201;clr:255,0,0,255;;
i:prism_13;pos:-6.593184,34.73816,88.60848;rot:15.59445,291.8325,160.6198;m:prism;scl:0.111166,0.0001,0.3788577;clr:255,0,0,255;;
i:prism_14;pos:-7.753922,34.29206,89.29282;rot:335.4592,157.8283,182.7582;m:prism;scl:0.1326524,0.0001,0.1110653;clr:255,0,0,255;;
i:prism_15;pos:-1.658228,35.16511,89.66561;rot:12.06612,267.4126,279.8794;m:prism;scl:0.05574787,0.0001,0.4510961;clr:255,0,0,255;;
i:prism_16;pos:-4.12953,34.80237,89.52558;rot:1.359513,85.09624,80.33827;m:prism;scl:0.05639178,0.0001,0.188818;clr:255,0,0,255;;
i:prism_17;pos:-4.131161,34.68373,89.44614;rot:9.44495,90.00188,192.7414;m:prism;scl:0.03904571,0.0001,0.1902433;clr:255,0,0,255;;
i:prism_18;pos:-2.592339,34.46632,89.27777;rot:353.5179,282.3209,165.5449;m:prism;scl:0.03900049,0.0001,0.2099164;clr:255,0,0,255;;
i:prism_19;pos:-6.029953,36.94621,89.87209;rot:59.09123,253.6572,249.2564;m:prism;scl:0.3865138,0.0001,0.3396962;clr:255,0,0,255;;
i:prism_20;pos:-7.585611,36.08717,89.75813;rot:351.1678,90.01141,100.6098;m:prism;scl:0.3411083,0.0001,0.5855439;clr:255,0,0,255;;
i:prism_21;pos:-10.51488,25.62467,90.56178;rot:318.3069,318.5186,206.5314;m:prism;scl:0.1393777,0.0001,0.2321135;clr:255,0,0,255;;
i:prism_22;pos:-10.75767,26.49638,91.32748;rot:46.29473,195.4644,194.7821;m:prism;scl:0.1414791,0.0001,0.2075548;clr:255,0,0,255;;
i:prism_23;pos:-15.86054,27.67994,93.90617;rot:319.8785,312.7528,306.0648;m:prism;scl:0.2983804,0.0001,0.2700581;clr:255,0,0,255;;
i:prism_24;pos:-16.58893,28.96884,93.97278;rot:62.44986,52.99257,346.7252;m:prism;scl:0.2651595,0.0001,0.4641016;clr:255,0,0,255;;
i:prism_25;pos:-15.67459,26.84001,94.61577;rot:24.60394,143.8513,57.89122;m:prism;scl:0.1385682,0.0001,0.3100027;clr:255,0,0,255;;
i:prism_26;pos:-13.94507,25.06354,92.90149;rot:316.919,307.4142,311.4267;m:prism;scl:0.1357477,0.0001,0.5198689;clr:255,0,0,255;;
i:prism_27;pos:-16.81562,33.11789,103.5336;rot:56.6549,198.7071,79.98812;m:prism;scl:0.1072484,0.0001,0.2270323;clr:255,0,0,255;;
i:prism_28;pos:-16.91493,31.64954,103.03;rot:276.5372,330.1908,327.0764;m:prism;scl:0.1068305,0.0001,0.2404362;clr:255,0,0,255;;
i:prism_29;pos:-15.99808,31.81895,105.183;rot:345.4935,203.8832,85.76623;m:prism;scl:0.3542881,0.0001,0.4407057;clr:255,0,0,255;;
i:prism_30;pos:-16.44062,31.66575,104.103;rot:319.0717,19.25867,275.4283;m:prism;scl:0.3741186,0.0001,0.3618876;clr:255,0,0,255;;
i:prism_31;pos:-7.282253,43.96777,101.5368;rot:354.5717,88.99662,209.6509;m:prism;scl:0.3815858,0.0001,0.6428552;clr:255,0,0,255;;
i:prism_32;pos:-4.85217,44.58263,100.906;rot:24.76433,312.2946,162.3218;m:prism;scl:0.4048242,0.0001,0.4595628;clr:255,0,0,255;;
i:prism_33;pos:-5.962155,25.52948,107.715;rot:278.2173,245.2987,113.9205;m:prism;scl:0.4462689,0.0001,1.344436;clr:255,0,0,255;;
i:prism_34;pos:-7.384774,30.07533,107.4263;rot:35.83803,86.59785,265.9006;m:prism;scl:0.5398654,0.0001,0.4322142;clr:255,0,0,255;;
i:prism_35;pos:-10.53929,33.92709,107.3206;rot:354.7248,243.6698,28.1882;m:prism;scl:0.05726192,0.0001,0.1649176;clr:255,0,0,255;;
i:prism_36;pos:-11.39747,33.93109,106.7047;rot:353.4166,41.7341,332.0667;m:prism;scl:0.05783176,0.0001,0.1340166;clr:255,0,0,255;;
i:prism_37;pos:-5.900613,37.24278,106.4253;rot:40.63831,300.7411,120.1738;m:prism;scl:0.3678735,0.0001,0.5043947;clr:255,0,0,255;;
i:prism_38;pos:-6.358885,36.17292,106.9544;rot:294.7224,216.3471,155.7803;m:prism;scl:0.4048956,0.0001,0.3573848;clr:255,0,0,255;;
i:prism_39;pos:-6.306586,26.89988,89.04001;rot:9.314022,281.7789,291.0425;m:prism;scl:0.1526845,0.0001,0.2130947;clr:255,0,0,255;;
i:prism_40;pos:-7.86979,27.19655,89.15214;rot:24.93854,88.06789,66.99815;m:prism;scl:0.1458666,0.0001,0.3251223;clr:255,0,0,255;;
