i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:sphere_0;pos:-8.5,367.5,-15;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_1;pos:-8,364.5,-15;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_2;pos:-4,357,-2.5;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_3;pos:-9,370.5,-15;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_4;pos:-12,369.5,-9.5;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_5;pos:-10.5,366.5,-9.5;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_6;pos:-7.5,368,-16;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_7;pos:-11,366.5,-6.5;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_8;pos:-3.5,358,-1.5;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_9;pos:-6.5,358.5,-3.5;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_10;pos:-7,371,-16.5;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_11;pos:-6.5,360.5,-1.5;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_12;pos:-6.5,359.5,-2.5;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
i:sphere_13;pos:-3.5,359,-0.5;rot:90,180,0;m:sphere;scl:0.4,0.4,0.4;t:metal1;til:5,5;;
