i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:prism_0;pos:1.227688,11.94131,50.16341;rot:290.9443,166.6079,347.6699;m:prism;scl:0.08771527,0.0001,0.1925193;clr:255,157,46,255;;
i:prism_1;pos:1.654848,13.26371,49.82599;rot:60.02315,283.6832,314.3405;m:prism;scl:0.08696602,0.0001,0.2236294;clr:255,157,46,255;;
i:prism_2;pos:0.697249,11.84777,49.96983;rot:67.56811,325.2598,348.0108;m:prism;scl:0.1324585,0.0001,0.1838742;clr:255,157,46,255;;
i:prism_3;pos:0.421472,11.4,50.05355;rot:331.1544,81.00198,64.77747;m:prism;scl:0.1432633,0.0001,0.1349076;clr:255,157,46,255;;
i:prism_4;pos:0.336418,10.75791,50.13684;rot:34.22502,69.10337,91.60828;m:prism;scl:0.1549068,0.0001,0.1305778;clr:255,157,46,255;;
i:prism_5;pos:0.589237,10.14435,50.22263;rot:273.2667,272.1947,245.9693;m:prism;scl:0.1352087,0.0001,0.230979;clr:255,157,46,255;;
i:prism_6;pos:0.120572,11.86783,49.7698;rot:291.8944,129.5412,34.3975;m:prism;scl:0.09595479,0.0001,0.1772106;clr:255,157,46,255;;
i:prism_7;pos:0.463991,12.41024,49.67485;rot:28.41637,266.0407,290.4778;m:prism;scl:0.1057562,0.0001,0.104718;clr:255,157,46,255;;
i:prism_8;pos:0.350773,9.38653,50.05421;rot:317.8312,240.5063,261.037;m:prism;scl:0.08702887,0.0001,0.09785753;clr:255,157,46,255;;
i:prism_9;pos:0.038614,10.18713,49.94561;rot:79.6786,94.12849,130.1262;m:prism;scl:0.07961915,0.0001,0.2023631;clr:255,157,46,255;;
i:prism_10;pos:-0.590293,12.43689,49.67496;rot:32.26597,96.91861,69.11005;m:prism;scl:0.09094653,0.0001,0.07684692;clr:255,157,46,255;;
i:prism_11;pos:-0.306452,11.89649,49.76048;rot:289.2663,223.6505,336.0337;m:prism;scl:0.07774714,0.0001,0.1801269;clr:255,157,46,255;;
i:prism_12;pos:-0.242394,10.17264,49.95594;rot:82.9455,265.007,217.821;m:prism;scl:0.0650654,0.0001,0.2040662;clr:255,157,46,255;;
i:prism_13;pos:-0.443461,9.336549,50.05193;rot:312.8169,130.9362,98.2065;m:prism;scl:0.07233562,0.0001,0.07775436;clr:255,157,46,255;;
i:prism_14;pos:-0.758463,11.81901,49.98372;rot:69.56067,26.56528,0.0002078109;m:prism;scl:0.114592,0.0001,0.1878008;clr:255,157,46,255;;
i:prism_15;pos:-0.621946,10.16238,50.21128;rot:270,206.5651,0;m:prism;scl:0.114592,0.0001,0.2346364;clr:255,157,46,255;;
i:prism_16;pos:-1.658752,13.25821,49.83419;rot:60.02303,76.31707,45.65981;m:prism;scl:0.08696602,0.0001,0.2236294;clr:255,157,46,255;;
i:prism_17;pos:-1.205748,11.94013,50.15689;rot:290.9443,193.3923,12.32996;m:prism;scl:0.08771527,0.0001,0.1925193;clr:255,157,46,255;;
i:prism_18;pos:0.363057,8.810216,49.94449;rot:35.26438,225,240;m:prism;scl:0.072842,0.0001,0.1016005;clr:255,157,46,255;;
i:prism_19;pos:-0.15472,8.44614,49.70783;rot:328.2826,90,90;m:prism;scl:0.06071884,0.0001,0.05578806;clr:255,157,46,255;;
i:prism_20;pos:0.059299,8.455233,49.70783;rot:337.4999,270,270;m:prism;scl:0.05598538,0.0001,0.07664187;clr:255,157,46,255;;
i:prism_21;pos:-0.443701,8.842814,49.97228;rot:36.72408,142.1349,111.8371;m:prism;scl:0.04897766,0.0001,0.08351482;clr:255,157,46,255;;
i:prism_22;pos:-0.346108,8.572769,49.78619;rot:288.3923,18.60628,199.1052;m:prism;scl:0.05195122,0.0001,0.05861527;clr:255,157,46,255;;
i:prism_23;pos:-2.43095,2.03966,48.45591;rot:355.1167,199.9831,233.5817;m:prism;scl:0.096038,0.0001,0.1722722;clr:54,0,0,255;;
i:prism_24;pos:-2.852171,2.211209,48.58428;rot:21.73472,4.708922,181.7472;m:prism;scl:0.123166,0.0001,0.1530116;clr:54,0,0,255;;
i:prism_25;pos:-2.665122,2.071353,48.93391;rot:349.1548,241.3836,160.9724;m:prism;scl:0.1296827,0.0001,0.126435;clr:54,0,0,255;;
i:prism_26;pos:-2.099026,1.593209,48.37478;rot:8.143173,23.42062,128.7819;m:prism;scl:0.1200001,0.0001,0.1672366;clr:54,0,0,255;;
i:prism_27;pos:-1.792496,1.371269,48.77954;rot:316.2375,246.1169,210.8481;m:prism;scl:0.1269742,0.0001,0.1306748;clr:54,0,0,255;;
i:prism_28;pos:-3.279935,2.37236,48.24696;rot:11.40908,310.1714,158.0429;m:prism;scl:0.1004783,0.0001,0.1064197;clr:54,0,0,255;;
i:prism_29;pos:-3.453445,2.217037,48.63982;rot:335.862,182.0402,184.966;m:prism;scl:0.0956568,0.0001,0.132886;clr:54,0,0,255;;
i:prism_30;pos:-2.877822,1.964997,49.46206;rot:0,63.43493,180;m:prism;scl:0.114592,0.0001,0.131166;clr:54,0,0,255;;
i:prism_31;pos:-1.988465,1.764727,49.29726;rot:45.45493,58.0974,150.677;m:prism;scl:0.06913755,0.0001,0.06011443;clr:54,0,0,255;;
i:prism_32;pos:-1.714205,1.400562,49.21645;rot:312.7108,309.4739,154.3768;m:prism;scl:0.05983625,0.0001,0.1333085;clr:54,0,0,255;;
i:prism_33;pos:-3.946152,2.158309,48.55094;rot:41.06129,356.622,204.9278;m:prism;scl:0.1062413,0.0001,0.1045557;clr:54,0,0,255;;
i:prism_34;pos:-3.828126,2.017549,48.81427;rot:353.9465,225.6373,133.4402;m:prism;scl:0.1019898,0.0001,0.1210987;clr:54,0,0,255;;
i:prism_35;pos:-3.132363,1.809209,49.79776;rot:13.46262,227.9108,129.9669;m:prism;scl:0.07672807,0.0001,0.1399786;clr:54,0,0,255;;
i:prism_36;pos:-3.872147,1.394269,49.36464;rot:323.3895,73.33688,218.9009;m:prism;scl:0.07586977,0.0001,0.1601831;clr:54,0,0,255;;
i:prism_37;pos:-2.349058,1.899438,49.85006;rot:8.015811,138.8444,208.1781;m:prism;scl:0.05531994,0.0001,0.1051644;clr:54,0,0,255;;
i:prism_38;pos:-2.156768,1.894891,49.48366;rot:13.41723,358.6955,153.8137;m:prism;scl:0.0601735,0.0001,0.06319935;clr:54,0,0,255;;
i:prism_39;pos:-1.574071,1.31886,49.4468;rot:43.21287,127.9412,187.8439;m:prism;scl:0.05514679,0.0001,0.1239635;clr:54,0,0,255;;
i:prism_40;pos:-1.385461,1.042767,49.1798;rot:337.3683,0.7769549,141.465;m:prism;scl:0.06417432,0.0001,0.05450463;clr:54,0,0,255;;
i:prism_41;pos:-3.914461,1.67227,49.06867;rot:29.44542,254.5583,123.8504;m:prism;scl:0.07968363,0.0001,0.1264945;clr:54,0,0,255;;
i:prism_42;pos:-4.273888,1.326482,49.05958;rot:300.2808,128.1128,195.8481;m:prism;scl:0.08409668,0.0001,0.09424013;clr:54,0,0,255;;
i:prism_43;pos:-2.759378,1.211255,50.68477;rot:337.2083,212.1241,120.5441;m:prism;scl:0.1289613,0.0001,0.1514244;clr:54,0,0,255;;
i:prism_44;pos:-3.533047,1.22944,49.89746;rot:346.6928,52.20591,241.2199;m:prism;scl:0.1201174,0.0001,0.2548499;clr:54,0,0,255;;
i:prism_45;pos:-2.13342,2.026457,49.91035;rot:315.4019,310.6998,256.2677;m:prism;scl:0.09516232,0.0001,0.09532872;clr:54,0,0,255;;
i:prism_46;pos:-2.238828,2.673379,50.10297;rot:80.2591,213.5002,182.5;m:prism;scl:0.08580327,0.0001,0.1789186;clr:54,0,0,255;;
i:prism_47;pos:-1.420129,1.427017,49.60379;rot:304.0915,297.6654,240.6852;m:prism;scl:0.05362979,0.0001,0.1241811;clr:54,0,0,255;;
i:prism_48;pos:-1.769232,2.558869,49.9438;rot:71.87038,153.3743,151.8777;m:prism;scl:0.05262713,0.0001,0.2114321;clr:54,0,0,255;;
i:prism_49;pos:-2.079946,3.422227,50.19675;rot:39.1936,103.472,110.7611;m:prism;scl:0.03438781,0.0001,0.02210515;clr:54,0,0,255;;
i:prism_50;pos:-1.966,2.656432,49.97795;rot:286.4058,346.0266,193.4254;m:prism;scl:0.02622249,0.0001,0.2130257;clr:54,0,0,255;;
i:prism_51;pos:2.42976,2.02602,48.45136;rot:355.1167,160.0169,126.4183;m:prism;scl:0.096038,0.0001,0.1722722;clr:54,0,0,255;;
i:prism_52;pos:2.661356,2.078729,48.91548;rot:349.1548,118.6164,199.0276;m:prism;scl:0.1296827,0.0001,0.126435;clr:54,0,0,255;;
i:prism_53;pos:2.881879,2.210589,48.58583;rot:21.73472,355.2911,178.2528;m:prism;scl:0.123166,0.0001,0.1530116;clr:54,0,0,255;;
i:prism_54;pos:1.799875,1.362918,48.7586;rot:316.2375,113.8831,149.1519;m:prism;scl:0.1269742,0.0001,0.1306748;clr:54,0,0,255;;
i:prism_55;pos:2.118238,1.609647,48.38224;rot:8.143173,336.5794,231.2181;m:prism;scl:0.1200001,0.0001,0.1672366;clr:54,0,0,255;;
i:prism_56;pos:3.4445,2.215699,48.63861;rot:335.862,177.9597,175.034;m:prism;scl:0.0956568,0.0001,0.132886;clr:54,0,0,255;;
i:prism_57;pos:3.299499,2.378886,48.23519;rot:11.4091,49.82844,201.9571;m:prism;scl:0.1004783,0.0001,0.1064197;clr:54,0,0,255;;
i:prism_58;pos:2.894819,1.964997,49.48024;rot:0,296.5651,180;m:prism;scl:0.114592,0.0001,0.131166;clr:54,0,0,255;;
i:prism_59;pos:1.725562,1.403652,49.20699;rot:312.711,50.52552,205.6236;m:prism;scl:0.05983625,0.0001,0.1333085;clr:54,0,0,255;;
i:prism_60;pos:1.998375,1.768917,49.30854;rot:45.45518,301.902,209.3225;m:prism;scl:0.06913755,0.0001,0.06011443;clr:54,0,0,255;;
i:prism_61;pos:3.82635,2.030602,48.80636;rot:353.9465,134.3627,226.5598;m:prism;scl:0.1019898,0.0001,0.1210987;clr:54,0,0,255;;
i:prism_62;pos:3.970802,2.152322,48.54473;rot:41.06129,3.377946,155.0722;m:prism;scl:0.1062413,0.0001,0.1045557;clr:54,0,0,255;;
i:prism_63;pos:3.878233,1.387514,49.37606;rot:323.3895,286.6631,141.0991;m:prism;scl:0.07586977,0.0001,0.1601831;clr:54,0,0,255;;
i:prism_64;pos:3.136226,1.819312,49.78968;rot:13.46262,132.0892,230.0331;m:prism;scl:0.07672807,0.0001,0.1399786;clr:54,0,0,255;;
i:prism_65;pos:2.174199,1.899438,49.48453;rot:13.41723,1.304537,206.1863;m:prism;scl:0.0601735,0.0001,0.06319935;clr:54,0,0,255;;
i:prism_66;pos:2.35093,1.894891,49.85618;rot:8.015811,221.1556,151.8219;m:prism;scl:0.05531994,0.0001,0.1051644;clr:54,0,0,255;;
i:prism_67;pos:1.402247,1.049269,49.17721;rot:337.3683,359.2231,218.535;m:prism;scl:0.06417432,0.0001,0.05450463;clr:54,0,0,255;;
i:prism_68;pos:1.576785,1.317896,49.45493;rot:43.21287,232.0588,172.1561;m:prism;scl:0.05514679,0.0001,0.1239635;clr:54,0,0,255;;
i:prism_69;pos:4.270201,1.324434,49.06867;rot:300.2808,231.8872,164.1519;m:prism;scl:0.08409668,0.0001,0.09424013;clr:54,0,0,255;;
i:prism_70;pos:3.925818,1.682456,49.05958;rot:29.44542,105.4417,236.1496;m:prism;scl:0.07968363,0.0001,0.1264945;clr:54,0,0,255;;
i:prism_71;pos:3.543842,1.211254,49.90821;rot:346.6928,307.7941,118.7801;m:prism;scl:0.1201174,0.0001,0.2548499;clr:54,0,0,255;;
i:prism_72;pos:2.753361,1.22944,50.68505;rot:337.2083,147.8759,239.4558;m:prism;scl:0.1289613,0.0001,0.1514244;clr:54,0,0,255;;
i:prism_73;pos:2.233725,2.673266,50.09515;rot:80.25916,146.4993,177.4996;m:prism;scl:0.08580327,0.0001,0.1789186;clr:54,0,0,255;;
i:prism_74;pos:2.152649,2.014798,49.91481;rot:315.4019,49.30019,103.7324;m:prism;scl:0.09516232,0.0001,0.09532872;clr:54,0,0,255;;
i:prism_75;pos:1.767993,2.560224,49.94375;rot:71.87046,206.6253,208.1218;m:prism;scl:0.05262713,0.0001,0.2114321;clr:54,0,0,255;;
i:prism_76;pos:1.4362,1.422413,49.60286;rot:304.0914,62.33435,119.3151;m:prism;scl:0.05362979,0.0001,0.1241811;clr:54,0,0,255;;
i:prism_77;pos:1.978408,2.656135,49.97787;rot:286.4058,13.97337,166.5746;m:prism;scl:0.02622249,0.0001,0.2130257;clr:54,0,0,255;;
i:prism_78;pos:2.083922,3.426558,50.19799;rot:39.1936,256.528,249.2389;m:prism;scl:0.03438781,0.0001,0.02210515;clr:54,0,0,255;;
i:prism_79;pos:1.981646,2.142122,50.99317;rot:78.36539,13.75068,193.4786;m:prism;scl:0.07657636,0.0001,0.2973549;clr:54,0,0,255;;
i:prism_80;pos:2.168775,1.138272,51.19394;rot:321.4576,260.8321,104.5214;m:prism;scl:0.09783998,0.0001,0.06794105;clr:54,0,0,255;;
i:prism_81;pos:4.514497,1.079449,48.98172;rot:331.249,162.8494,250.9805;m:prism;scl:0.05801502,0.0001,0.05672317;clr:54,0,0,255;;
i:prism_82;pos:4.519043,1.328183,48.8068;rot:70.27409,29.68734,147.8338;m:prism;scl:0.05313469,0.0001,0.08772831;clr:54,0,0,255;;
i:prism_83;pos:2.10683,3.394476,50.56372;rot:39.26227,328.3673,110.5802;m:prism;scl:0.04825175,0.0001,0.03124411;clr:54,0,0,255;;
i:prism_84;pos:2.211759,2.299724,50.89669;rot:286.2498,211.0255,193.4369;m:prism;scl:0.03667461,0.0001,0.3041058;clr:54,0,0,255;;
i:prism_85;pos:1.322926,1.098486,51.02841;rot:322.2589,73.40179,253.9814;m:prism;scl:0.07224739,0.0001,0.05107855;clr:54,0,0,255;;
i:prism_86;pos:1.646689,2.147386,50.92807;rot:75.99501,307.1371,154.3826;m:prism;scl:0.05681209,0.0001,0.2988068;clr:54,0,0,255;;
i:prism_87;pos:4.543357,1.427737,48.48977;rot:52.84784,153.9017,238.4251;m:prism;scl:0.08812679,0.0001,0.07792229;clr:54,0,0,255;;
i:prism_88;pos:4.643185,1.128254,47.8228;rot:348.4769,356.1033,108.8282;m:prism;scl:0.07587811,0.0001,0.2007039;clr:54,0,0,255;;
i:prism_89;pos:2.444096,1.595259,50.85435;rot:300.8521,175.4178,244.8163;m:prism;scl:0.08185159,0.0001,0.1618902;clr:54,0,0,255;;
i:prism_90;pos:2.343177,2.6681,50.51978;rot:77.24715,72.33211,188.681;m:prism;scl:0.08115862,0.0001,0.1820088;clr:54,0,0,255;;
i:prism_91;pos:1.481996,2.296338,50.70473;rot:287.7447,128.5281,168.5907;m:prism;scl:0.05730113,0.0001,0.3058885;clr:54,0,0,255;;
i:prism_92;pos:1.697496,3.351103,50.39739;rot:37.98283,12.41695,247.7262;m:prism;scl:0.0742517,0.0001,0.05012461;clr:54,0,0,255;;
i:prism_93;pos:2.219872,1.415673,47.77468;rot:54.22832,295.0659,225.7021;m:prism;scl:0.09770425,0.0001,0.07965633;clr:54,0,0,255;;
i:prism_94;pos:1.860081,1.1356,48.21418;rot:347.3801,147.6884,114.7308;m:prism;scl:0.08255937,0.0001,0.1910303;clr:54,0,0,255;;
i:prism_95;pos:4.530992,1.33371,47.19954;rot:310.0158,327.6422,133.9553;m:prism;scl:0.1246477,0.0001,0.1100368;clr:54,0,0,255;;
i:prism_96;pos:4.439781,1.598252,47.77437;rot:7.545029,180.298,243.2434;m:prism;scl:0.1097279,0.0001,0.1998266;clr:54,0,0,255;;
i:prism_97;pos:2.401313,2.773869,50.28506;rot:288.9559,283.9531,166.7763;m:prism;scl:0.02616575,0.0001,0.184927;clr:54,0,0,255;;
i:prism_98;pos:2.183411,3.427575,50.38947;rot:38.03963,164.8825,246.327;m:prism;scl:0.03399755,0.0001,0.02229963;clr:54,0,0,255;;
i:prism_99;pos:1.320573,2.144835,50.42237;rot:73.76228,300.6898,191.78;m:prism;scl:0.08045797,0.0001,0.3027541;clr:54,0,0,255;;
i:prism_100;pos:1.115869,1.144045,50.70897;rot:322.7597,185.9405,110.1113;m:prism;scl:0.1020757,0.0001,0.07208884;clr:54,0,0,255;;
i:prism_101;pos:2.851264,1.139428,46.86047;rot:348.652,320.4287,244.2209;m:prism;scl:0.07914045,0.0001,0.2024249;clr:54,0,0,255;;
i:prism_102;pos:2.45822,1.417161,47.43867;rot:49.76682,168.8608,131.3126;m:prism;scl:0.0913671,0.0001,0.08209934;clr:54,0,0,255;;
i:prism_103;pos:3.980168,1.211258,46.55884;rot:338.1985,53.13017,105.5648;m:prism;scl:0.114592,0.0001,0.1579445;clr:54,0,0,255;;
i:prism_104;pos:1.12312,1.15757,49.71307;rot:322.7597,354.0595,249.8887;m:prism;scl:0.1020757,0.0001,0.07208884;clr:54,0,0,255;;
i:prism_105;pos:1.315864,2.144023,50.02264;rot:73.7623,239.3098,168.2198;m:prism;scl:0.08045797,0.0001,0.3027541;clr:54,0,0,255;;
i:prism_106;pos:4.183144,2.042358,47.61802;rot:353.22,358.7124,122.4947;m:prism;scl:0.08491385,0.0001,0.1531656;clr:54,0,0,255;;
i:prism_107;pos:4.270867,1.959183,48.28663;rot:331.4252,203.1037,232.5941;m:prism;scl:0.08921114,0.0001,0.1096817;clr:54,0,0,255;;
i:prism_108;pos:3.151688,1.569716,47.06544;rot:7.876259,129.1477,136.383;m:prism;scl:0.1478409,0.0001,0.2087239;clr:54,0,0,255;;
i:prism_109;pos:3.447496,1.376276,46.65583;rot:320.1635,0.1049539,200.9451;m:prism;scl:0.1638836,0.0001,0.1428417;clr:54,0,0,255;;
i:prism_110;pos:1.483895,2.290694,49.85633;rot:291.3141,39.74458,142.2366;m:prism;scl:0.02543716,0.0001,0.3114587;clr:54,0,0,255;;
i:prism_111;pos:1.820738,3.428658,50.19772;rot:35.18529,257.7891,249.4157;m:prism;scl:0.03156085,0.0001,0.02342859;clr:54,0,0,255;;
