i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:wall1_0;pos:-22.53697,-1.10099,99.18248;rot:0,358.4491,0;m:wall1;;
i:statue1_1;pos:-28.6894,103.0555,256.7002;rot:0,358.3958,0;m:statue1;;
i:boulder1_2;pos:-42.74986,-5.127082,245.6096;rot:0,75.29582,0;m:boulder1;;
i:boulder1_3;pos:-12.4094,-3.23283,246.5823;rot:0,45.94531,0;m:boulder1;;
i:boulder1_4;pos:-30.1076,-4.318584,240.771;rot:0,345.2447,0;m:boulder1;;
i:boulder1_5;pos:-12.52454,-2.597075,262.3904;rot:0,170.4936,0;m:boulder1;;
i:boulder1_6;pos:-43.83363,-4.773349,260.5745;rot:0,199.7419,0;m:boulder1;;
i:boulder1_7;pos:-28.56601,-3.530717,261.2269;rot:2.134434E-07,181.7419,323.2;m:boulder1;;
i:boulder2_8;pos:-41.72332,12.19822,257.709;rot:0,166.9892,0;m:boulder2;;
i:boulder2_9;pos:-25.13883,13.67439,255.6966;rot:0,169.1389,0;m:boulder2;;
i:boulder2_10;pos:-14.08224,10.8443,254.1622;rot:0,180.2389,0;m:boulder2;;
i:boulder3_11;pos:-17.44175,26.52063,256.4396;rot:0,8.488361,0;m:boulder3;;
i:boulder3_12;pos:-36.21849,26.17105,255.8398;rot:0,189.7381,0;m:boulder3;;
i:boulder3_13;pos:-22.018,33.09988,256.2783;rot:0,33.88713,0;m:boulder3;;
i:boulder3_14;pos:-36.37268,35.00673,257.652;rot:0,194.8358,0;m:boulder3;;
i:boulder2_15;pos:-27.0574,39.71215,260.2997;rot:-5.122642E-06,24.48469,317;m:boulder2;;
i:log2_16;pos:-5.019591,6.957834,302.2352;rot:333.0315,174.6429,1.905941;m:log2;;
i:log2_17;pos:0.1185462,9.644497,207.7385;rot:332.0294,359.7041,0.8414028;m:log2;;
i:log2_18;pos:-56.56059,8.926876,300.8126;rot:333.7649,175.4099,2.433127;m:log2;;
i:log2_19;pos:-52.72433,10.54741,216.5069;rot:335.6159,359.1388,0.5571388;m:log2;;
i:house14_20;pos:-27.13838,-3.816488,72.72358;rot:0,359.6794,0;m:house14;;
i:house13_21;pos:-78.76756,-1.647798,78.74122;rot:0,179.2287,0;m:house13;;
i:house13_22;pos:24.66822,-1.406645,79.08727;rot:0,178.8746,0;m:house13;;
i:tower5_23;pos:-26.48364,113.8954,72.08997;rot:0,179.4652,0;m:tower5;;
i:tower2_24;pos:24.77994,17.80938,91.56554;rot:0,180.1631,0;m:tower2;;
i:tower2_25;pos:-78.70845,19.98462,46.84653;rot:0,356.0603,0;m:tower2;;
i:tower3_26;pos:23.13771,2.503969,135.9747;rot:0,182.9577,0;m:tower3;;
