i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cone_1;pos:-57.37149,-806.7556,-149.0134;rot:1.239974,206.4332,180;m:cone;scl:1,0.4,1;t:metal1;til:5,5;;
i:cuboid_2;pos:-2000,800,-6000;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_3;pos:-6000,1400,-8000;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_4;pos:-8000,3000,400;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_5;pos:6000,2000,6000;rot:322.6948,162.2553,49.63547;m:cuboid;scl:100,0,20;mat:transparent;clr:255,255,255,200;;
i:cuboid_6;pos:8000,-800,0;rot:0,180,337.3801;m:cuboid;scl:160,0,160;mat:transparent;clr:255,255,255,200;;
i:cuboid_7;pos:-1530.734,-800,-3695.518;rot:0,22.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_8;pos:-1530.734,-800,3695.518;rot:0,157.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_9;pos:-2828.427,-800,-2828.427;rot:0,45,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_10;pos:-2828.427,-800,2828.427;rot:0,135,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_11;pos:-3695.518,-800,-1530.734;rot:0,67.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_12;pos:-3695.518,-800,1530.734;rot:0,112.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_13;pos:-4000,-800,0;rot:0,90,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_14;pos:0,-800,-4000;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_15;pos:0,-800,4000;rot:0,180,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_16;pos:1530.734,-800,-3695.518;rot:0,337.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_17;pos:1530.734,-800,3695.518;rot:0,202.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_18;pos:2828.427,-800,-2828.427;rot:0,315,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_19;pos:2828.427,-800,2828.427;rot:0,225,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_20;pos:3695.518,-800,-1530.734;rot:0,292.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_21;pos:3695.518,-800,1530.734;rot:0,247.5,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_22;pos:4000,-800,0;rot:0,270,0;m:cuboid;scl:176.2433,0.1,40;mat:transparent;clr:255,255,255,200;;
i:cuboid_23;pos:-115.4849,-972.8354,138.8926;rot:316.2635,140.2575,230.2575;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_24;pos:-172.8354,-915.4849,138.8926;rot:332.4877,128.7857,249.6341;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_25;pos:-203.8733,-759.4471,-138.8926;rot:9.335303,55.73465,83.69389;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_26;pos:-203.8733,-840.5529,-138.8926;rot:350.6647,55.73465,276.3061;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_27;pos:-40.55292,-1003.873,-138.8926;rot:305.3638,16.27636,340.3011;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_28;pos:-40.55292,-1003.873,138.8926;rot:305.3638,163.7236,199.699;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_29;pos:115.4849,-972.8354,-138.8926;rot:316.2635,320.2575,50.25751;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_30;pos:172.8354,-684.5151,-138.8926;rot:27.51234,308.7857,290.3659;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_31;pos:172.8354,-915.4849,138.8926;rot:332.4877,231.2143,110.3659;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_32;pos:203.8733,-759.4471,138.8926;rot:9.335304,235.7346,263.6939;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_33;pos:203.8733,-840.5529,-138.8926;rot:350.6647,304.2654,83.69389;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_34;pos:203.8733,-840.5529,138.8926;rot:350.6647,235.7346,96.30611;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_35;pos:40.55292,-1003.873,-138.8926;rot:305.3638,343.7236,19.69896;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_36;pos:40.55292,-596.1267,-138.8926;rot:54.63617,343.7236,340.3011;m:cuboid;scl:10.39766,1,10.5;t:brick4;til:1,1.039766;clr:255,178,178,255;;
i:cuboid_37;pos:-203.8733,-936.2238,-48.77258;rot:326.9825,76.54603,277.4269;m:cuboid;scl:12.07181,1,10.5;t:brick4;til:1,1.207181;clr:255,178,178,255;;
i:cuboid_38;pos:-203.8733,-936.2238,48.77258;rot:326.9825,103.454,262.5731;m:cuboid;scl:12.07181,1,10.5;t:brick4;til:1,1.207181;clr:255,178,178,255;;
i:cuboid_39;pos:-240.4849,-752.1646,-48.77258;rot:11.03108,78.53541,87.77776;m:cuboid;scl:12.07181,1,10.5;t:brick4;til:1,1.207181;clr:255,178,178,255;;
