i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:cuboid_0;pos:250,0,159.155;rot:0,180,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_1;pos:277.637,0,156.737;rot:0,190.0013,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_2;pos:304.4342,0,149.5567;rot:0,199.997,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_3;pos:329.5775,0,137.8322;rot:0,209.9947,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_4;pos:352.3029,0,121.9197;rot:0,220.003,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_5;pos:371.9197,0,102.3028;rot:0,229.9993,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_6;pos:387.8322,0,79.5775;rot:0,240.0043,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_7;pos:399.5568,0,54.4342;rot:0,249.9994,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_8;pos:406.7371,0,27.63695;rot:0,260,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_9;pos:409.1549,0,0;rot:0,270,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_10;pos:250,0,-159.155;rot:0,180,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_11;pos:277.637,0,-156.737;rot:0,169.9987,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_12;pos:304.4342,0,-149.5567;rot:0,160.003,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_13;pos:329.5775,0,-137.8322;rot:0,150.0053,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_14;pos:352.3029,0,-121.9197;rot:0,139.997,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_15;pos:371.9197,0,-102.3028;rot:0,130.0007,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_16;pos:387.8322,0,-79.5775;rot:0,119.9957,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_17;pos:399.5568,0,-54.4342;rot:0,110.0006,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_18;pos:406.7371,0,-27.63695;rot:0,99.99998,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_19;pos:409.1549,0,0;rot:0,90,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_20;pos:-250,0,159.155;rot:0,180,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_21;pos:-277.637,0,156.737;rot:0,169.9987,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_22;pos:-304.4342,0,149.5567;rot:0,160.003,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_23;pos:-329.5775,0,137.8322;rot:0,150.0053,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_24;pos:-352.3029,0,121.9197;rot:0,139.997,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_25;pos:-371.9197,0,102.3028;rot:0,130.0007,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_26;pos:-387.8322,0,79.5775;rot:0,119.9957,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_27;pos:-399.5568,0,54.4342;rot:0,110.0006,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_28;pos:-406.7371,0,27.63695;rot:0,99.99998,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_29;pos:-409.1549,0,0;rot:0,90,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_30;pos:-250,0,-159.155;rot:0,180,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_31;pos:-277.637,0,-156.737;rot:0,190.0013,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_32;pos:-304.4342,0,-149.5567;rot:0,199.997,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_33;pos:-329.5775,0,-137.8322;rot:0,209.9947,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_34;pos:-352.3029,0,-121.9197;rot:0,220.003,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_35;pos:-371.9197,0,-102.3028;rot:0,229.9993,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_36;pos:-387.8322,0,-79.5775;rot:0,240.0043,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_37;pos:-399.5568,0,-54.4342;rot:0,249.9994,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_38;pos:-406.7371,0,-27.63695;rot:0,260,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_39;pos:-409.1549,0,0;rot:0,270,0;m:cuboid;scl:3.2141,0.5,5;t:grass2;til:0.6428,1;;
i:cuboid_40;pos:0,0,159.155;rot:0,180,0;m:cuboid;scl:50,0.5,5;t:grass2;til:10,1;;
i:cuboid_41;pos:0,0,-159.155;rot:0,180,0;m:cuboid;scl:50,0.5,5;t:grass2;til:10,1;;
i:cuboid_42;pos:250,4,143.2395;rot:0,180,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_43;pos:274.8733,4,141.0633;rot:0,190.0013,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_44;pos:298.9908,4,134.6011;rot:0,199.997,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_45;pos:321.6198,4,124.049;rot:0,209.9947,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_46;pos:342.0726,4,109.7278;rot:0,220.003,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_47;pos:359.7278,4,92.07256;rot:0,229.9993,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_48;pos:374.049,4,71.61975;rot:0,240.0043,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_49;pos:384.6011,4,48.99078;rot:0,249.9994,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_50;pos:391.0634,4,24.87325;rot:0,260,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_51;pos:393.2394,4,0;rot:0,270,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_52;pos:250,4,-143.2395;rot:0,180,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_53;pos:274.8733,4,-141.0633;rot:0,169.9987,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_54;pos:298.9908,4,-134.6011;rot:0,160.003,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_55;pos:321.6198,4,-124.049;rot:0,150.0053,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_56;pos:342.0726,4,-109.7278;rot:0,139.997,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_57;pos:359.7278,4,-92.07256;rot:0,130.0007,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_58;pos:374.049,4,-71.61975;rot:0,119.9957,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_59;pos:384.6011,4,-48.99078;rot:0,110.0006,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_60;pos:391.0634,4,-24.87325;rot:0,99.99998,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_61;pos:393.2394,4,0;rot:0,90,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_62;pos:-250,4,143.2395;rot:0,180,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_63;pos:-274.8733,4,141.0633;rot:0,169.9987,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_64;pos:-298.9908,4,134.6011;rot:0,160.003,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_65;pos:-321.6198,4,124.049;rot:0,150.0053,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_66;pos:-342.0726,4,109.7278;rot:0,139.997,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_67;pos:-359.7278,4,92.07256;rot:0,130.0007,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_68;pos:-374.049,4,71.61975;rot:0,119.9957,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_69;pos:-384.6011,4,48.99078;rot:0,110.0006,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_70;pos:-391.0634,4,24.87325;rot:0,99.99998,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_71;pos:-393.2394,4,0;rot:0,90,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_72;pos:-250,4,-143.2395;rot:0,180,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_73;pos:-274.8733,4,-141.0633;rot:0,190.0013,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_74;pos:-298.9908,4,-134.6011;rot:0,199.997,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_75;pos:-321.6198,4,-124.049;rot:0,209.9947,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_76;pos:-342.0726,4,-109.7278;rot:0,220.003,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_77;pos:-359.7278,4,-92.07256;rot:0,229.9993,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_78;pos:-374.049,4,-71.61975;rot:0,240.0043,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_79;pos:-384.6011,4,-48.99078;rot:0,249.9994,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_80;pos:-391.0634,4,-24.87325;rot:0,260,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_81;pos:-393.2394,4,0;rot:0,270,0;m:cuboid;scl:2.5,0.1,0.02;;
i:cuboid_82;pos:0,4,143.2395;rot:0,180,0;m:cuboid;scl:50,0.1,0.02;;
i:cuboid_83;pos:0,4,-143.2395;rot:0,180,0;m:cuboid;scl:50,0.1,0.02;;
i:cuboid_84;pos:250,4,175.0704;rot:0,180,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_85;pos:280.4006,4,172.4108;rot:0,190.0013,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_86;pos:309.8776,4,164.5124;rot:0,199.997,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_87;pos:337.5352,4,151.6155;rot:0,209.9947,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_88;pos:362.5331,4,134.1117;rot:0,220.003,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_89;pos:384.1117,4,112.5331;rot:0,229.9993,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_90;pos:401.6155,4,87.53525;rot:0,240.0043,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_91;pos:414.5124,4,59.87762;rot:0,249.9994,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_92;pos:422.4108,4,30.40064;rot:0,260,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_93;pos:425.0704,4,0;rot:0,270,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_94;pos:250,4,-175.0704;rot:0,180,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_95;pos:280.4006,4,-172.4108;rot:0,169.9987,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_96;pos:309.8776,4,-164.5124;rot:0,160.003,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_97;pos:337.5352,4,-151.6155;rot:0,150.0053,0;m:cuboid;scl:3.0556,0.1,0.02;;
i:cuboid_98;pos:362.5331,4,-134.1117;rot:0,139.997,0;m:cuboid;scl:3.0556,0.1,0.02;;
