i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:cylinder_0;pos:0,-99,0;rot:0,180,0;m:cylinder;scl:80,10,80;t:stone10;til:3,3;clr:178,51,25,255;;
i:cuboid_1;pos:0,95,386.3703;rot:0,180,0;m:cuboid;scl:21,1,3;t:rock1;til:2.1,0.1;;
i:cuboid_2;pos:-136.8081,95,375.877;rot:0,160.003,0;m:cuboid;scl:7.2431,1,3;t:metal4;til:0.1,0.1;;
i:cuboid_3;pos:-200,95,346.4102;rot:0,150.0053,0;m:cuboid;scl:7.2431,1,3;t:metal4;til:0.1,0.1;;
i:cuboid_4;pos:-257.115,95,306.4178;rot:0,139.997,0;m:cuboid;scl:7.2431,1,3;t:metal4;til:0.1,0.1;;
i:cuboid_5;pos:-306.4178,95,257.115;rot:0,130.0007,0;m:cuboid;scl:7.2431,1,3;t:metal4;til:0.1,0.1;;
i:cuboid_6;pos:-346.4102,95,200;rot:0,119.9957,0;m:cuboid;scl:7.2431,1,3;t:metal4;til:0.1,0.1;;
i:cuboid_7;pos:-375.877,95,136.8081;rot:0,110.0006,0;m:cuboid;scl:7.2431,1,3;t:metal4;til:0.1,0.1;;
i:cuboid_8;pos:-393.9231,95,69.4593;rot:0,99.99998,0;m:cuboid;scl:7.2431,1,3;t:metal4;til:0.1,0.1;;
i:cuboid_9;pos:136.8081,95,375.877;rot:0,199.997,0;m:cuboid;scl:7.2431,1,3;t:metal4;til:0.1,0.1;;
i:cuboid_10;pos:200,95,346.4102;rot:0,209.9947,0;m:cuboid;scl:7.2431,1,3;t:metal4;til:0.1,0.1;;
i:cuboid_11;pos:257.115,95,306.4178;rot:0,220.003,0;m:cuboid;scl:7.2431,1,3;t:metal4;til:0.1,0.1;;
i:cuboid_12;pos:306.4178,95,257.115;rot:0,229.9993,0;m:cuboid;scl:7.2431,1,3;t:metal4;til:0.1,0.1;;
