i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:cylinder_0;pos:0,65,0;rot:0,180,0;m:cylinder;scl:100,1,100;t:metal1;til:5,5;clr:255,0,0,255;;
i:cylinder_1;pos:0,65.5,0;rot:0,180,0;m:cylinder;scl:90,1,90;t:metal1;til:5,5;clr:255,127,0,255;;
i:cylinder_2;pos:0,66,0;rot:0,180,0;m:cylinder;scl:80,1,80;t:metal1;til:5,5;clr:255,255,0,255;;
i:cylinder_3;pos:0,66.5,0;rot:0,180,0;m:cylinder;scl:70,1,70;t:metal1;til:5,5;clr:255,255,255,255;;
i:cylinder_4;pos:0,67,0;rot:0,180,0;m:cylinder;scl:60,1,60;t:metal1;til:5,5;clr:0,255,0,255;;
i:cylinder_5;pos:0,67.5,0;rot:0,180,0;m:cylinder;scl:50,1,50;t:metal1;til:5,5;clr:0,255,255,255;;
i:cylinder_6;pos:0,68,0;rot:0,180,0;m:cylinder;scl:40,1,40;t:metal1;til:5,5;clr:0,0,255,255;;
i:cylinder_7;pos:0,68.5,0;rot:0,180,0;m:cylinder;scl:30,1,30;t:metal1;til:5,5;clr:255,0,255,255;;
i:cuboid_8;pos:0,125,-500;rot:0,180,0;m:cuboid;scl:8.9012,14,2;t:stone4;til:2.4,3.6;;
i:cuboid_9;pos:86.8241,125,-492.4039;rot:0,169.9987,0;m:cuboid;scl:8.9012,14,2;t:stone4;til:2.4,3.6;;
i:cuboid_10;pos:171.0101,125,-469.8463;rot:0,160.003,0;m:cuboid;scl:8.9012,14,2;t:stone4;til:2.4,3.6;;
i:cuboid_11;pos:250,125,-433.0127;rot:0,150.0053,0;m:cuboid;scl:8.9012,14,2;t:stone4;til:2.4,3.6;;
i:cuboid_12;pos:321.3938,125,-383.0222;rot:0,139.997,0;m:cuboid;scl:8.9012,14,2;t:stone4;til:2.4,3.6;;
i:cuboid_13;pos:383.0222,125,-321.3938;rot:0,130.0007,0;m:cuboid;scl:8.9012,14,2;t:stone4;til:2.4,3.6;;
