i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:252.2763,1262.19,540.8406;rot:0,293,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_1;pos:223.7063,1258.191,470.0487;rot:0,293,0;m:cuboid;scl:4,4,4;mat:transparent;clr:255,255,0,175;c:trigger;c:finish;;
i:cuboid_2;pos:177.6811,1264.191,489.5853;rot:0,293,0;m:cuboid;scl:3,10,14;mat:transparent;clr:0,255,0,175;c:trigger;c:checkpoint;;
i:cuboid_3;pos:223.7063,1258.191,470.0487;rot:0,293,0;m:cuboid;scl:2,10,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_4;pos:281.7175,1264.539,615.1783;rot:0,293,0;m:cuboid;scl:5,5,5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:tube_6;pos:-461.6207,2257.922,-1461.824;rot:310.3849,62.17344,306.6378;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_7;pos:-454.769,2227.426,-1373.273;rot:305.5661,74.82388,296.6414;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_8;pos:-458.5316,2238.201,-1409.094;rot:307.3303,69.43484,300.9783;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_9;pos:-460.9334,2250.883,-1444.405;rot:309.3192,64.49055,304.859;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_10;pos:-459.9033,2244.307,-1426.822;rot:308.2935,66.90286,302.9782;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_11;pos:-452.3818,2222.767,-1355.216;rot:304.7811,77.68817,294.3002;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_12;pos:-461.9645,2265.419,-1479.062;rot:311.4998,59.96523,308.3062;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_13;pos:-449.6605,2218.6,-1337.086;rot:304.0638,80.66003,291.8482;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_14;pos:-439.5219,2209.094,-1282.444;rot:302.379,90.18953,283.8702;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_15;pos:-443.2274,2211.76,-1300.682;rot:302.8586,86.91964,286.6242;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
