i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:0,20,10000;rot:0,180,0;m:cuboid;scl:20,1,10000;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:spawnhuman_2;pos:0,25,9505;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_3;pos:0,10,10000;rot:0,180,0;m:cuboid;scl:4,1,100;clr:0,0,0,255;;
i:cuboid_4;pos:0,40,10000;rot:0,180,0;m:cuboid;scl:4,1,100;clr:0,0,0,255;;
i:cuboid_5;pos:15,25,10000;rot:0,180,0;m:cuboid;scl:1,4,100;clr:0,0,0,255;;
i:cuboid_6;pos:-15,25,10000;rot:0,180,0;m:cuboid;scl:1,4,100;clr:0,0,0,255;;
i:cuboid_7;pos:0,10,10000;rot:0,180,0;m:cuboid;scl:4,1,100;clr:0,0,0,255;;
i:cuboid_8;pos:0,40,10000;rot:0,180,0;m:cuboid;scl:4,1,100;clr:0,0,0,255;;
i:cuboid_9;pos:15,25,10000;rot:0,180,0;m:cuboid;scl:1,4,100;clr:0,0,0,255;;
i:cuboid_10;pos:-15,25,10000;rot:0,180,0;m:cuboid;scl:1,4,100;clr:0,0,0,255;;
i:cuboid_11;pos:0,70,10500;rot:0,180,0;m:cuboid;scl:16,6,1;clr:0,0,0,255;;
i:cuboid_12;pos:0,-20,10500;rot:0,180,0;m:cuboid;scl:16,6,1;clr:0,0,0,255;;
i:cuboid_13;pos:45,25,10500;rot:0,180,0;m:cuboid;scl:6,16,1;clr:0,0,0,255;;
i:cuboid_14;pos:-45,25,10500;rot:0,180,0;m:cuboid;scl:6,16,1;clr:0,0,0,255;;
i:cuboid_15;pos:0,100,12500;rot:0,180,0;m:cuboid;scl:16,1,400;clr:0,0,0,255;;
i:cuboid_16;pos:0,-50,12500;rot:0,180,0;m:cuboid;scl:16,1,400;clr:0,0,0,255;;
i:cuboid_17;pos:75,25,12500;rot:0,180,0;m:cuboid;scl:1,16,400;clr:0,0,0,255;;
i:cuboid_18;pos:-75,25,12500;rot:0,180,0;m:cuboid;scl:1,16,400;clr:0,0,0,255;;
i:leaf3_105;pos:0,25,10901;rot:89.98022,180,0;m:leaf3;scl:3,3,3;t:metal4;clr:0,0,0,255;;
i:leaf3_106;pos:0,25,14490;rot:89.98022,180,0;m:leaf3;scl:3,3,3;t:metal4;clr:0,0,0,255;;
i:leaf3_107;pos:0,25,13500;rot:89.98022,180,0;m:leaf3;scl:3,3,3;t:metal4;clr:0,0,0,255;;
i:leaf3_108;pos:0,25,12000;rot:89.98022,180,0;m:leaf3;scl:3,3,3;t:metal4;clr:0,0,0,255;;
i:leaf3_109;pos:0,25,10901;rot:89.98022,180,0;m:leaf3;scl:3,3,3;t:metal4;clr:0,0,0,255;;
i:leaf3_110;pos:0,25,14490;rot:270.0198,180,0;m:leaf3;scl:3,3,3;t:metal4;clr:0,0,0,255;;
i:leaf3_111;pos:0,25,13500;rot:270.0198,180,0;m:leaf3;scl:3,3,3;t:metal4;clr:0,0,0,255;;
i:leaf3_112;pos:0,25,12000;rot:270.0198,180,0;m:leaf3;scl:3,3,3;t:metal4;clr:0,0,0,255;;
i:sphere_2495;pos:-483.5829,-44.85456,15393.85;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2496;pos:467.4103,-152.56,15499.7;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2497;pos:-364.1861,-48.91101,15165.48;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2498;pos:-273.2637,93.88974,15913.01;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2499;pos:410.7517,254.2231,15669.53;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2500;pos:361.3232,-259.0401,15303.11;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2501;pos:219.9869,189.7467,15082.31;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2502;pos:324.2514,-354.2575,15532.01;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2503;pos:-77.17712,13.45775,15993.87;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2504;pos:-25.25338,-469.4305,15430;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2505;pos:-343.0546,352.3178,15341.33;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2506;pos:-167.2016,465.9895,15666.05;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2507;pos:-377.1876,-88.5171,15807.97;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2508;pos:-404.9581,189.3673,15742.88;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2509;pos:-228.774,319.1869,15833.34;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2510;pos:380.2424,-221.4626,15711.36;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2511;pos:-173.7573,488.5426,15429.74;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2512;pos:-283.6333,-305.0284,15746.24;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2513;pos:37.8267,493.4159,15329.25;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2514;pos:129.2019,-444.4388,15613.73;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2515;pos:-197.2847,-387.1531,15297;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2516;pos:246.8487,416.3979,15689.4;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2517;pos:-385.9425,-241.6084,15326.89;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2518;pos:188.5595,-412.5786,15348.44;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
i:sphere_2519;pos:-167.0662,-9.301793,15029.99;rot:0,180,0;m:sphere;scl:2,2,2;mat:transparent;clr:255,255,255,200;;
