i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:cuboid_0;pos:0,441.1408,-367.1018;rot:66.59999,0,0;m:cuboid;scl:7.129284,3,7.15585;mat:transparent;clr:229,25,255,200;;
i:cuboid_1;pos:0,507.3008,-389.1104;rot:76.60001,0,0;m:cuboid;scl:7.129284,3,7.15585;mat:transparent;clr:204,51,255,200;;
i:cuboid_2;pos:0,576.2775,-399.2959;rot:86.60004,0,0;m:cuboid;scl:6.917967,3,7.15585;mat:transparent;clr:178,76,255,200;;
i:cuboid_3;pos:0,645.9749,-397.3491;rot:83.39999,180,180;m:cuboid;scl:6.501755,3,7.15585;mat:transparent;clr:153,102,255,200;;
i:cuboid_4;pos:0,714.2753,-383.329;rot:73.40002,180,180;m:cuboid;scl:5.893293,3,7.15585;mat:transparent;clr:127,127,255,200;;
i:cuboid_5;pos:0,779.1036,-357.6617;rot:63.39999,180,180;m:cuboid;scl:5.11107,3,7.15585;mat:transparent;clr:102,153,255,200;;
i:cuboid_6;pos:0,838.4899,-321.127;rot:53.40001,180,180;m:cuboid;scl:4.178852,3,7.15585;mat:transparent;clr:76,178,255,200;;
i:cuboid_7;pos:0,890.6299,-274.835;rot:43.4,180,180;m:cuboid;scl:3.124965,3,7.15585;mat:transparent;clr:51,204,255,200;;
i:cuboid_8;pos:0,933.9391,-220.1923;rot:33.4,180,180;m:cuboid;scl:1.981431,3,7.15585;mat:transparent;clr:25,229,255,200;;
i:cuboid_9;pos:0,989.1104,-92.69916;rot:13.4,180,180;m:cuboid;scl:1.981431,3,7.15585;mat:transparent;clr:25,229,255,200;;
i:cuboid_10;pos:0,999.296,-23.72255;rot:3.4,180,180;m:cuboid;scl:3.124965,3,7.15585;mat:transparent;clr:51,204,255,200;;
i:cuboid_11;pos:0,997.3491,45.97486;rot:353.4,180,180;m:cuboid;scl:4.178852,3,7.15585;mat:transparent;clr:76,178,255,200;;
