i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:-90,40,-165;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_2;pos:-90,40,-135;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_3;pos:-105,40,-150;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_4;pos:-75,40,-150;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_5;pos:-90,25.5,-150;rot:0,180,0;m:cuboid;scl:3,0.1,3;t:metal1;til:0.5,0.5;;
i:spawntitan_6;pos:-150,30,-150;rot:0,180,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:cuboid_7;pos:-150,40,-165;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_8;pos:-150,40,-135;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_9;pos:-165,40,-150;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_10;pos:-135,40,-150;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_11;pos:-150,25.5,-150;rot:0,180,0;m:cuboid;scl:3,0.1,3;t:metal1;til:0.5,0.5;;
i:cuboid_13;pos:90,40,165;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_14;pos:90,40,135;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_15;pos:105,40,150;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_16;pos:75,40,150;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_17;pos:90,25.5,150;rot:0,180,0;m:cuboid;scl:3,0.1,3;t:metal1;til:0.5,0.5;;
i:cuboid_19;pos:-30,40,15;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_20;pos:-30,40,45;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_21;pos:-45,40,30;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_22;pos:-15,40,30;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_23;pos:-30,25.5,30;rot:0,180,0;m:cuboid;scl:3,0.1,3;t:metal1;til:0.5,0.5;;
i:cuboid_25;pos:90,40,-105;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_26;pos:90,40,-75;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_27;pos:105,40,-90;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_28;pos:75,40,-90;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_29;pos:90,25.5,-90;rot:0,180,0;m:cuboid;scl:3,0.1,3;t:metal1;til:0.5,0.5;;
i:cuboid_31;pos:30,40,15;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_32;pos:30,40,45;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_33;pos:45,40,30;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_34;pos:15,40,30;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_35;pos:30,25.5,30;rot:0,180,0;m:cuboid;scl:3,0.1,3;t:metal1;til:0.5,0.5;;
i:cuboid_37;pos:30,40,105;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_38;pos:30,40,75;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_39;pos:45,40,90;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_40;pos:15,40,90;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_41;pos:30,25.5,90;rot:0,180,0;m:cuboid;scl:3,0.1,3;t:metal1;til:0.5,0.5;;
i:cuboid_43;pos:150,40,105;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_44;pos:150,40,75;rot:0,180,0;m:cuboid;scl:3.5,3,0.5;t:metal1;til:0.5,0.5;;
i:cuboid_45;pos:165,40,90;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
i:cuboid_46;pos:135,40,90;rot:0,180,0;m:cuboid;scl:0.5,3,3;t:metal1;til:0.5,0.5;;
