i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:tube_0;pos:-400,1200,-400;rot:90,90,0;m:tube;scl:14,11,14;mat:transparent;clr:255,0,0,200;;
i:tube_1;pos:-330.5408,1200,-393.9232;rot:90,79.995,0;m:tube;scl:14,11,14;mat:transparent;clr:242,12,0,200;;
i:tube_2;pos:-263.192,1200,-374.77;rot:90,70.00528,0;m:tube;scl:14,11,14;mat:transparent;clr:229,25,0,200;;
i:tube_3;pos:-200,1200,-346.4102;rot:89.97202,60.00431,0;m:tube;scl:14,11,14;mat:transparent;clr:216,38,0,200;;
i:tube_4;pos:-142.885,1200,-306.4178;rot:90,49.99854,0;m:tube;scl:14,11,14;mat:transparent;clr:204,51,0,200;;
i:tube_5;pos:-93.5822,1200,-257.115;rot:90,39.99113,0;m:tube;scl:14,11,14;mat:transparent;clr:188,63,0,200;;
i:tube_6;pos:-53.5898,1200,-200;rot:89.97202,29.99855,0;m:tube;scl:14,11,14;mat:transparent;clr:178,76,0,200;;
i:tube_7;pos:-24.123,1200,-136.808;rot:89.98022,20.00094,0;m:tube;scl:14,11,14;mat:transparent;clr:165,89,0,200;;
i:tube_8;pos:-6.0768,1200,-69.4592;rot:90,9.995639,0;m:tube;scl:14,11,14;mat:transparent;clr:153,102,0,200;;
i:tube_9;pos:0,1200,0;rot:90,0,0;m:tube;scl:14,11,14;mat:transparent;clr:140,114,0,200;;
i:tube_10;pos:0,1200,0;rot:90,180,0;m:tube;scl:14,11,14;mat:transparent;clr:127,127,0,200;;
i:tube_11;pos:6.0768,1200,69.4592;rot:90,189.9956,0;m:tube;scl:14,11,14;mat:transparent;clr:114,140,0,200;;
i:tube_12;pos:24.123,1200,136.808;rot:89.98022,200.0009,0;m:tube;scl:14,11,14;mat:transparent;clr:102,153,0,200;;
i:tube_13;pos:53.5898,1200,200;rot:90,209.9985,0;m:tube;scl:14,11,14;mat:transparent;clr:89,165,0,200;;
