i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:tube_439;pos:1067.828,983.9807,839.834;rot:44.99996,2.414835E-05,292.6078;m:tube;scl:5,2.479797,5;mat:transparent;clr:255,255,0,200;;
i:tube_440;pos:1014.258,962.1833,818.0366;rot:44.99996,-6.27857E-05,307.2277;m:tube;scl:5,2.479797,5;mat:transparent;clr:255,255,0,200;;
i:tube_441;pos:1026.885,968.5286,824.382;rot:45.00006,-2.173355E-05,303.573;m:tube;scl:5,2.479797,5;mat:transparent;clr:255,255,0,200;;
i:tube_442;pos:1127.444,995.5112,851.3645;rot:45.00001,2.897804E-05,277.9878;m:tube;scl:5,2.479797,5;mat:transparent;clr:255,255,0,200;;
i:tube_443;pos:1097.115,991.0923,846.9456;rot:44.99994,1.207417E-05,285.2978;m:tube;scl:5,2.479797,5;mat:transparent;clr:255,255,0,200;;
i:tube_444;pos:1053.725,979.4495,835.3029;rot:45,5.071156E-05,296.2628;m:tube;scl:5,2.479797,5;mat:transparent;clr:255,255,0,200;;
i:tube_445;pos:1040.058,974.2919,830.1452;rot:45.00002,5.071159E-05,299.9177;m:tube;scl:5,2.479797,5;mat:transparent;clr:255,255,0,200;;
i:tube_446;pos:1082.311,987.8669,843.7202;rot:45.00002,-2.414838E-05,288.9527;m:tube;scl:5,2.479797,5;mat:transparent;clr:255,255,0,200;;
i:tube_447;pos:1142.845,996.6866,852.5399;rot:45.00006,-3.863741E-05,94.33266;m:tube;scl:5,2.479797,5;mat:transparent;clr:255,255,0,200;;
i:tube_448;pos:1112.18,993.6439,849.4972;rot:44.99998,0.0001038379,101.6428;m:tube;scl:5,2.479797,5;mat:transparent;clr:255,255,0,200;;
i:tube_449;pos:990.8463,947.8519,803.7053;rot:44.99998,-4.346704E-05,134.5378;m:tube;scl:5,2.479797,5;mat:transparent;clr:255,255,0,200;;
