i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:tube_1;pos:461.6207,2257.922,1461.824;rot:310.3849,242.1734,306.6378;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_2;pos:454.769,2227.426,1373.273;rot:305.5661,254.8239,296.6414;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_3;pos:458.5316,2238.201,1409.094;rot:307.3303,249.435,300.9782;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_4;pos:460.9334,2250.883,1444.405;rot:309.3192,244.4905,304.859;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_5;pos:459.9033,2244.307,1426.822;rot:308.2935,246.9029,302.9782;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_6;pos:452.3818,2222.767,1355.216;rot:304.7811,257.6882,294.3002;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_7;pos:461.9645,2265.419,1479.062;rot:311.4998,239.9652,308.3062;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_8;pos:449.6605,2218.6,1337.086;rot:304.0638,260.66,291.8482;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_9;pos:439.5219,2209.094,1282.444;rot:302.379,270.1895,283.8702;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_10;pos:443.2274,2211.76,1300.682;rot:302.8586,266.9196,286.6242;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_11;pos:446.6081,2214.93,1318.902;rot:303.4217,263.7393,289.2874;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_12;pos:456.8196,2232.572,1391.238;rot:306.4146,252.0709,298.8687;m:tube;scl:5,2.8956,5;mat:transparent;clr:51,255,178,200;;
i:tube_13;pos:272.2588,2151.546,761.2958;rot:312.8356,267.1204,109.5107;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_14;pos:260.876,2129.994,688.1445;rot:316.1414,256.251,117.2794;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_15;pos:257.3037,2100.716,616.9043;rot:39.64016,66.66735,236.3265;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_16;pos:265.6021,2141.768,724.5763;rot:314.3594,261.5255,113.5643;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_17;pos:258.105,2116.286,652.1911;rot:318.151,251.301,120.6478;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_18;pos:280.8109,2159.277,798.1105;rot:311.5991,273.0126,105.1448;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_19;pos:291.2139,2164.92,834.8279;rot:310.6772,279.1611,100.5123;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_20;pos:266.7085,2043.692,516.8686;rot:32.07284,54.45229,229.1378;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_21;pos:261.6167,2064.323,549.0655;rot:34.72924,58.26801,231.2396;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_22;pos:258.4763,2083.365,582.4691;rot:37.25884,62.33059,233.6283;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_23;pos:273.7248,2021.578,486.0469;rot:29.30897,50.85645,227.3015;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_24;pos:282.629,1998.097,456.762;rot:26.45354,47.45296,225.7091;m:tube;scl:5,5.944831,5;mat:transparent;clr:204,178,255,200;;
i:tube_25;pos:455.2506,2292.184,1549.361;rot:322.449,100.1842,244.1221;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_26;pos:-329.3903,1734.819,1809.264;rot:29.94265,295.7727,304.5939;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_27;pos:-177.9602,1983.223,2061.129;rot:0.2899334,331.371,314.4938;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_28;pos:11.28014,2159.738,2088.708;rot:339.7554,353.7137,310.5109;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_29;pos:-302.6543,1807.389,1915.306;rot:20.78099,308.9454,310.2748;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_30;pos:428.5146,2326.77,1673.115;rot:317.2926,81.70843,256.1023;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_31;pos:376.8647,2338.117,1793.238;rot:315.5068,61.08613,270.4065;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_32;pos:214.3601,2289.639,1990.653;rot:322.8143,22.21342,296.4453;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_33;pos:114.5801,2233.117,2054.49;rot:330.5294,6.776748,304.9821;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_34;pos:303.8205,2325.453,1901.544;rot:317.4966,40.53401,284.6354;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_35;pos:-88.49991,2074.504,2090.972;rot:349.8343,342.1819,313.5566;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_36;pos:-251.0044,1892.115,2001.213;rot:10.73557,320.5402,313.4459;m:tube;scl:5,20.38661,5;mat:transparent;clr:127,255,255,200;;
i:tube_37;pos:-245.2395,1685.698,1423.086;rot:308.722,35.13609,121.0385;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_38;pos:-136.464,1787.926,1291.353;rot:329.0429,5.16453,141.3172;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_39;pos:73.67439,2109.819,1303.651;rot:18.81658,330.2862,145.5117;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_40;pos:31.68851,2027.928,1263.502;rot:6.293234,338.765,147.369;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_41;pos:-332.2817,1685.869,1704.291;rot:308.7624,110.5315,58.87726;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_42;pos:-19.73342,1943.165,1247.636;rot:353.6404,346.8375,147.3643;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_43;pos:118.7306,2243.234,1444.387;rot:42.02231,307.8839,133.823;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_44;pos:-316.9138,1663.874,1607.539;rot:303.1823,86.65035,78.32337;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_45;pos:103.3628,2183.256,1365.347;rot:30.89597,320.4528,141.3471;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_46;pos:-193.8176,1728.03,1347.955;rot:317.9231,17.75215,133.772;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_47;pos:-287.2253,1663.816,1511.625;rot:303.1663,59.04982,101.5591;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_48;pos:-77.08707,1861.304,1257.136;rot:341.1186,355.3205,145.4965;m:tube;scl:5,15.59552,5;mat:transparent;clr:255,127,204,200;;
i:tube_49;pos:-381.9923,2053.41,1923.563;rot:0.06899004,330.5482,133.5466;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_50;pos:-311.9686,2122.816,1947.974;rot:349.8025,341.5426,132.5882;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_51;pos:-73.96979,2285.976,1874.403;rot:323.3885,21.95443,115.5631;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_52;pos:-3.390913,2312.96,1806.529;rot:318.2505,40.18366,103.9953;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_53;pos:-233.7014,2187.55,1947.62;rot:339.9184,353.2502,129.526;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_54;pos:-499.582,1864.118,1726.032;rot:28.84,294.3085,123.6672;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_55;pos:-152.5244,2243.201,1922.526;rot:330.8965,6.456537,124.009;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_56;pos:-439.0004,1984.062,1876.052;rot:10.31942,319.5367,132.5188;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_57;pos:117.0181,2286.828,1535.427;rot:322.8899,99.30636,64.55954;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
i:tube_58;pos:95.47166,2313.401,1631.062;rot:318.0852,80.83527,76.30351;m:tube;scl:5,15.77671,5;mat:transparent;clr:255,178,255,200;;
