i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:830,305,-475;rot:0,180,0;m:cuboid;scl:1.05,3,72;clr:124,142,153,255;;
i:cuboid_1;pos:770,305,-475;rot:0,180,0;m:cuboid;scl:1.05,3,60;clr:124,142,153,255;;
i:cuboid_2;pos:830,305,375;rot:0,180,0;m:cuboid;scl:1.05,3,82;clr:124,142,153,255;;
i:cuboid_3;pos:770,305,375;rot:0,180,0;m:cuboid;scl:1.05,3,70;clr:124,142,153,255;;
i:cuboid_4;pos:730,305,-230;rot:0,180,0;m:cuboid;scl:1.05,3,11;clr:124,142,153,255;;
i:cuboid_5;pos:730,305,-75;rot:0,180,0;m:cuboid;scl:1.05,3,10;clr:124,142,153,255;;
i:cuboid_6;pos:730,305,105;rot:0,180,0;m:cuboid;scl:1.05,3,16;clr:124,142,153,255;;
i:cuboid_7;pos:670,305,-200;rot:0,180,0;m:cuboid;scl:1.05,3,5;clr:124,142,153,255;;
i:cuboid_8;pos:670,305,-75;rot:0,180,0;m:cuboid;scl:1.05,3,10;clr:124,142,153,255;;
i:cuboid_9;pos:670,305,75;rot:0,180,0;m:cuboid;scl:1.05,3,10;clr:124,142,153,255;;
i:cuboid_10;pos:730,305,375;rot:0,180,0;m:cuboid;scl:1.05,3,32;clr:124,142,153,255;;
i:cuboid_11;pos:670,305,375;rot:0,180,0;m:cuboid;scl:1.05,3,20;clr:124,142,153,255;;
i:cuboid_12;pos:680,305,-505;rot:0,180,0;m:cuboid;scl:1.05,3,46;clr:124,142,153,255;;
i:cuboid_13;pos:620,305,-445;rot:0,180,0;m:cuboid;scl:1.05,3,46;clr:124,142,153,255;;
i:cuboid_14;pos:630,305,-75;rot:0,180,0;m:cuboid;scl:1.05,3,10;clr:124,142,153,255;;
i:cuboid_15;pos:570,305,-105;rot:0,180,0;m:cuboid;scl:1.05,3,16;clr:124,142,153,255;;
i:cuboid_16;pos:630,305,75;rot:0,180,0;m:cuboid;scl:1.05,3,10;clr:124,142,153,255;;
i:cuboid_17;pos:570,305,75;rot:0,180,0;m:cuboid;scl:1.05,3,10;clr:124,142,153,255;;
i:cuboid_18;pos:630,305,200;rot:0,180,0;m:cuboid;scl:1.05,3,5;clr:124,142,153,255;;
i:cuboid_19;pos:570,305,230;rot:0,180,0;m:cuboid;scl:1.05,3,11;clr:124,142,153,255;;
i:cuboid_20;pos:630,305,395;rot:0,180,0;m:cuboid;scl:1.05,3,16;clr:124,142,153,255;;
i:cuboid_21;pos:570,305,425;rot:0,180,0;m:cuboid;scl:1.05,3,10;clr:124,142,153,255;;
i:cuboid_22;pos:630,305,580;rot:0,180,0;m:cuboid;scl:1.05,3,11;clr:124,142,153,255;;
i:cuboid_23;pos:570,305,550;rot:0,180,0;m:cuboid;scl:1.05,3,5;clr:124,142,153,255;;
i:cuboid_24;pos:530,305,-325;rot:0,180,0;m:cuboid;scl:1.05,3,52;clr:124,142,153,255;;
i:cuboid_25;pos:470,305,-325;rot:0,180,0;m:cuboid;scl:1.05,3,40;clr:124,142,153,255;;
i:cuboid_26;pos:530,305,250;rot:0,180,0;m:cuboid;scl:1.05,3,15;clr:124,142,153,255;;
i:cuboid_27;pos:470,305,220;rot:0,180,0;m:cuboid;scl:1.05,3,21;clr:124,142,153,255;;
i:cuboid_28;pos:530,305,425;rot:0,180,0;m:cuboid;scl:1.05,3,10;clr:124,142,153,255;;
i:cuboid_29;pos:470,305,425;rot:0,180,0;m:cuboid;scl:1.05,3,10;clr:124,142,153,255;;
i:cuboid_30;pos:530,305,550;rot:0,180,0;m:cuboid;scl:1.05,3,5;clr:124,142,153,255;;
i:cuboid_31;pos:470,305,580;rot:0,180,0;m:cuboid;scl:1.05,3,11;clr:124,142,153,255;;
