i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_1;pos:0,200,0;rot:0,135.0001,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_2;pos:791.9596,200,56.56854;rot:0,135.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_3;pos:808.5281,200,69.28203;rot:0,150,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_4;pos:827.8226,200,77.27406;rot:0,165,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_5;pos:848.5281,200,80;rot:0,180,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_6;pos:869.2336,200,77.27406;rot:0,195,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_7;pos:888.5281,200,69.28203;rot:0,210,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_8;pos:905.0967,200,56.56854;rot:0,224.9999,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_9;pos:917.8102,200,40;rot:0,240,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_10;pos:925.8022,200,20.70552;rot:0,255,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_11;pos:928.5281,200,0;rot:0,270,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_12;pos:925.8022,200,-20.70552;rot:0,285,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_13;pos:917.8102,200,-40;rot:0,300,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
i:cuboid_14;pos:905.0967,200,-56.56854;rot:0,315.0001,0;m:cuboid;scl:2.356194,22,2;t:metal4;til:0.02356195,0.22;;
