i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_2;pos:0,20,960;rot:0,90,0;m:cuboid;scl:0.2,0.2,0.2;;
i:cuboid_4;pos:0,5,1530;rot:0,90,0;m:cuboid;scl:100,1,8.2;;
i:cuboid_5;pos:0,5,450;rot:0,90,0;m:cuboid;scl:100,1,8.2;;
i:cuboid_6;pos:580,5,1000;rot:0,180,0;m:cuboid;scl:100,1,8.2;;
i:cuboid_7;pos:-580,5,1000;rot:0,180,0;m:cuboid;scl:100,1,8.2;;
i:cuboid_8;pos:100,5,1050;rot:0,224.9987,0;m:cuboid;scl:20,1,10;;
i:cuboid_9;pos:100,5,930;rot:0,135.0013,0;m:cuboid;scl:20,1,10;;
i:cuboid_10;pos:-100,5,1050;rot:0,135.0013,0;m:cuboid;scl:20,1,10;;
i:cuboid_11;pos:-100,5,930;rot:0,224.9987,0;m:cuboid;scl:20,1,10;;
i:cuboid_12;pos:100,-150,1050;rot:0,224.9987,0;m:cuboid;scl:20,30,5;;
i:cuboid_13;pos:100,-150,930;rot:0,135.0013,0;m:cuboid;scl:20,30,5;;
i:cuboid_14;pos:-100,-150,1050;rot:0,135.0013,0;m:cuboid;scl:20,30,5;;
i:cuboid_15;pos:-100,-150,930;rot:0,224.9987,0;m:cuboid;scl:20,30,5;;
i:cuboid_16;pos:0,-30,960;rot:0,90,0;m:cuboid;scl:0.2,0.2,0.2;;
i:cylinder_17;pos:0,5000,990;rot:0,180,0;m:cylinder;scl:16,1000,10;mat:transparent;;
i:spawntitan_18;pos:0,-230,1000;rot:0,180,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:cuboid_19;pos:0,-285,1000;rot:0,180,0;m:cuboid;scl:800,10,800;t:grass3;;
i:spawnhuman_20;pos:0,22,909.5;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
