i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:0,1568,0;rot:0,10,0;m:cuboid;scl:2.1,12,20;clr:0,0,0,255;;
i:cuboid_1;pos:0,1500,0;rot:0,20,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_2;pos:0,1480,0;rot:0,30,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_3;pos:0,1460,0;rot:0,40,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_4;pos:0,1440,0;rot:0,50,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_5;pos:0,1420,0;rot:0,60,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_6;pos:0,1400,0;rot:0,70,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_7;pos:0,1380,0;rot:0,80.00001,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_8;pos:0,1360,0;rot:0,90,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_9;pos:0,1340,0;rot:0,99.99999,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_10;pos:0,1320,0;rot:0,110,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_11;pos:0,1300,0;rot:0,120,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_12;pos:0,1280,0;rot:0,130,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_13;pos:0,1260,0;rot:0,140,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_14;pos:0,1240,0;rot:0,150,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_15;pos:0,1220,0;rot:0,160,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_16;pos:0,1200,0;rot:0,170,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_17;pos:0,1180,0;rot:0,180,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_18;pos:0,1160,0;rot:0,190,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_19;pos:0,1140,0;rot:0,200,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_20;pos:0,1120,0;rot:0,210,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_21;pos:0,1100,0;rot:0,220,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_22;pos:0,1080,0;rot:0,230,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_23;pos:0,1060,0;rot:0,240,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_24;pos:0,1040,0;rot:0,250,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_25;pos:0,1020,0;rot:0,260,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_26;pos:0,1000,0;rot:0,270,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_27;pos:0,980,0;rot:0,280,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_28;pos:0,960,0;rot:0,290,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_29;pos:0,940,0;rot:0,300,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_30;pos:0,920,0;rot:0,310,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_31;pos:0,900,0;rot:0,320,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_32;pos:0,880,0;rot:0,330,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_33;pos:0,860,0;rot:0,340,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_34;pos:0,840,0;rot:0,350,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_35;pos:0,820,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_36;pos:0,800,0;rot:0,10,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_37;pos:0,780,0;rot:0,20,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_38;pos:0,760,0;rot:0,30,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_39;pos:0,740,0;rot:0,40,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_40;pos:0,720,0;rot:0,50,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_41;pos:0,700,0;rot:0,60,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_42;pos:0,680,0;rot:0,70,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_43;pos:0,660,0;rot:0,80.00001,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_44;pos:0,640,0;rot:0,90,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_45;pos:0,620,0;rot:0,99.99999,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_46;pos:0,600,0;rot:0,110,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_47;pos:0,580,0;rot:0,120,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_48;pos:0,560,0;rot:0,130,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_49;pos:0,540,0;rot:0,140,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_50;pos:0,520,0;rot:0,150,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_51;pos:0,500,0;rot:0,160,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_52;pos:0,480,0;rot:0,170,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_53;pos:0,460,0;rot:0,180,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_54;pos:0,440,0;rot:0,190,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
i:cuboid_55;pos:0,420,0;rot:0,200,0;m:cuboid;scl:2,2,20;clr:255,255,255,255;;
i:cuboid_56;pos:0,400,0;rot:0,210,0;m:cuboid;scl:2,2,20;clr:0,0,0,255;;
