i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:boulder4_0;pos:-62.16,-11.14,352.11;rot:0,161.6389,0;m:boulder4;scl:2,6,2;t:crystal2;;
i:boulder4_1;pos:-43.38,-9.04,415.98;rot:0,206.6785,0;m:boulder4;scl:3,2,3;t:crystal2;;
i:boulder4_2;pos:-472.58,-8.14,-20.86;rot:0,304.3238,0;m:boulder4;scl:2,6,5;t:crystal2;;
i:boulder4_3;pos:-287.29,-8.26,23.71;rot:0,47.45678,0;m:boulder4;scl:2,6,10;t:crystal2;;
i:boulder4_4;pos:-231.53,-6.89,71.37;rot:0,223.3902,0;m:boulder4;scl:2,6,5;t:crystal2;;
i:boulder4_5;pos:-384.48,-13.05,260.04;rot:0,34.70805,0;m:boulder4;scl:2,6,40;t:crystal2;;
i:boulder4_6;pos:45.76,-19.5,253.08;rot:0,3.436716,0;m:boulder4;scl:2,6,40;t:crystal2;;
i:boulder4_7;pos:-151.38,-12.24,209.89;rot:0,28.90486,0;m:boulder4;scl:2,6,30;t:crystal2;;
i:boulder4_8;pos:-500.13,-2.94,16.78;rot:0,184.5812,0;m:boulder4;scl:2,6,10;t:crystal2;;
i:boulder4_9;pos:-54.2,-22.19,186.48;rot:0,1.145877,0;m:boulder4;scl:2,6,30;t:crystal2;;
i:boulder4_10;pos:-359.46,-15.71,-32.32;rot:0,81.0783,0;m:boulder4;scl:2,6,10;t:crystal2;;
i:boulder4_11;pos:-440.61,-5.56,-44.14;rot:359.1491,275.6786,0.7704909;m:boulder4;scl:2,6,5;t:crystal2;;
i:boulder4_12;pos:-175.28,-12.82,382.68;rot:0,216.1446,0;m:boulder4;scl:2,6,50;t:crystal2;;
i:boulder4_13;pos:-239.56,-4.66,177.36;rot:0,207.7944,0;m:boulder4;scl:2,6,2;t:crystal2;;
i:boulder4_14;pos:-404.99,-20.39,454.12;rot:0,223.3902,0;m:boulder4;scl:2,6,40;t:crystal2;;
i:boulder3_15;pos:32.94,21.54,535.24;rot:0,25.30511,0;m:boulder3;scl:4,6,4;t:crystal2;;
i:boulder3_16;pos:-25.44,27.33,545.76;rot:0,3.436716,0;m:boulder3;scl:4,6,4;t:crystal2;;
i:boulder4_17;pos:-140.4,-3.68,385.11;rot:0,217.2314,0;m:boulder4;scl:2,6,2;t:crystal2;;
i:boulder4_18;pos:-339.09,-4.95,164.84;rot:0,42.32253,0;m:boulder4;scl:2,6,10;t:crystal2;;
i:boulder4_19;pos:-344.24,-3.24,197.68;rot:0,38.68866,0;m:boulder4;scl:2,6,2;t:crystal2;;
i:boulder4_20;pos:-380.18,-11.42,106.59;rot:0,37.23138,0;m:boulder4;scl:2,6,5;t:crystal2;;
i:boulder3_21;pos:58.65,29.94,504.84;rot:0,52.10699,0;m:boulder3;scl:2,6,2;t:crystal2;;
i:boulder4_22;pos:-199.36,-4.03,529.8;rot:0,223.3902,0;m:boulder4;scl:2,6,2;t:crystal2;;
i:boulder4_23;pos:-262.82,-8.19,416.08;rot:0,31.41728,0;m:boulder4;scl:2,6,2;t:crystal2;;
i:boulder4_24;pos:-98.2,-17.68,656.05;rot:0,267.5623,0;m:boulder4;scl:2,6,15;t:crystal2;;
i:boulder4_25;pos:-240.41,-5.59,478.95;rot:0,219.7703,0;m:boulder4;scl:2,6,10;t:crystal2;;
i:boulder3_26;pos:-41.08,14.52,628.98;rot:0,49.55028,0;m:boulder3;scl:3,6,3;t:crystal2;;
i:boulder3_27;pos:-214.09,30.3,643.62;rot:0,341.6389,0;m:boulder3;scl:5,6,3;t:crystal2;;
i:boulder4_28;pos:-126.35,-16.72,585.37;rot:0,30.00984,0;m:boulder4;scl:5,2,3;t:crystal2;;
i:boulder4_29;pos:-366.22,-17.56,396.6;rot:0,220.8447,0;m:boulder4;scl:3,6,3;t:crystal2;;
i:boulder4_30;pos:-226.78,26.73,512.64;rot:0.06828313,227.6042,294.0347;m:boulder4;t:crystal2;;
i:boulder4_31;pos:-280.9,9.74,581.47;rot:359.3352,233.419,43.0301;m:boulder4;scl:1,2,1;t:crystal2;;
i:boulder4_32;pos:-126.34,22.57,467.67;rot:359.6792,217.0383,304.6006;m:boulder4;scl:1,2,1;t:crystal2;;
i:boulder4_33;pos:-617.13,-17.97,80.41;rot:0,181.1459,0;m:boulder4;scl:2,6,20;t:crystal2;;
i:boulder3_34;pos:-609.68,8.13,230.33;rot:0,300.2269,0;m:boulder3;scl:5,6,2;t:crystal2;;
i:boulder3_35;pos:-555.88,9.41,293.35;rot:0,315.1145,0;m:boulder3;scl:10,6,2;t:crystal2;;
i:boulder4_36;pos:-598.32,-11.38,222.95;rot:0,354.2752,0;m:boulder4;scl:3,6,3;t:crystal2;;
i:boulder4_37;pos:-497.47,-27.36,162.25;rot:0,31.41728,0;m:boulder4;scl:3,6,3;t:crystal2;;
i:boulder4_38;pos:-188.89,-3.95,-562.86;rot:0,251.2091,0;m:boulder4;scl:3,6,3;t:crystal2;;
i:boulder4_39;pos:-158.36,-8.31,-458.87;rot:0,284.6528,0;m:boulder4;scl:3,6,3;t:crystal2;;
i:boulder4_40;pos:-172.06,-8.19,-393.29;rot:0,345.0382,0;m:boulder4;scl:3,6,10;t:crystal2;;
i:boulder4_41;pos:-224.35,-16.63,-293.54;rot:0,321.3113,0;m:boulder4;scl:3,6,10;t:crystal2;;
i:boulder4_42;pos:-294.57,-5.38,-233.03;rot:0,310.4497,0;m:boulder4;scl:3,6,10;t:crystal2;;
i:boulder4_43;pos:-453.54,-11.44,-75.71;rot:0,317.6775,0;m:boulder4;scl:3,6,10;t:crystal2;;
i:boulder4_44;pos:-381.96,-16.4,-134.18;rot:0,135.5499,0;m:boulder4;scl:3,6,10;t:crystal2;;
i:boulder4_45;pos:-325.8,-4.65,-187.27;rot:0,137.6775,0;m:boulder4;scl:3,6,10;t:crystal2;;
i:boulder4_46;pos:-476.74,-18.83,-200.53;rot:0,147.4796,0;m:boulder4;scl:3,6,10;t:crystal2;;
i:boulder4_47;pos:-311.41,-20.19,-417.07;rot:0,141.3113,0;m:boulder4;scl:3,6,10;t:crystal2;;
i:boulder4_48;pos:-363.6,-14.39,-370.82;rot:0,321.3113,0;m:boulder4;scl:3,6,10;t:crystal2;;
i:boulder4_49;pos:-432.58,-12.32,-291.32;rot:0,324.9489,0;m:boulder4;scl:3,6,10;t:crystal2;;
i:boulder4_50;pos:-515.52,-13.06,-222.48;rot:0,181.1459,0;m:boulder4;scl:3,6,10;t:crystal2;;
i:boulder4_51;pos:-343.41,-10.03,-453.25;rot:0,103.7496,0;m:boulder4;scl:3,6,10;t:crystal2;;
