i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:-52.51981,28.21451,50.8365;rot:0,4.733546,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_1;pos:37.93901,27.83091,47.68317;rot:0,0.7283854,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_2;pos:-108.6593,36.3966,198.8113;rot:0,312.7202,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_3;pos:-1.841284,28.51379,195.4703;rot:0,316.7189,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_4;pos:6.024422,34.19944,309.2318;rot:0,52.71387,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_5;pos:132.38,30.64901,300.4753;rot:0,138.2127,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_6;pos:194.133,32.64157,145.0499;rot:0,180.4606,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_7;pos:-120.8842,29.71428,309.2909;rot:0,50.20369,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_8;pos:33.23725,32.94494,406.6185;rot:0,65.95268,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_9;pos:150.5101,29.49749,414.0581;rot:0,136.4513,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_10;pos:248.4279,28.7761,281.3631;rot:0,162.6993,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_11;pos:268.9549,30.07043,127.5001;rot:0,104.194,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_12;pos:351.5135,25.96047,175.2312;rot:0,101.6937,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_13;pos:451.6991,36.20187,89.26402;rot:0,170.6909,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_14;pos:385.1459,28.28966,25.27748;rot:0,161.4387,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_15;pos:433.7246,31.94178,-101.2264;rot:0,201.9376,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_16;pos:376.8584,37.09206,-143.3011;rot:0,206.1876,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_17;pos:479.7669,32.03359,-250.4559;rot:0,130.1651,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_18;pos:412.5493,31.81836,-300.1158;rot:0,136.9137,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_19;pos:550.1386,28.62903,-393.4205;rot:0,183.9114,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_20;pos:385.6315,31.40189,-371.0153;rot:0,272.4075,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_21;pos:190.1932,32.68356,-370.6945;rot:0,270.9068,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_22;pos:9.251682,29.13878,-365.231;rot:0,271.4063,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_23;pos:451.9102,25.30558,-485.1404;rot:0,270.1526,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_24;pos:279.8607,27.3702,-471.3825;rot:0,269.9023,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_25;pos:97.85277,30.43552,-460.3375;rot:0,271.9017,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_26;pos:-72.42813,36.59666,-402.2339;rot:0,305.1421,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_27;pos:-45.59842,32.27976,-378.0333;rot:0,235.6385,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_28;pos:19.59034,33.7701,-50.26145;rot:0,94.27913,0;m:cuboid;scl:2,8,20;t:bark3;;
i:cuboid_29;pos:14.81715,24.96071,-411.0319;rot:0,173.0252,0;m:cuboid;scl:4,4,4;mat:transparent;clr:255,255,0,175;c:trigger;c:finish;;
i:cuboid_30;pos:111.0339,-7.660209,13.74752;rot:0,91.7638,0;m:cuboid;scl:100,2,100;t:bark2;;
i:cuboid_31;pos:-26.08412,31.50844,160.4671;rot:0,355.4588,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_32;pos:-119.0645,15.09134,251.845;rot:0,315.195,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_33;pos:4.539791,17.79435,324.2338;rot:0,57.93827,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_34;pos:-19.73258,57.65995,358.5413;rot:0,56.18813,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_35;pos:161.4275,49.3208,376.156;rot:0,141.687,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_36;pos:138.9752,35.12143,321.3307;rot:0,142.6862,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_37;pos:211.5388,56.79994,283.4427;rot:0,153.1855,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_38;pos:293.941,35.00904,142.5231;rot:0,101.1841,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_39;pos:436.0917,11.39317,68.59473;rot:0,161.9316,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_40;pos:406.2886,61.62645,12.35656;rot:0,163.1816,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_41;pos:412.9171,43.48977,-109.7167;rot:0,202.6806,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_42;pos:531.8191,26.33162,-310.7548;rot:0,120.4268,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_43;pos:414.8356,18.33545,-447.4835;rot:0,271.4227,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_44;pos:324.221,39.36752,-417.8839;rot:0,271.6726,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_45;pos:188.8799,15.57306,-388.9986;rot:0,276.4211,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_46;pos:107.6836,38.29038,-440.8986;rot:0,280.1679,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_47;pos:477.188,68.6488,-420.6123;rot:0,91.41373,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_48;pos:235.0598,3.201468,223.8326;rot:0,150.8954,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_49;pos:426.8376,58.94308,138.0395;rot:0,105.8932,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_50;pos:-10.43761,20.31597,384.0183;rot:0,59.36141,0;m:cuboid;scl:3,10,25;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_51;pos:245.7668,8.479124,122.7821;rot:0,137.3552,0;m:cuboid;scl:3,10,25;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_52;pos:318.2123,8.838673,-280.5455;rot:0,97.30116,0;m:cuboid;scl:3,10,25;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_53;pos:379.6613,15.18787,275.4844;rot:0,202.2787,0;m:cuboid;scl:3,10,25;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_54;pos:-92.8451,-7.462558,-150.8567;rot:0,86.75247,0;m:cuboid;scl:150,2,150;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_55;pos:263.7758,68.05537,-218.945;rot:0,91.97591,0;m:cuboid;scl:150,2,150;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_56;pos:470.0089,68.87213,-60.61462;rot:0,89.22232,0;m:cuboid;scl:200,2,200;t:bark1;;
i:cuboid_57;pos:-7.817327,2.282643,-2.654742;rot:0,158.1325,0;m:cuboid;scl:4,1,5;t:bark2;;
i:spawnhuman_58;pos:-9.152884,9.05055,-0.8024216;rot:0,192.6803,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawnhuman_59;pos:-6.164246,8.659718,-1.019885;rot:0,181.9303,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:cuboid_60;pos:25.83206,2.042972,-409.3922;rot:0,246.1566,0;m:cuboid;scl:4,1,5;t:stone8;;
i:cuboid_61;pos:117.6553,15.34184,-412.1522;rot:0,268.3927,0;m:cuboid;scl:0.5,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_62;pos:113.0173,16.34184,-396.2758;rot:0,268.3927,0;m:cuboid;scl:0.5,0.5,0.5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
