i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_3;pos:23.61696,1023.918,273.7187;rot:0,247.3564,0;m:cuboid;scl:6,4,1;t:stone5;;
i:cuboid_4;pos:35.6333,1074.616,245.9493;rot:0,246.7713,0;m:cuboid;scl:10,7,1;t:stone5;;
i:cylinder_5;pos:-10.86453,552.4188,374.5767;rot:0,359.627,0;m:cylinder;scl:20,55,20;t:stone1;;
i:cylinder_6;pos:-7.269434,344.5537,240.9926;rot:0,90.33902,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_7;pos:-8.249863,147.6026,241.9979;rot:0,90.33902,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_8;pos:-4.576321,439.75,512.2935;rot:0,90.32748,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_9;pos:37.04524,39.20531,505.8937;rot:0,259.6458,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_10;pos:-5.523381,242.2843,512.0967;rot:0,90.32748,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_11;pos:-6.312089,541.7997,240.9876;rot:0,90.33902,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_12;pos:124.5115,392.0076,376.3315;rot:0,359.5379,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_13;pos:-4.998505,737.3495,239.9801;rot:0,90.33902,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_14;pos:-7.062321,45.9748,511.7545;rot:0,93.33128,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_15;pos:2.457427,930.1222,232.1948;rot:0,90.58902,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_16;pos:125.0655,194.9825,374.9212;rot:0,359.788,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_17;pos:-2.534743,638.1037,513.7694;rot:0,86.3271,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_18;pos:-147.3594,491.4982,369.6489;rot:0,180.2477,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_19;pos:-4.750297,836.0188,514.6651;rot:0,82.82237,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_20;pos:126.0204,31.91575,374.5525;rot:0,270.3061,0;m:cylinder;scl:10,2.5,10;t:stone2;;
i:cylinder_21;pos:-14.05923,1108.829,384.3992;rot:0,356.6917,0;m:cylinder;scl:45,1,45;t:bark1;clr:0,141,255,255;;
i:cylinder_22;pos:-147.1619,294.2643,369.2345;rot:0,180.2477,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_23;pos:124.7186,587.7032,376.7992;rot:0,1.035223,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_24;pos:91.41475,23.73527,475.6121;rot:0,281.4026,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_25;pos:124.7315,785.694,375.1727;rot:0,0.5343522,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_26;pos:-146.5365,72.00919,369.9061;rot:0,87.25689,0;m:cylinder;scl:10,7.5,10;t:stone2;;
i:cuboid_27;pos:39.90071,991.0457,235.8808;rot:0,246.8249,0;m:cuboid;scl:10,4,1;t:stone5;;
i:cylinder_28;pos:-38.05387,52.98145,508.1396;rot:0,234.1182,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_29;pos:-147.1579,687.9523,369.6976;rot:0,180.2477,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_30;pos:105.755,18.52872,445.2383;rot:0,303.4064,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_31;pos:-147.0739,884.0139,368.4234;rot:0,180.9973,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_32;pos:121.9138,12.80525,413.4901;rot:0,333.9149,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_33;pos:70.21152,31.16598,495.3497;rot:0,272.1493,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_34;pos:-63.77558,61.09012,498.603;rot:0,233.3676,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_35;pos:-92.34515,69.80983,487.4197;rot:0,200.6175,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_36;pos:-116.9295,77.35442,467.517;rot:0,191.8672,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_37;pos:-133.0961,83.67493,443.3855;rot:0,184.1159,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_38;pos:-141.9829,90.75958,408.3293;rot:0,178.6138,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_39;pos:-143.7636,103.9144,340.8917;rot:0,156.8553,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_40;pos:-130.6442,110.4967,311.8456;rot:0,155.6049,0;m:cylinder;scl:10,5,10;t:stone2;;
i:cylinder_41;pos:-106.0019,118.0426,287.7795;rot:0,144.1041,0;m:cylinder;scl:10,5,10;t:stone2;;
