i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:-60,30,-400;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:25,178,255,255;;
i:cuboid_1;pos:60,30,-400;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:25,178,255,255;;
i:cuboid_2;pos:0,30,-250;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:51,153,255,255;;
i:cuboid_3;pos:120,30,-250;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:51,153,255,255;;
i:cuboid_4;pos:-120,30,-250;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:51,153,255,255;;
i:cuboid_5;pos:60,30,-100;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:76,127,255,255;;
i:cuboid_6;pos:-60,30,-100;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:76,127,255,255;;
i:cuboid_7;pos:180,30,-100;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:76,127,255,255;;
i:cuboid_8;pos:-180,30,-100;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:76,127,255,255;;
i:cuboid_9;pos:0,30,50;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:102,102,255,255;;
i:cuboid_10;pos:120,30,50;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:102,102,255,255;;
i:cuboid_11;pos:-120,30,50;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:102,102,255,255;;
i:cuboid_12;pos:240,30,50;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:102,102,255,255;;
i:cuboid_13;pos:-240,30,50;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:102,102,255,255;;
i:cuboid_14;pos:60,30,200;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:127,76,255,255;;
i:cuboid_15;pos:-60,30,200;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:127,76,255,255;;
i:cuboid_16;pos:180,30,200;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:127,76,255,255;;
i:cuboid_17;pos:-180,30,200;m:cuboid;scl:8,6,10;t:stone4;til:3,3;clr:127,76,255,255;;
