i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:0,-4.4,0;m:cuboid;scl:150,1,150;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_1;pos:0,-4.5,0;m:cuboid;scl:150,1,150;clr:255,0,0,255;;
i:cuboid_2;pos:575,30,575;m:cuboid;scl:4,4,4;mat:transparent;clr:255,255,0,175;c:trigger;c:finish;;
i:cylinder_3;pos:-575,5,-575;m:cylinder;scl:1,0.5,1;;
i:spawnhuman_4;pos:-575,12,-575;rot:0,44.97911,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawnhuman_5;pos:-575,12,-575;rot:0,44.97911,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:cylinder_6;pos:650,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_7;pos:600,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_8;pos:550,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_9;pos:500,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_10;pos:450,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_11;pos:400,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_12;pos:350,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_13;pos:300,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_14;pos:250,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_15;pos:200,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_16;pos:150,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_17;pos:100,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_18;pos:50,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_19;pos:0,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_20;pos:-650,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_21;pos:-600,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_22;pos:-550,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_23;pos:-500,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_24;pos:-450,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_25;pos:-400,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_26;pos:-350,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_27;pos:-300,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_28;pos:-250,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_29;pos:-200,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_30;pos:-150,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_31;pos:-100,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_32;pos:-50,30,651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_33;pos:650,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_34;pos:600,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_35;pos:550,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_36;pos:500,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_37;pos:450,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_38;pos:400,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cylinder_39;pos:350,30,-651;m:cylinder;scl:1,3,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
