i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:-161.2705,87.88866,-2.297675;rot:0,269.987,0;m:cuboid;scl:30,3,1;t:stone5;;
i:cuboid_1;pos:178.1203,76.2291,-3.136423;rot:351.68,269.987,-2.588565E-06;m:cuboid;scl:1.4,1,6;t:stone5;;
i:cuboid_2;pos:-10.02202,87.81093,-156.6732;rot:0,269.987,0;m:cuboid;scl:1,3,30;t:stone5;;
i:cuboid_3;pos:-9.890922,87.90905,151.9204;rot:0,269.987,0;m:cuboid;scl:1,3,30;t:stone5;;
i:cuboid_4;pos:144.1928,87.96732,77.98071;rot:0,269.987,0;m:cuboid;scl:14.5,3,1;t:stone5;;
i:cuboid_5;pos:144.242,87.95577,-84.29992;rot:0,269.987,0;m:cuboid;scl:14.5,3,1;t:stone5;;
i:cuboid_6;pos:144.1871,80.50546,-3.264707;rot:0,269.987,0;m:cuboid;scl:2,1,1;t:stone5;;
i:cuboid_7;pos:142.4773,87.99304,151.9719;rot:0,269.987,0;m:cuboid;scl:2,3,2;t:stone5;;
i:cuboid_8;pos:142.6363,87.96931,-156.3938;rot:0,269.987,0;m:cuboid;scl:2,3,2;t:stone5;;
i:cuboid_9;pos:-161.0199,87.94386,-156.4787;rot:0,269.987,0;m:cuboid;scl:2,3,2;t:stone5;;
i:cuboid_10;pos:-161.107,87.96764,151.8405;rot:0,269.987,0;m:cuboid;scl:2,3,2;t:stone5;;
i:cuboid_11;pos:-23.12,83.99856,62.43493;rot:0,359.974,0;m:cuboid;scl:3.3,0.3,1.9;t:rock1;clr:255,0,255,255;;
i:arc180_12;pos:143.937,90.49566,-2.959758;rot:0.3204323,359.9896,270.1591;m:arc180;scl:1,2,0.9;t:stone5;;
i:cuboid_13;pos:144.1581,98.09084,-2.741666;rot:0,269.9953,0;m:cuboid;scl:2,1,1;t:stone5;;
i:cuboid_14;pos:144.1943,91.06168,8.017006;rot:-2.219812E-05,269.987,36.75996;m:cuboid;t:stone5;;
i:cuboid_15;pos:144.2054,90.98894,-14.22019;rot:1.707547E-06,269.987,325.88;m:cuboid;t:stone5;;
i:cuboid_16;pos:216.3507,71.78482,-3.11866;rot:0,269.9713,0;m:cuboid;scl:1.6,1,1.6;t:stone5;;
i:cuboid_17;pos:216.331,68.30227,18.21429;rot:2.561321E-06,269.9713,346.32;m:cuboid;scl:3,1,1.4;t:stone5;;
i:cuboid_18;pos:216.3031,68.40919,-24.44856;rot:8.537737E-07,269.9712,13.43999;m:cuboid;scl:3,1,1.4;t:stone5;;
i:cuboid_19;pos:216.2036,64.62692,41.72195;rot:0,269.9713,0;m:cuboid;scl:1.6,1,1.6;t:stone5;;
i:cuboid_20;pos:216.0758,64.60133,-47.97691;rot:0,269.9713,0;m:cuboid;scl:1.6,1,1.6;t:stone5;;
i:cuboid_21;pos:267.8784,58.33564,41.90686;rot:351.96,269.9713,-4.311244E-07;m:cuboid;scl:1.4,1,9;t:stone5;;
i:cuboid_22;pos:268.0918,58.3737,-47.92068;rot:352,269.9712,4.31082E-07;m:cuboid;scl:1.4,1,9;t:stone5;;
i:cuboid_23;pos:320.8266,51.90623,41.99212;rot:0,269.9713,0;m:cuboid;scl:1.6,1,1.6;t:stone5;;
i:cuboid_24;pos:320.9314,51.92461,-47.76818;rot:0,269.9713,0;m:cuboid;scl:1.6,1,1.6;t:stone5;;
i:cuboid_25;pos:320.8998,48.56779,20.57209;rot:1.280661E-06,269.9712,13.72;m:cuboid;scl:3,1,1.4;t:stone5;;
i:cuboid_26;pos:321.0435,48.45704,-26.50431;rot:-4.268868E-06,269.9712,346.36;m:cuboid;scl:3,1,1.4;t:stone5;;
i:cuboid_27;pos:320.6871,44.74754,-3.087553;rot:0,269.9713,0;m:cuboid;scl:1.6,1,1.6;t:stone5;;
i:cuboid_28;pos:401.5709,31.82045,-3.08679;rot:350,269.9713,-8.669445E-07;m:cuboid;scl:1.4,1,15;t:stone5;;
i:cuboid_29;pos:490.6697,18.72024,-2.871068;rot:0,269.9713,0;m:cuboid;scl:6,1,3;t:stone5;;
i:cuboid_30;pos:564.0146,8.880755,-2.794663;rot:350.44,269.9712,-1.731595E-06;m:cuboid;scl:6,1,12;t:stone5;;
i:cuboid_31;pos:638.667,-2.707394,-2.769093;rot:353.6,269.9712,1.07391E-06;m:cuboid;scl:6,1,4;t:stone5;;
i:sphere_33;pos:157.1255,53.47385,186.3179;rot:348,269.9713,345.6;m:sphere;scl:10,3,10;t:grass1;;
i:sphere_34;pos:-186.186,55.68214,176.3608;rot:340.8,135.2184,5.424365E-06;m:sphere;scl:10,3,10;t:grass1;;
i:sphere_35;pos:166.5075,56.88195,120.2842;rot:345,270.6903,-1.767783E-06;m:sphere;scl:10,3,10;t:grass1;;
i:sphere_36;pos:154.2896,59.5222,38.51577;rot:0,270.6903,0;m:sphere;scl:10,3,10;t:grass1;;
i:sphere_37;pos:239.7438,48.12444,-5.30245;rot:340.2,269.9311,3.629678E-06;m:sphere;scl:10,3,10;t:grass1;;
i:sphere_38;pos:276.3358,38.77089,-4.698553;rot:351.8,269.9311,2.587778E-06;m:sphere;scl:10,3,10;t:grass1;;
i:sphere_39;pos:221.406,44.76116,70.30103;rot:345.08,198.1803,3.28;m:sphere;scl:10,3,10;t:grass1;;
i:sphere_40;pos:232.8427,33.0659,150.9404;rot:343.8,249.6765,-8.890755E-06;m:sphere;scl:10,3,10;t:grass1;;
i:sphere_41;pos:288.3788,34.0915,78.73074;rot:345.1358,268.1974,348.4628;m:sphere;scl:10,3,10;t:grass1;;
i:sphere_42;pos:345.0896,30.03978,39.41173;rot:341.4,270.4099,5.404951E-06;m:sphere;scl:10,3,10;t:grass1;;
i:sphere_43;pos:350.8571,27.29275,-45.81769;rot:346.76,282.9049,5.262524E-06;m:sphere;scl:10,3,10;t:grass1;;
i:sphere_44;pos:401.3167,19.91525,36.59072;rot:349.2,269.6515,-8.69169E-07;m:sphere;scl:10,3,20;t:grass1;;
i:sphere_45;pos:396.1259,18.63494,-40.6702;rot:350.52,269.6515,-8.655949E-07;m:sphere;scl:10,3,20;t:grass1;;
i:sphere_46;pos:358.0671,19.44319,114.9473;rot:349.8,228.9008,8.674836E-07;m:sphere;scl:10,3,20;t:grass1;;
i:sphere_47;pos:308.6142,15.13008,174.9431;rot:352.2,223.4007,-1.077183E-06;m:sphere;scl:10,3,20;t:grass1;;
i:sphere_48;pos:441.0884,4.866118,106.6307;rot:352.24,248.1414,0;m:sphere;scl:10,3,20;t:grass1;;
i:sphere_49;pos:511.2338,3.844151,58.18607;rot:352.32,264.6385,0;m:sphere;scl:10,3,20;t:grass1;;
i:sphere_50;pos:502.6467,0.7343332,-56.9573;rot:354.2,284.887,1.501792E-06;m:sphere;scl:10,3,20;t:grass1;;
i:sphere_51;pos:207.4375,48.43113,93.59964;rot:347.4,238.1201,-8.748427E-07;m:sphere;scl:10,3,20;t:grass1;;
