i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:capsule_1;pos:209.6338,-2856.973,-55.78868;rot:0,136.9775,0;m:capsule;scl:60,5,60;clr:20,0,46,255;;
i:cuboid_2;pos:-204.5191,-1.393757,350.0899;rot:0,269.9864,0;m:cuboid;scl:1.2,0.3,41;clr:0,0,0,255;;
i:house7_3;pos:259.2338,-2809.748,-87.0381;rot:0,29.46311,0;m:house7;scl:1,0.3,0.5;clr:89,0,194,255;;
i:house5_4;pos:246.5567,-2806.2,-18.0542;rot:0,143.3234,0;m:house5;scl:0.5,0.5,0.5;clr:89,0,194,255;;
i:wagon1_5;pos:214.7353,-2812.435,-10.57366;rot:348.88,129.7054,-1.305164E-06;m:wagon1;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:wagon1_6;pos:217.2447,-2812.459,-7.660636;rot:347.4,129.458,1.312264E-06;m:wagon1;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:wagon1_7;pos:212.358,-2812.528,-13.44906;rot:349.36,129.7054,-8.687095E-07;m:wagon1;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:wagon1_8;pos:209.9455,-2812.676,-16.39146;rot:347.72,129.7055,-8.737654E-07;m:wagon1;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:wagon1_9;pos:207.2617,-2812.395,-18.94686;rot:345.48,129.7055,-1.763885E-06;m:wagon1;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:wagon1_10;pos:204.3927,-2812.132,-21.65831;rot:342,129.7054,2.244277E-06;m:wagon1;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_11;pos:132.9498,-2792.961,-43.26436;rot:0,204.6961,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_12;pos:122.8094,-2794.309,-77.66281;rot:0,69.19238,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_13;pos:98.27519,-2793.164,-58.59837;rot:0,69.19238,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_14;pos:104.5467,-2794.078,-76.96779;rot:0,69.19238,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_15;pos:164.3739,-2799.224,-132.7652;rot:0,73.9422,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_16;pos:295.1274,-2799.683,-141.9438;rot:0,73.9422,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_17;pos:348.2629,-2797.83,-25.45229;rot:0,39.19206,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_18;pos:316.1019,-2799.468,107.7884;rot:0,32.44202,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_19;pos:183.6191,-2801.107,202.3501;rot:0,3.691999,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_20;pos:127.9545,-2798.286,114.4101;rot:0,353.9389,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_21;pos:35.80976,-2798.706,65.06841;rot:0,335.4375,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_22;pos:161.0097,-2796.216,28.86041;rot:0,111.6859,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_23;pos:-2.149966,-2802.238,-92.84924;rot:0,137.6849,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_24;pos:113.3726,-2801.584,-204.6035;rot:0,105.184,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_25;pos:136.7681,-2798.33,-92.11462;rot:0,31.43374,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_26;pos:145.8156,-2798.378,-109.4876;rot:0,31.43374,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_27;pos:143.6386,-2795.839,-132.7007;rot:0,31.43374,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_28;pos:183.7264,-2795.913,-136.0143;rot:0,10.9336,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_29;pos:201.8049,-2797.986,-132.6996;rot:0,10.9336,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_30;pos:219.4465,-2797.073,-122.6967;rot:0,44.6325,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_31;pos:232.2157,-2795.51,-111.1859;rot:0,246.4264,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_32;pos:242.6996,-2796.326,-100.6776;rot:0,182.6264,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_33;pos:264.414,-2795.89,-61.39807;rot:0,259.9227,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_34;pos:264.0779,-2794.417,-43.08104;rot:0,334.3227,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_35;pos:220.9971,-2797.303,8.190564;rot:0,200.87,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_36;pos:203.461,-2799.27,12.02565;rot:0,266.02,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_37;pos:183.476,-2799.677,11.76419;rot:0,69.66915,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_38;pos:164.6737,-2794.353,4.589777;rot:0,107.9188,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_39;pos:153.0189,-2798.282,-9.71827;rot:0,107.9188,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_40;pos:143.1486,-2797.469,-26.43262;rot:0,242.3188,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_41;pos:56.43733,-2800.79,-116.8328;rot:0,59.1659,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_42;pos:24.21414,-2801.396,-163.3199;rot:0,59.1659,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_43;pos:57.73307,-2807.979,-214.8923;rot:0,59.1659,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_44;pos:147.8361,-2808.327,-159.7091;rot:0,59.1659,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_45;pos:93.62652,-2799.686,-155.5003;rot:0,59.1659,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_46;pos:65.61192,-2796.63,-54.26147;rot:0,103.4155,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_47;pos:18.17359,-2799.42,-11.69392;rot:0,29.01545,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_48;pos:66.1927,-2801.145,-88.55076;rot:0,111.6621,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_49;pos:23.41412,-2802.1,-67.03415;rot:0,102.912,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_50;pos:23.10926,-2799.502,-116.5336;rot:0,102.912,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_51;pos:40.28107,-2800.699,-94.61661;rot:0,102.912,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_52;pos:2.824178,-2799.945,-120.4344;rot:0,34.66183,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_53;pos:41.75238,-2797.382,-132.514;rot:0,6.661856,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_54;pos:88.19411,-2796.138,-89.29371;rot:0,259.8582,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_55;pos:81.02209,-2797.103,-114.6563;rot:0,330.6581,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_56;pos:108.8763,-2794.503,-101.7616;rot:0,330.6581,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_57;pos:113.2339,-2799.127,-125.8378;rot:0,330.6581,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_58;pos:73.40966,-2811.937,-139.0703;rot:0,330.6581,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_59;pos:124.4653,-2813.283,-142.1501;rot:0,329.6071,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_60;pos:22.92239,-2815.823,-96.0948;rot:0,140.4066,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_61;pos:47.68469,-2822.038,-66.82155;rot:0,175.9061,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_62;pos:49.87799,-2805.998,-165.3684;rot:0,44.65425,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_63;pos:81.7355,-2806.269,-177.4373;rot:0,27.15426,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_64;pos:86.13452,-2805.547,-207.0096;rot:0,347.1533,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_65;pos:41.06451,-2802.068,-182.6268;rot:0,347.1533,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_66;pos:63.36083,-2816.402,-179.0592;rot:0,346.9032,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_67;pos:108.9577,-2803.032,-171.0595;rot:0,317.4015,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_68;pos:129.5434,-2807.751,-177.7859;rot:0,317.4015,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_69;pos:12.57904,-2800.447,-142.68;rot:0,279.6434,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_70;pos:187.1786,-2800.625,-175.0868;rot:0,354.1253,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_71;pos:157.0467,-2820.74,-237.4623;rot:0,338.6248,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_72;pos:252.8931,-2812.183,-204.6554;rot:0,2.874087,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_73;pos:313.6413,-2801.18,-190.1499;rot:0,341.8724,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_74;pos:218.0717,-2808.189,-247.8872;rot:0,311.1215,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_75;pos:252.0309,-2797.354,-122.4967;rot:0,340.6198,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_76;pos:228.2319,-2801.025,-161.7005;rot:0,314.6188,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_77;pos:153.4469,-2800.273,-189.8933;rot:0,309.6185,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_78;pos:181.1485,-2807.276,-224.7676;rot:0,309.6183,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_79;pos:177.399,-2800.87,-191.475;rot:0,48.61835,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_80;pos:163.521,-2801.32,-151.8006;rot:0,276.617,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_81;pos:180.767,-2817.327,-157.1438;rot:0,237.617,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_82;pos:203.3202,-2808.623,-151.4282;rot:0,263.1164,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_83;pos:224.4697,-2805.281,-138.4468;rot:0,318.1137,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_84;pos:248.3107,-2797.27,-144.1343;rot:0,44.11318,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_85;pos:97.33846,-2804.896,-231.0195;rot:0,13.85119,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_86;pos:132.6429,-2808.25,-209.9547;rot:0,321.8503,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_87;pos:113.9207,-2813.21,-236.1129;rot:0,287.3488,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_88;pos:140.687,-2805.353,-247.9335;rot:0,205.7489,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_89;pos:136.7764,-2817.173,-229.77;rot:0,265.3482,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_90;pos:155.0707,-2816.647,-212.1428;rot:0,287.8456,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_91;pos:176.0401,-2809.187,-250.3028;rot:0,346.0895,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_92;pos:195.9336,-2802.676,-248.2637;rot:0,276.8895,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_93;pos:262.9604,-2798.661,-162.3876;rot:0,295.8238,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_94;pos:208.6262,-2800.461,-207.7085;rot:0,295.8238,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_95;pos:296.2176,-2805.762,-220.5495;rot:0,295.8238,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_96;pos:243.8315,-2805.162,-230.9695;rot:0,295.8238,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_97;pos:218.5461,-2814.877,-222.8915;rot:0,334.6176,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_98;pos:174.0994,-2816.467,-206.3076;rot:0,72.06772,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_99;pos:203.2911,-2806.212,-178.5881;rot:0,313.8161,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_100;pos:222.5564,-2807.295,-189.5217;rot:0,271.8129,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_101;pos:240.9806,-2806.437,-180.3004;rot:0,216.6129,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_102;pos:262.9497,-2803.984,-235.8509;rot:0,339.0591,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_103;pos:268.9885,-2815.527,-210.736;rot:0,267.3058,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_104;pos:271.1023,-2806.43,-181.3342;rot:0,239.555,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_105;pos:294.8328,-2806.88,-172.565;rot:0,239.555,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_106;pos:275.5246,-2799.934,-144.6906;rot:0,210.2984,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_107;pos:269.5112,-2811.193,-120.3486;rot:0,258.2977,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_108;pos:310.2679,-2797.996,-86.05841;rot:0,303.5454,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_109;pos:346.1309,-2802.996,-140.7935;rot:0,303.5454,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_110;pos:345.528,-2809.641,-174.0479;rot:0,235.2415,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_111;pos:309.6428,-2802.615,-158.4781;rot:0,244.0869,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_112;pos:321.3286,-2817.416,-150.3758;rot:0,55.68687,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_113;pos:311.3232,-2810.124,-130.6093;rot:0,276.2794,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_114;pos:330.9938,-2814.522,-123.7188;rot:0,320.6793,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_115;pos:318.1661,-2806.971,-102.9969;rot:0,134.077,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_116;pos:289.4234,-2811.227,-99.07614;rot:0,267.7766,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_117;pos:292.4073,-2810.025,-124.3794;rot:0,342.1766,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_118;pos:92.14257,-2799.427,-9.35849;rot:0,182.2656,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_119;pos:-9.947306,-2806.093,29.23062;rot:0,217.7652,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_120;pos:109.151,-2804.983,52.80116;rot:0,139.5146,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
i:tree2_121;pos:76.91051,-2802.441,126.9998;rot:0,90.76459,0;m:tree2;scl:0.3,0.3,0.3;clr:89,0,194,255;;
