i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:-7.494504,49.88862,4.807927;rot:0,180,0;m:cuboid;scl:135,10,135;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_2;pos:-7.628267,139.7679,4.740594;rot:0,180,0;m:cuboid;scl:135,10,135;t:stone8;;
i:spawnhuman_3;pos:-10.00364,484.882,-9.938233;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawnhuman_4;pos:-10.00503,484.0516,-9.949316;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:cuboid_5;pos:-0.8180345,326.5797,507.1324;rot:347.84,179.9975,-1.332656E-10;m:cuboid;scl:1.5,0.3,22;t:stone3;til:3,3;;
i:prism_6;pos:-396.4337,328.0605,-15.99929;rot:90,179.9999,0;m:prism;scl:40,80,5;t:grass1;clr:110,110,110,255;;
i:prism_7;pos:403.9658,327.9668,-16.07225;rot:90,179.9999,0;m:prism;scl:40,80,5;t:grass1;clr:110,110,110,255;;
i:prism_8;pos:-15.94862,328.1109,395.2862;rot:90,270.2,0;m:prism;scl:40,80,5;t:grass1;clr:110,110,110,255;;
i:prism_9;pos:16.19007,328.1576,-395.8579;rot:89.93745,89.85017,0;m:prism;scl:40,80,5;t:grass1;clr:110,110,110,255;;
i:pyramid_10;pos:-399.5715,328.8536,399.118;rot:0,89.99899,0;m:pyramid;scl:23,2.5,23;t:grass1;clr:110,110,110,255;;
i:pyramid_11;pos:-398.313,329.1411,-398.5378;rot:0,89.99899,0;m:pyramid;scl:23,2.5,23;t:grass1;clr:110,110,110,255;;
i:pyramid_12;pos:400.1612,328.6007,-399.6007;rot:0,89.99899,0;m:pyramid;scl:23,2.5,23;t:grass1;clr:110,110,110,255;;
i:pyramid_13;pos:401.1512,328.1989,399.617;rot:0,89.99899,0;m:pyramid;scl:23,2.5,23;t:grass1;clr:110,110,110,255;;
i:cuboid_14;pos:457.2773,302.9253,-771.2421;rot:0,180,0;m:cuboid;scl:30,1,32;t:grass1;clr:107,107,107,255;;
i:cuboid_15;pos:-1094.16,302.82,-765.8363;rot:0,180,0;m:cuboid;scl:31.1,1,32.2;t:grass1;clr:107,107,107,255;;
i:cuboid_16;pos:-769.5809,302.8029,-766.4721;rot:0,180,0;m:cuboid;scl:31.1,1,32.2;t:grass1;clr:107,107,107,255;;
i:cuboid_17;pos:1093.065,302.894,453.6138;rot:0,180,0;m:cuboid;scl:31.3,1,30.5;t:grass1;clr:107,107,107,255;;
i:cuboid_18;pos:768.5917,302.8157,1091.117;rot:0,180,0;m:cuboid;scl:31.3,1,32;t:grass1;clr:107,107,107,255;;
i:cuboid_19;pos:-769.3207,302.8622,1099.647;rot:0,180,0;m:cuboid;scl:31.1,1,32.5;t:grass1;clr:107,107,107,255;;
i:cuboid_20;pos:-151.8551,302.9225,1093.017;rot:0,180,0;m:cuboid;scl:29,1,31.5;t:grass1;clr:107,107,107,255;;
i:tower1_21;pos:-12.12057,362.1371,-391.6811;rot:0,180,0;m:tower1;scl:116.7,0.2,1.5;;
i:tower1_22;pos:-392.8201,362.2118,12.30371;rot:0,269.9984,0;m:tower1;scl:116.7,0.2,1.5;;
i:tower1_23;pos:398.2777,362.1117,12.46243;rot:0,269.9984,0;m:tower1;scl:116.7,0.2,1.5;;
i:tower1_24;pos:196.8056,362.0532,398.2136;rot:0,179.9977,0;m:tower1;scl:57.3,0.2,1.5;;
i:tower1_25;pos:-210.5538,362.0937,398.2087;rot:0,179.9977,0;m:tower1;scl:57.3,0.2,1.5;;
i:tower1_26;pos:-4.202808,367.4556,397.9874;rot:0,180.2477,0;m:tower1;scl:10,0.1,1.5;;
i:tower1_27;pos:-0.6150293,363.0125,391.2217;rot:0.04008511,-0.002330926,180;m:tower1;scl:10,0.02,1.5;;
i:arc180_28;pos:-1.113784,357.2797,394.549;rot:359.7599,269.798,269.88;m:arc180;scl:1.4,1.9,0.9;clr:255,249,223,255;;
i:cuboid_29;pos:-7.713769,360.6003,394.9885;rot:1.042204E-10,179.9975,30.40001;m:cuboid;scl:0.5,0.5,0.9;clr:255,249,223,255;;
i:cuboid_30;pos:6.028111,360.9146,395.0269;rot:1.563306E-10,179.9975,318.8;m:cuboid;scl:0.5,0.5,0.9;clr:255,249,223,255;;
i:tower1_31;pos:-1.207766,348.4848,391.9819;rot:270.0396,179.9975,0;m:tower1;scl:2.5,0.15,0.5;;
i:cuboid_32;pos:-607.0361,306.5242,454.9785;rot:0,179.9975,0;m:cuboid;scl:1.5,0.3,32;t:stone3;til:3,3;;
i:cuboid_33;pos:-607.1256,306.4651,146.9474;rot:0,179.9975,0;m:cuboid;scl:1.5,0.3,30;t:stone3;til:3,3;;
i:cuboid_34;pos:-607.1287,306.4647,-152.8553;rot:0,179.9975,0;m:cuboid;scl:1.5,0.3,30;t:stone3;til:3,3;;
i:cuboid_35;pos:-607.1638,306.5106,-452.1392;rot:0,179.9975,0;m:cuboid;scl:1.5,0.3,30;t:stone3;til:3,3;;
i:cuboid_36;pos:606.7274,306.4859,459.8754;rot:0,179.7476,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_37;pos:608.0829,306.5085,151.1124;rot:0,179.7476,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_38;pos:609.4443,306.4966,-158.1806;rot:0,179.7476,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_39;pos:610.8093,306.5061,-457.9196;rot:0,179.7476,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_40;pos:-445.4754,306.4691,607.4473;rot:0,89.99674,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_41;pos:-145.6581,306.4889,607.5468;rot:0,89.99674,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_42;pos:164.0955,306.4965,607.5148;rot:0,89.99674,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_43;pos:458.2203,306.4511,607.2682;rot:0,89.99674,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_44;pos:-459.4913,306.4772,-606.3602;rot:0,89.99674,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_45;pos:-149.6677,306.4646,-606.1948;rot:0,89.99674,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_46;pos:160.119,306.4675,-605.5403;rot:0,89.99674,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_47;pos:462.2964,306.4778,-605.4066;rot:0,89.99674,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_48;pos:-0.8186752,306.4549,767.2524;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_49;pos:-0.9453797,306.5385,-771.181;rot:0,179.9974,0;m:cuboid;scl:1.5,0.3,32;t:stone3;til:3,3;;
i:cuboid_50;pos:768.5517,306.4726,-0.9418364;rot:0,89.99906,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_51;pos:-769.6083,306.4749,-0.9336638;rot:0,89.99906,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_52;pos:-769.2726,306.4719,607.1253;rot:0,89.99907,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_53;pos:768.4639,306.5002,607.4035;rot:0,89.99906,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_54;pos:768.2815,306.5059,-605.3824;rot:0,89.99906,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_55;pos:-769.4049,306.5089,-606.3907;rot:0,89.99907,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_56;pos:-769.085,306.5215,302.9522;rot:0,89.99906,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_57;pos:-769.6163,306.4695,-303.9133;rot:0,89.99906,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_58;pos:768.468,306.4943,-303.9154;rot:0,89.99906,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_59;pos:768.5947,306.5028,301.2348;rot:0,89.99906,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_60;pos:606.0601,306.4623,764.803;rot:0,179.9979,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_61;pos:-607.017,306.5027,769.5474;rot:0,179.9979,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_62;pos:302.0227,306.4547,765.9642;rot:0,179.9979,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_63;pos:-304.2766,306.4465,768.3294;rot:0,179.9979,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_64;pos:-303.9883,306.602,-769.044;rot:0,179.9974,0;m:cuboid;scl:1.5,0.3,32;t:stone3;til:3,3;;
i:cuboid_65;pos:-607.1285,306.4791,-768.8201;rot:0,179.9979,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_66;pos:611.4963,306.4831,-771.1;rot:0,179.9974,0;m:cuboid;scl:1.5,0.3,32;t:stone3;til:3,3;;
i:cuboid_67;pos:-0.8848318,306.4656,1091.904;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_68;pos:-304.4054,306.4656,1093.41;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_69;pos:-607.0571,306.4918,1094.476;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_70;pos:302.0206,306.5459,1090.286;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_71;pos:606.0562,306.5075,1088.778;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
i:cuboid_72;pos:611.5214,306.498,-1098.855;rot:0,180,0;m:cuboid;scl:1.5,0.3,31;t:stone3;til:3,3;;
