i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:22.48545,-2.929785,43.66789;rot:0,2.234639,0;m:cuboid;scl:100,1,100;t:grass1;clr:165,173,168,255;;
i:house4_1;pos:108.0967,-0.5020286,-206.5556;rot:0,181.569,0;m:house4;scl:3,1,1;clr:165,173,168,255;;
i:house4_2;pos:-195.9208,-0.7508898,-51.11286;rot:0,180.7106,0;m:house4;scl:3,1,1;clr:165,173,168,255;;
i:house4_3;pos:174.9849,-7.637065,232.7604;rot:0,182.3788,0;m:house4;scl:3,2.5,4;clr:165,173,168,255;;
i:house4_4;pos:-73.72761,1.175653,484.3859;rot:0,182.8669,0;m:house4;scl:4.5,2.5,6;clr:165,173,168,255;;
i:tree3_5;pos:50.55162,-26.28495,368.0721;rot:0,359.5233,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_6;pos:128.6614,-26.96495,362.5773;rot:0,359.5233,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_7;pos:49.32749,-23.76261,277.6467;rot:0,359.5233,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_8;pos:-247.2406,-22.20823,486.0187;rot:0,359.009,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_9;pos:-343.65,-24.09717,494.6918;rot:0,2.758524,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_10;pos:-438.5081,-25.01865,504.0675;rot:0,2.758524,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_11;pos:-352.259,-21.6198,395.7506;rot:0,2.758524,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_12;pos:-440.4254,-19.05847,397.8388;rot:0,2.758524,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_13;pos:-353.6231,-26.45964,303.9019;rot:0,359.2236,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_14;pos:-441.1861,-21.0595,307.9587;rot:0,359.1836,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_15;pos:-380.5526,-21.78233,26.34992;rot:0,3.601098,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_16;pos:-446.2806,-20.66221,29.61683;rot:0,3.601098,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_17;pos:-449.3602,-27.90226,-43.88391;rot:0,3.601098,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_18;pos:-378.563,-27.15599,-51.16356;rot:0,2.08863,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_19;pos:-459.8557,-21.82736,-299.8841;rot:0,2.050993,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_20;pos:-394.6745,-24.61081,-304.2051;rot:0,358.033,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_21;pos:-463.9778,-18.16642,-379.0694;rot:0,4.282473,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_22;pos:-393.8448,-21.88548,-381.2957;rot:0,6.000987,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_23;pos:-329.0331,-19.12462,-385.7429;rot:0,2.750992,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_24;pos:-266.7637,-23.76548,-390.8546;rot:0,2.750992,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_25;pos:-203.2306,-23.7248,-395.2638;rot:0,2.750992,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_26;pos:-129.9294,-19.55836,-399.756;rot:0,359.5009,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_27;pos:-55.23608,-23.91517,-399.9254;rot:0,0.5006926,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_28;pos:14.30755,-25.15528,-401.0958;rot:0,0.5006926,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_29;pos:87.07155,-25.11332,-403.7358;rot:0,3.222935,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_30;pos:160.7798,-24.43291,-405.2657;rot:0,3.222935,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_31;pos:233.316,-26.83105,-410.6472;rot:0,3.222935,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_32;pos:308.0238,-31.1177,-414.9469;rot:0,3.698117,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_33;pos:384.5635,-27.12185,-420.6794;rot:0,1.448115,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_34;pos:455.0783,-26.91745,-421.3958;rot:0,3.632136,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_35;pos:376.8127,-24.39561,-344.7445;rot:0,1.601612,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_36;pos:456.3604,-25.83532,-350.9651;rot:0,1.601612,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_37;pos:50.52265,-21.17444,465.2566;rot:0,359.8039,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_38;pos:134.1567,-18.06595,462.2861;rot:0,1.053887,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_39;pos:213.6498,-23.13169,363.9651;rot:0,359.7971,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_40;pos:219.5922,-20.33145,451.935;rot:0,359.7971,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_41;pos:302.4987,-29.64652,355.0048;rot:0,0.2161161,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_42;pos:303.8473,-16.00663,453.4566;rot:0,0.2161161,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_43;pos:386.8977,-18.00649,451.7322;rot:0,0.2161161,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_44;pos:471.2178,-19.52637,451.5311;rot:0,0.2161161,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_45;pos:301.675,-27.86245,270.7415;rot:0,3.96611,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_46;pos:300.6559,-22.50167,193.4191;rot:0,3.96611,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_47;pos:380.6064,-22.29285,349.71;rot:0,2.675438,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_48;pos:458.0551,-21.45262,349.1311;rot:0,2.675438,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_49;pos:374.9304,-26.04208,270.2934;rot:0,2.675439,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_50;pos:450.983,-21.24201,270.7281;rot:0,2.675439,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_51;pos:370.5565,-24.5247,199.7341;rot:0,359.9035,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_52;pos:453.3931,-23.00466,204.8066;rot:0,359.9035,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_53;pos:373.7001,-27.59378,-278.2796;rot:0,0.1071074,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_54;pos:453.7031,-29.35381,-279.3272;rot:0,0.1071074,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_55;pos:374.0389,-29.33566,-213.0246;rot:0,4.350009,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_56;pos:453.3988,-33.77546,-210.7112;rot:0,359.8498,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_57;pos:378.64,-27.19406,-148.9306;rot:0,357.2138,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_58;pos:456.2764,-27.15388,-148.3733;rot:0,357.2138,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_59;pos:-454.4575,-25.18403,-110.2654;rot:0,4.162505,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_60;pos:-378.7401,-22.66643,-111.2881;rot:0,3.162504,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_61;pos:-444.7397,-26.20761,226.7682;rot:0,2.3725,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:tree3_62;pos:-352.0106,-24.88815,225.7562;rot:0,2.3725,0;m:tree3;scl:1.5,1.7,1;clr:165,173,168,255;;
i:cuboid_63;pos:505.1723,-6.140779,31.74999;rot:0,90.70034,0;m:cuboid;scl:25,1,30;clr:0,49,223,255;;
i:plane_64;pos:470.2587,3.480258,29.06241;rot:0,91.96738,0;m:plane;scl:25,1,30;t:lava1;clr:0,49,223,255;;
i:leaf1_65;pos:-434.108,0.7123932,-177.408;rot:0,274.613,0;m:leaf1;clr:208,69,185,255;;
i:leaf1_66;pos:-465.2171,0.3520955,-218.003;rot:0,274.613,0;m:leaf1;clr:208,69,185,255;;
i:leaf1_67;pos:-401.7698,0.3254877,-222.8651;rot:0,276.3591,0;m:leaf1;clr:208,69,185,255;;
i:leaf1_68;pos:-374.718,-0.687474,-181.8157;rot:0,269.3546,0;m:leaf1;clr:208,69,185,255;;
i:tree3_69;pos:-323.7678,0.990776,-323.2;rot:0,195.3053,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_70;pos:-276.3741,1.341472,-326.9993;rot:0,181.3036,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_71;pos:-230.129,0.8614767,-331.1124;rot:0,181.3036,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_72;pos:-187.6963,1.70147,-336.6571;rot:0,181.3036,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_73;pos:323.501,0.3817107,-345.016;rot:0,86.51179,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_74;pos:321.4397,-0.06591137,-277.4619;rot:0,89.51173,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_75;pos:328.05,-1.025982,-213.4481;rot:0,89.26173,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_76;pos:330.9918,-1.987084,-154.9709;rot:0,89.26173,0;m:tree3;scl:0.5,0.5,0.5;;
i:cuboid_77;pos:-408.7532,-2.383456,-92.70074;rot:0,2.336484,0;m:cuboid;scl:15,1,30;t:grass1;clr:95,168,81,255;;
i:cuboid_78;pos:-319.9214,-2.30827,-346.3113;rot:0,272.2544,0;m:cuboid;scl:20,1,35;t:grass1;clr:95,168,81,255;;
i:cuboid_79;pos:177.1514,-1.978874,-414.8541;rot:0,92.50413,0;m:cuboid;scl:10,1,65;t:grass1;clr:95,168,81,255;;
i:cuboid_80;pos:411.3601,-2.005836,-246.6532;rot:0,182.1417,0;m:cuboid;scl:20,1,30;t:grass1;clr:95,168,81,255;;
i:cuboid_81;pos:273.5577,-2.188549,349.2209;rot:0,182.2961,0;m:cuboid;scl:52,1,37;t:grass1;clr:95,168,81,255;;
i:cuboid_82;pos:-320.1572,-1.95427,436.2947;rot:0,2.15543,0;m:cuboid;scl:30,1,25;t:grass1;clr:95,168,81,255;;
i:cuboid_83;pos:-395.1691,-2.078851,258.0278;rot:0,1.85561,0;m:cuboid;scl:15,1,15;t:grass1;clr:95,168,81,255;;
i:cuboid_85;pos:32.06555,-8.209701,-917.1475;rot:0,0.6580256,0;m:cuboid;scl:50,1,50;t:grass4;;
i:house4_86;pos:103.476,-4.45877,-810.3174;rot:0,181.1266,0;m:house4;scl:1.3,0.5,1.7;;
i:house4_87;pos:-34.84882,-4.55401,-900.7531;rot:0,181.6649,0;m:house4;scl:2,0.3,1;;
i:house4_88;pos:-5.479379,-4.390168,-759.6449;rot:0,180.3356,0;m:house4;scl:2,0.7,2;;
i:house4_89;pos:109.3731,-3.789907,-933.7235;rot:0,179.7033,0;m:house4;scl:2,0.3,1;;
i:tree3_90;pos:55.79518,-9.216881,-806.3538;rot:0,359.8253,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_91;pos:52.55278,-8.673594,-773.5512;rot:0,2.324227,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_92;pos:52.36013,-8.2479,-736.3623;rot:0,269.0486,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_93;pos:51.30889,-9.048032,-702.1454;rot:0,269.0486,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_94;pos:83.67198,-8.888032,-773.0118;rot:0,269.0486,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_95;pos:135.2008,-9.40791,-770.8536;rot:0,269.0486,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_96;pos:111.8916,-10.56803,-771.236;rot:0,269.0486,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_97;pos:80.13692,-9.247827,-736.717;rot:0,269.0486,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_98;pos:138.0097,-9.528031,-737.1454;rot:0,269.0486,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_99;pos:136.461,-7.968032,-709.025;rot:0,269.0486,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_100;pos:166.2481,-8.96097,-773.1942;rot:0,359.9849,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_101;pos:166.711,-8.840976,-737.0065;rot:0,359.9849,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_102;pos:165.1153,-12.12097,-706.7261;rot:0,359.9849,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_103;pos:198.8053,-9.876739,-714.384;rot:0,359.462,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_104;pos:230.803,-8.716768,-713.8597;rot:0,359.462,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_105;pos:198.866,-9.317743,-742.5941;rot:0,359.462,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_106;pos:198.9382,-11.15674,-773.2144;rot:0,359.462,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_107;pos:230.6234,-8.917449,-744.2059;rot:0,359.462,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_108;pos:227.9708,-10.07674,-772.6741;rot:0,359.462,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_109;pos:19.04177,-8.917656,-704.1611;rot:0,0.6226075,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_110;pos:-12.62804,-9.237656,-702.6309;rot:0,0.6226075,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_111;pos:-43.11014,-10.15765,-703.098;rot:0,0.6226075,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_112;pos:-65.91066,-8.379792,-701.035;rot:0,359.1003,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_113;pos:-91.60947,-7.819797,-699.9667;rot:0,359.1003,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_114;pos:-116.6895,-7.779797,-700.2568;rot:0,359.1003,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_115;pos:-118.4395,-8.304208,-727.2934;rot:0,359.347,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_116;pos:-93.55957,-8.504208,-727.2446;rot:0,359.347,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_117;pos:-115.484,-9.624207,-753.0712;rot:0,359.347,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_118;pos:-93.12059,-9.904206,-753.9957;rot:0,359.347,0;m:tree3;scl:0.5,0.5,0.5;;
i:leaf3_119;pos:57.17646,-2.255086,-825.3141;rot:0,1.305981,0;m:leaf3;scl:0.5,0.5,0.5;;
i:tree3_120;pos:54.28209,-9.418646,-828.0558;rot:0,5.805975,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_121;pos:-94.84024,-11.67503,-783.3592;rot:0,2.038312,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_122;pos:-120.9371,-12.71502,-784.4196;rot:0,2.038312,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_123;pos:-57.80112,-7.323478,-1014.776;rot:0,184.9557,0;m:tree3;scl:0.2,0.2,0.2;;
i:tree3_124;pos:-126.474,-14.99503,-857.9048;rot:0,2.038312,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_125;pos:-127.7728,-14.13308,-882.255;rot:0,1.268149,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_126;pos:-129.617,-13.49308,-907.8086;rot:0,1.268149,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_127;pos:-129.076,-13.53308,-937.7012;rot:0,1.268149,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_128;pos:-133.0645,-9.075681,-1001.809;rot:0,3.242203,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_129;pos:-133.3528,-9.3285,-1030.388;rot:0,0.2421799,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_130;pos:-101.7071,-8.7685,-1036.793;rot:0,359.9922,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_131;pos:-134.9547,-8.832533,-1065.276;rot:0,3.492182,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_132;pos:-108.1978,-9.145123,-1067.526;rot:0,358.2419,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_133;pos:-81.18566,-9.680656,-1069.044;rot:0,359.9651,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_134;pos:-53.9607,-10.13911,-1070.494;rot:0,3.215065,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_135;pos:40.03544,-10.88869,-1075.832;rot:0,3.961937,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_136;pos:9.836351,-9.80844,-1074.729;rot:0,3.961937,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_137;pos:-22.19807,-10.60844,-1072.818;rot:0,3.961937,0;m:tree3;scl:0.5,0.5,0.5;;
i:tree3_138;pos:-59.13019,-9.648692,-1038.639;rot:0,3.961937,0;m:tree3;scl:0.5,0.5,0.5;;
