i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:0,-24.29533,0;m:cuboid;scl:1100,5,1100;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_2;pos:0,-24.66419,0;m:cuboid;scl:1100,5,1100;t:earth2;til:600,600;clr:66,165,243,255;;
i:trunk1_5;pos:-9.236265,-4.716258,-10.38687;rot:0,184.8062,0;m:trunk1;scl:5,1,5;t:earth2;til:20,20;clr:165,110,63,255;;
i:trunk1_6;pos:-9.484074,5.083784,-10.11798;rot:0.05541093,185.4173,0.01430409;m:trunk1;scl:3.5,0.65,3.5;t:grass2;til:15,15;;
i:cylinder_7;pos:-9.383071,16.52061,-10.26542;rot:0,0.3761097,0;m:cylinder;scl:5.025,1,5.025;t:stone1;til:4,1.5;;
i:cylinder_8;pos:-9.417899,26.04254,-10.25294;rot:0,0.1862313,0;m:cylinder;scl:5,0.05,5;t:stone1;til:3,3;;
i:cuboid_9;pos:-9.594377,-0.991311,-62.03934;rot:331.24,359.9374,2.663043E-08;m:cuboid;scl:1.2,3,6;t:stone1;til:0.75,4;;
i:cuboid_11;pos:-19.46813,2.78844,88.12762;rot:0,90.15464,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_12;pos:-9.841905,11.54013,15.44729;rot:0,179.7691,0;m:cuboid;scl:1.2,3,1.2;t:stone1;til:0.75,0.75;;
i:cuboid_13;pos:-9.918686,-0.06170802,41.88236;rot:334.2,179.9205,5.556454E-09;m:cuboid;scl:1.2,3,6;t:stone1;til:0.7,4;;
i:cuboid_14;pos:-9.923454,3.474659,78.60839;rot:0,179.9591,0;m:cuboid;scl:2,0.05,2;t:wood1;;
i:cuboid_15;pos:-19.44156,2.764834,69.08537;rot:0,89.46341,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_16;pos:-0.4271751,2.681363,88.12727;rot:0,180.1031,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_17;pos:-0.4077959,2.803296,69.0866;rot:0,269.9724,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_18;pos:-19.44889,1.186959,78.41309;rot:0,90.22035,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_19;pos:-0.3913739,1.099668,78.77246;rot:0,269.9293,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_20;pos:-10.12134,2.683672,88.15499;rot:0,180.7482,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_21;pos:27.47559,2.749993,133.0668;rot:0,90.23672,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_22;pos:-43.6564,2.754702,124.2855;rot:0,275.6479,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:arc180_23;pos:-9.800697,3.437188,60.47303;rot:0,90.13317,0;m:arc180;scl:5,0.1,5;t:wood1;til:8,8;;
i:arc180_24;pos:-75.40549,3.451358,90.41959;rot:0,11.18901,0;m:arc180;scl:5,0.1,5;t:wood1;til:8,8;;
i:arc180_25;pos:54.24622,3.450787,88.27808;rot:0,168.8831,0;m:arc180;scl:5,0.1,5;t:wood1;til:8,8;;
i:arc180_26;pos:-10.0033,3.444723,148.7607;rot:0,90.13781,0;m:arc180;scl:5,0.1,5;t:wood1;til:8,8;;
i:cuboid_27;pos:-9.630679,11.54606,-36.94317;rot:0,359.9157,0;m:cuboid;scl:1.2,3,1.2;t:stone1;til:0.75,0.75;;
i:cuboid_28;pos:12.20238,-15.03706,-9.483991;rot:0,268.1766,0;m:cuboid;scl:1.75,8,0.1;mat:transparent;clr:0,0,255,175;l:0;c:start;;
i:cuboid_29;pos:5.532919,35.24466,-26.08634;rot:0,316.4679,0;m:cuboid;scl:1.75,8,0.1;mat:transparent;clr:0,0,255,175;l:0;c:start;;
i:cylinder_31;pos:14.66125,26.06306,-9.374332;rot:0,267.4498,0;m:cylinder;scl:1.75,0.05,1.75;t:metal2;;
i:cuboid_32;pos:-9.389134,3.303474,-94.85103;rot:0,0.01675535,0;m:cuboid;scl:2,0.05,2;t:wood1;;
i:cuboid_33;pos:0.1406443,2.635497,-104.3801;rot:0,0.1507153,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_34;pos:-18.91489,2.612853,-104.3689;rot:0,0.5985809,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_35;pos:-18.99408,2.678058,-85.33864;rot:0,89.85837,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_36;pos:0.1202988,2.639912,-85.33949;rot:0,270.6346,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_37;pos:-9.427176,1.029941,-104.3881;rot:0,0.02185906,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_38;pos:-18.93354,2.704162,-95.11444;rot:0,89.19173,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_39;pos:0.111199,2.669546,-94.95921;rot:0,270.0812,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_40;pos:29.52989,2.686343,35.8071;rot:0,352.8288,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
i:cuboid_41;pos:38.67746,2.699274,35.83959;rot:0,0.03811378,0;m:cuboid;scl:0.1,0.5,0.1;t:wood1;til:0.1,0.3;;
