i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_11;pos:-5,5,0;rot:0,180,0;m:cuboid;t:metal4;til:0.1,0.1;;
i:cuboid_12;pos:5,5,0;rot:0,180,0;m:cuboid;t:metal4;til:0.1,0.1;;
i:cuboid_15;pos:0,5,0;rot:0,180,180;m:cuboid;scl:4,1,3;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_16;pos:0,25,0;rot:0,180,180;m:cuboid;scl:4,1,3;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_17;pos:15,15,0;rot:0,180,180;m:cuboid;scl:1,3,3;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_18;pos:-15,15,0;rot:0,180,180;m:cuboid;scl:1,3,3;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_19;pos:0,15,10;rot:0,180,180;m:cuboid;scl:4,3,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_20;pos:0,15,-10;rot:0,180,180;m:cuboid;scl:4,3,1;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:spawnhuman_22;pos:563.2927,161,-559.8314;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawnhuman_23;pos:567.7367,161,-582.7166;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:spawnhuman_24;pos:623.064,160,-577.875;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:spawnhuman_25;pos:641.7272,160,-581.3238;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawnhuman_26;pos:649.496,160,-548.4927;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:spawnhuman_27;pos:624.6434,160,-537.9468;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawnhuman_28;pos:593.717,160,-548.099;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:spawnhuman_29;pos:580.1393,160,-565.7957;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawnhuman_30;pos:551.9338,160,-535.3759;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:spawnhuman_31;pos:565.9338,160,-535.3759;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:cuboid_38;pos:495,119.5,-592;rot:0,180,0;m:cuboid;scl:5,2,5;mat:transparent;clr:255,255,0,175;c:trigger;c:finish;;
