i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:-2490.403,14.47279,1643.666;rot:0,271.7642,0;m:cuboid;scl:300,10,300;t:grass3;;
i:boulder4_1;pos:-48.27973,60.06435,957.9854;rot:8.362881,192.8481,27.67768;m:boulder4;;
i:cuboid_3;pos:2418.303,11.62072,1549.579;rot:0,92.50359,0;m:cuboid;scl:300,10,300;t:grass3;;
i:cuboid_4;pos:107.3775,1158.598,656.6242;rot:0,178.259,0;m:cuboid;scl:100,200,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_7;pos:-541.6044,175.6839,550.4282;rot:0,171.9657,0;m:cuboid;scl:100,200,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_10;pos:523.4612,78.86304,599.9519;rot:0,187.3681,0;m:cuboid;scl:100,200,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_11;pos:-2190.434,17.70156,-1171.35;rot:0,179.266,0;m:cuboid;scl:300,10,300;t:grass3;;
i:cuboid_12;pos:2353.874,18.43963,-961.1234;rot:0,87.36831,0;m:cuboid;scl:300,10,300;t:grass3;;
i:cuboid_15;pos:242.2625,-9.446362,-347.0869;rot:0,177.7716,0;m:cuboid;scl:80,15,80;t:stone1;;
i:boulder1_16;pos:-2.029014,103.77,681.8305;rot:0,174.8122,0;m:boulder1;t:crystal2;;
i:cuboid_18;pos:60.10527,19.6302,25.17305;rot:0,272.9624,0;m:cuboid;scl:100,10,100;t:stone1;;
i:boulder1_19;pos:-633.3129,87.95607,847.2203;rot:0,243.3034,0;m:boulder1;scl:0.3,0.3,0.3;;
i:cuboid_20;pos:534.9104,10.6892,3445.127;rot:0,4.040085,0;m:cuboid;scl:300,10,300;t:grass3;;
i:tower1_21;pos:504.1195,142.1047,376.2079;rot:0,60.63365,0;m:tower1;scl:8,2,6;;
i:tower1_22;pos:534.9875,141.8445,329.8774;rot:0,59.97186,0;m:tower1;scl:8,2,6;;
i:tower1_23;pos:563.9677,140.7763,280.5879;rot:0,67.92184,0;m:tower1;scl:8,2,6;;
i:cuboid_24;pos:399.2833,40.72443,775.6892;rot:0,182.3885,0;m:cuboid;scl:100,5,100;t:grass3;;
i:tower1_25;pos:622.8044,144.2878,15.23045;rot:0,83.60964,0;m:tower1;scl:8,2,6;;
i:tower1_26;pos:600.2333,141.0654,176.1382;rot:0,74.5913,0;m:tower1;scl:8,2,6;;
i:tower1_27;pos:581.9583,140.3858,227.7352;rot:0,74.31161,0;m:tower1;scl:8,2,6;;
i:tower1_28;pos:474.4811,142.7361,422.3206;rot:0,49.64584,0;m:tower1;scl:8,2,6;;
i:tower1_29;pos:433.3521,141.8914,465.2559;rot:0,46.14618,0;m:tower1;scl:8,2,6;;
i:tower1_30;pos:397.7574,140.1756,500.6741;rot:0,39.93649,0;m:tower1;scl:8,2,6;;
i:boulder1_31;pos:-1327.331,-21.60934,831.6688;rot:0,230.3051,0;m:boulder1;scl:60,30,45;t:grass3;;
i:tower1_32;pos:-664.2098,138.5601,97.11015;rot:0,15.3133,0;m:tower1;scl:8,2,15;;
i:cuboid_33;pos:375.0398,41.98969,-148.4129;rot:0,180.5217,0;m:cuboid;scl:100,5,100;t:grass3;;
i:tower1_34;pos:326.4406,141.3747,601.371;rot:0,210.8916,0;m:tower1;scl:8,2,8;;
i:tower1_35;pos:218.3463,141.4539,651.0812;rot:0,198.4031,0;m:tower1;scl:8,2,8;;
i:tower1_36;pos:273.6447,141.4741,629.1033;rot:0,204.6565,0;m:tower1;scl:8,2,8;;
i:tower1_41;pos:-394.3985,142.3406,-656.0433;rot:0,359.9892,0;m:tower1;scl:8,2,8;;
i:tower1_42;pos:-648.1771,114.8478,-173.2054;rot:0,270.0402,0;m:tower1;scl:1,2.5,10;;
i:tower1_43;pos:-339.5239,142.3585,-656.0373;rot:0,359.9708,0;m:tower1;scl:8,2,8;;
i:tower1_44;pos:-284.6572,142.3532,-656.021;rot:0,359.9637,0;m:tower1;scl:8,2,8;;
i:tower1_45;pos:-229.7753,141.1511,-656.0352;rot:0,0.02711804,0;m:tower1;scl:8,2,8;;
i:tower1_46;pos:-174.9402,141.0522,-656.0386;rot:0,0.008268404,0;m:tower1;scl:8,2,8;;
i:tower1_47;pos:-120.0808,141.4113,-656.0029;rot:0,359.9432,0;m:tower1;scl:8,2,8;;
i:tower1_48;pos:-65.2056,141.3309,-656.0107;rot:0,359.9736,0;m:tower1;scl:8,2,8;;
i:tower1_49;pos:-647.9286,114.6893,-63.99409;rot:0,270.4081,0;m:tower1;scl:1,2.5,10;;
i:tower1_50;pos:-450.9169,141.7019,-621.6758;rot:0,180.0124,0;m:tower1;scl:8,2,8;;
i:tower1_51;pos:-504.1118,142.3259,-656.0061;rot:0,-0.00148557,0;m:tower1;scl:8,2,8;;
i:tower1_52;pos:-561.6668,139.2143,-654.2845;rot:0,359.9839,0;m:tower1;scl:8,2,8;;
