i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:-8.5,7.7,489;m:cuboid;scl:4,3,1.4;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_2;pos:39.50346,-4.222688,38.47767;rot:0,180.4986,0;m:cuboid;scl:150,1,150;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_3;pos:-8.559565,-0.693538,502.9305;rot:0,2.310442,0;m:cuboid;scl:3,0.4,3;;
i:spawnhuman_4;pos:-8.776187,1.245199,507.4583;rot:0,182.4935,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:tube_5;pos:-17.14415,3.354785,181.3646;rot:89.80218,181.4935,4.586974E-05;m:tube;scl:4,100,4;;
i:tube_6;pos:-83.617,5.807259,144.6842;rot:89.80022,177.4778,180.0002;m:tube;scl:4,100,4;;
i:tube_7;pos:41.43789,3.036785,181.4884;rot:89.48035,291.0959,112.6249;m:tube;scl:4,100,4;;
i:cuboid_8;pos:-34.4926,17.93568,520.7176;rot:0,270.7177,0;m:cuboid;scl:0.4,4,10;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_9;pos:-120.5527,19.31131,535.3837;rot:0,176.9658,0;m:cuboid;scl:0.4,4,3;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_10;pos:-26.85742,19.225,549.415;rot:0,89.21464,0;m:cuboid;scl:0.4,4,20;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_11;pos:50.95199,16.73137,538.3909;rot:0,177.21,0;m:cuboid;scl:0.4,4,3;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_12;pos:-29.5267,20.6322,535.7237;rot:0,87.95924,0;m:cuboid;scl:4,0.3,20;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_13;pos:-11.41848,17.72326,-211.3985;rot:0,2.698024,0;m:cuboid;scl:0.3,5,3;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_14;pos:-88.16363,22.67792,-212.8813;rot:0,356.9473,0;m:cuboid;scl:0.3,5,3;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_15;pos:10.24538,22.36522,-222.4096;rot:0,89.44405,0;m:cuboid;scl:0.3,5,20;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_16;pos:33.71521,22.53146,-204.0385;rot:0,359.5754,0;m:cuboid;scl:0.3,5,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_17;pos:-2.615139,22.5769,-207.1371;rot:0,267.6642,0;m:cuboid;scl:4,0.3,20;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_18;pos:64.39204,21.59812,353.3073;rot:0,358.7757,0;m:cuboid;scl:0.3,5,110;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_19;pos:54.39743,0.3454184,-205.359;rot:0,0.1624893,0;m:cuboid;scl:2,0.3,2;;
i:cylinder_20;pos:57.74491,4.404886,-204.7207;rot:0,2.862081,0;m:cylinder;scl:1,0.3,1;mat:transparent;clr:0,255,0,175;c:trigger;c:checkpoint;;
i:cuboid_21;pos:109.2238,16.31682,156.582;rot:0,359.7096,0;m:cuboid;scl:0.5,6,86;t:stone4;til:3,3;;
i:cuboid_22;pos:-13.50578,4.017609,495.1661;rot:0,92.11057,0;m:cuboid;scl:0.03,0.03,4;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_23;pos:-18.42452,8.982641,306.3531;rot:0,89.32632,0;m:cuboid;scl:2,2,2;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_24;pos:-12.31791,15.41655,494.4933;rot:0,89.10889,0;m:cuboid;scl:0.03,0.03,5;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
