i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:-2533.242,19.67287,1267.783;rot:0,269.7642,0;m:cuboid;scl:300,10,300;t:grass3;;
i:spawntitan_1;pos:-27.16629,122.1275,1203.254;rot:0,335.9059,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:cuboid_3;pos:2418.303,11.62072,1549.579;rot:0,92.50359,0;m:cuboid;scl:300,10,300;t:grass3;;
i:cuboid_4;pos:-7.499186,312.0211,620.4191;rot:0,179.459,0;m:cuboid;scl:100,200,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_7;pos:-557.196,180.4839,597.3542;rot:0,172.9657,0;m:cuboid;scl:100,200,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:spawnhuman_9;pos:-9.699018,259.4214,672.8868;rot:0,179.2088,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:cuboid_10;pos:523.2997,88.0629,572.8568;rot:0,189.9682,0;m:cuboid;scl:100,200,5;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_11;pos:-2190.434,17.70156,-1171.35;rot:0,179.266,0;m:cuboid;scl:300,10,300;t:grass3;;
i:cuboid_12;pos:2353.874,18.43963,-961.1234;rot:0,87.36831,0;m:cuboid;scl:300,10,300;t:grass3;;
i:cuboid_15;pos:242.2625,-9.446362,-347.0869;rot:0,177.7716,0;m:cuboid;scl:80,15,80;t:stone1;;
i:spawntitan_16;pos:-70.29237,145.6428,1315.47;rot:0,53.65491,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:cuboid_18;pos:60.10527,19.6302,25.17305;rot:0,272.9624,0;m:cuboid;scl:100,10,100;t:stone1;;
i:boulder1_19;pos:-633.3129,87.95607,847.2203;rot:0,243.3034,0;m:boulder1;scl:0.3,0.3,0.3;;
i:cuboid_20;pos:534.9104,11.0892,3445.127;rot:0,4.040085,0;m:cuboid;scl:300,10,300;t:grass3;;
i:tower1_21;pos:504.1195,142.1047,376.2079;rot:0,60.63365,0;m:tower1;scl:8,2,6;;
i:tower1_22;pos:534.9875,141.8445,329.8774;rot:0,59.97186,0;m:tower1;scl:8,2,6;;
i:tower1_23;pos:563.9677,140.7763,280.5879;rot:0,67.92184,0;m:tower1;scl:8,2,6;;
i:cuboid_24;pos:399.2833,41.12444,775.6892;rot:0,182.3885,0;m:cuboid;scl:100,5,100;t:grass3;;
i:tower1_25;pos:622.8044,144.2878,15.23045;rot:0,83.60964,0;m:tower1;scl:8,2,6;;
i:tower1_26;pos:600.2333,141.0654,176.1382;rot:0,74.5913,0;m:tower1;scl:8,2,6;;
i:tower1_27;pos:581.9583,140.3858,227.7352;rot:0,74.31161,0;m:tower1;scl:8,2,6;;
i:tower1_28;pos:474.4811,142.7361,422.3206;rot:0,49.64584,0;m:tower1;scl:8,2,6;;
i:tower1_29;pos:433.3521,141.8914,465.2559;rot:0,46.14618,0;m:tower1;scl:8,2,6;;
i:tower1_30;pos:397.7574,140.1756,500.6741;rot:0,39.93649,0;m:tower1;scl:8,2,6;;
i:spawntitan_31;pos:59.24448,162.7091,1342.641;rot:0,4.163332,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:tower1_32;pos:-664.2098,138.5601,97.11015;rot:0,15.3133,0;m:tower1;scl:8,2,15;;
i:cuboid_33;pos:375.0398,41.98969,-148.4129;rot:0,180.5217,0;m:cuboid;scl:100,5,100;t:grass3;;
i:tower1_34;pos:326.4406,141.3747,601.371;rot:0,210.8916,0;m:tower1;scl:8,2,8;;
i:tower1_35;pos:218.3463,141.4539,651.0812;rot:0,198.4031,0;m:tower1;scl:8,2,8;;
i:tower1_36;pos:273.6447,141.4741,629.1033;rot:0,204.6565,0;m:tower1;scl:8,2,8;;
i:tower1_41;pos:-394.3985,142.3406,-656.0433;rot:0,359.9892,0;m:tower1;scl:8,2,8;;
i:tower1_42;pos:-648.1771,114.8478,-173.2054;rot:0,270.0402,0;m:tower1;scl:1,2.5,10;;
i:tower1_43;pos:-339.5239,142.3585,-656.0373;rot:0,359.9708,0;m:tower1;scl:8,2,8;;
i:tower1_44;pos:-284.6572,142.3532,-656.021;rot:0,359.9637,0;m:tower1;scl:8,2,8;;
i:tower1_45;pos:-229.7753,141.1511,-656.0352;rot:0,0.02711804,0;m:tower1;scl:8,2,8;;
i:tower1_46;pos:-174.9402,141.0522,-656.0386;rot:0,0.008268404,0;m:tower1;scl:8,2,8;;
i:tower1_47;pos:-120.0808,141.4113,-656.0029;rot:0,359.9432,0;m:tower1;scl:8,2,8;;
i:tower1_48;pos:-65.2056,141.3309,-656.0107;rot:0,359.9736,0;m:tower1;scl:8,2,8;;
i:tower1_49;pos:-647.9286,114.6893,-63.99409;rot:0,270.4081,0;m:tower1;scl:1,2.5,10;;
i:tower1_50;pos:-450.9169,141.7019,-621.6758;rot:0,180.0124,0;m:tower1;scl:8,2,8;;
i:tower1_51;pos:-504.1118,142.3259,-656.0061;rot:0,-0.00148557,0;m:tower1;scl:8,2,8;;
i:tower1_52;pos:-561.6668,139.2143,-654.2845;rot:0,359.9839,0;m:tower1;scl:8,2,8;;
i:tower1_53;pos:-668.7604,142.345,-655.9745;rot:0,0.03146205,0;m:tower1;scl:8,2,8;;
i:tower1_54;pos:-686.9946,142.222,-584.9983;rot:0,90.00835,0;m:tower1;scl:8,2,8;;
i:tower1_55;pos:-686.9803,142.196,-530.1096;rot:0,90.03502,0;m:tower1;scl:8,2,8;;
i:tower1_56;pos:-686.9514,142.1929,-475.2379;rot:0,90.01243,0;m:tower1;scl:8,2,8;;
i:tower1_57;pos:-686.9229,142.2036,-420.4389;rot:0,90.00964,0;m:tower1;scl:8,2,8;;
i:tower1_58;pos:-686.8928,142.1891,-365.6656;rot:0,90.02938,0;m:tower1;scl:8,2,8;;
i:tower1_59;pos:-686.8354,142.1341,-310.898;rot:0,90.01894,0;m:tower1;scl:8,2,8;;
i:tower1_60;pos:-686.8206,142.127,-256.0947;rot:0,89.9739,0;m:tower1;scl:8,2,8;;
i:tower1_61;pos:-686.8055,142.0796,-201.3617;rot:0,89.98363,0;m:tower1;scl:8,2,8;;
i:tower1_62;pos:-686.8148,142.016,-146.6848;rot:0,89.9529,0;m:tower1;scl:8,2,8;;
i:tower1_63;pos:-686.7853,141.916,-91.97113;rot:0,89.99245,0;m:tower1;scl:8,2,8;;
i:tower1_64;pos:-686.7455,141.2993,-37.23827;rot:0,89.96168,0;m:tower1;scl:8,2,8;;
i:tower1_65;pos:-685.121,141.8569,20.06734;rot:0,93.25502,0;m:tower1;scl:8,2,8;;
i:tower1_66;pos:-679.9207,140.9122,77.7849;rot:0,97.21962,0;m:tower1;scl:8,2,8;;
i:tower1_67;pos:-639.665,141.859,246.6249;rot:0,109.7081,0;m:tower1;scl:8,2,8;;
i:tower1_68;pos:-617.8539,141.7929,300.6856;rot:0,114.2259,0;m:tower1;scl:8,2,8;;
i:tower1_69;pos:-591.5284,141.8631,353.0879;rot:0,119.2648,0;m:tower1;scl:8,2,8;;
i:tower1_70;pos:-560.2806,141.7807,403.1836;rot:0,124.8678,0;m:tower1;scl:8,2,8;;
i:tower1_71;pos:-524.1899,141.7075,450.0024;rot:0,130.439,0;m:tower1;scl:8,2,8;;
i:tower1_72;pos:-484.569,141.7073,492.9001;rot:0,135.2078,0;m:tower1;scl:8,2,8;;
i:tower1_73;pos:-440.5705,141.7798,532.4636;rot:0,141.0008,0;m:tower1;scl:8,2,8;;
i:tower1_74;pos:-393.245,141.6856,567.2778;rot:0,146.3004,0;m:tower1;scl:8,2,8;;
i:tower1_75;pos:-343.3548,141.6469,597.6461;rot:0,151.2188,0;m:tower1;scl:8,2,8;;
i:tower1_76;pos:-291.4139,141.6777,623.7964;rot:0,155.495,0;m:tower1;scl:8,2,8;;
i:tower1_77;pos:-236.6673,140.0602,645.6977;rot:0,160.8991,0;m:tower1;scl:8,2,8;;
i:tower1_78;pos:-179.5874,141.7718,662.2218;rot:0,167.0328,0;m:tower1;scl:8,2,8;;
i:tower1_79;pos:-121.9285,141.5897,672.8745;rot:0,172.1084,0;m:tower1;scl:8,2,8;;
i:tower1_80;pos:-63.86367,136.9986,678.712;rot:0,176.675,0;m:tower1;scl:8,2,8;;
i:tower1_81;pos:132.7919,112.8461,676.1356;rot:0,187.9367,0;m:tower1;scl:1,2.5,10;;
i:tower1_82;pos:44.55197,145.0035,-656.0657;rot:0,359.986,0;m:tower1;scl:8,2,8;;
i:tower1_83;pos:99.38097,147.7527,-656.0162;rot:0,0.05307998,0;m:tower1;scl:8,2,8;;
i:tower1_84;pos:155.2011,146.0574,-651.2619;rot:0,0.04437036,0;m:tower1;scl:8,2,8;;
i:tower1_85;pos:208.9673,153.7666,-656.0284;rot:0,359.9385,0;m:tower1;scl:8,2,8;;
i:tower1_86;pos:263.7697,153.3637,-655.9954;rot:0,0.04284609,0;m:tower1;scl:8,2,8;;
i:tower1_87;pos:593.6313,114.5079,-620.3954;rot:0,176.2436,0;m:tower1;scl:8,3,4;;
i:tower1_88;pos:536.657,112.6076,-614.3668;rot:0,175.0341,0;m:tower1;scl:8,3,4;;
i:tower1_89;pos:481.7104,112.768,-615.5146;rot:0,181.6259,0;m:tower1;scl:8,3,4;;
i:tower1_90;pos:425.7041,103.3312,-613.8933;rot:0,181.6172,0;m:tower1;scl:8,3,4;;
i:tower1_91;pos:372.4376,100.5434,-616.1218;rot:0,181.1397,0;m:tower1;scl:8,3,4;;
i:tower1_92;pos:318.1038,107.1332,-617.7953;rot:0,178.0605,0;m:tower1;scl:8,3,4;;
i:tower1_93;pos:647.6763,174.743,-656.0461;rot:0,0.003447941,0;m:tower1;scl:8,2,8;;
i:tower1_94;pos:664.2166,174.7719,-583.5501;rot:0,270.0184,0;m:tower1;scl:8,2,8;;
i:tower1_95;pos:664.2139,171.6983,-528.93;rot:0,269.9807,0;m:tower1;scl:8,2,8;;
i:tower1_96;pos:664.1868,168.7507,-474.1204;rot:0,270.039,0;m:tower1;scl:8,2,8;;
i:tower1_97;pos:664.2094,165.9206,-419.3182;rot:0,270.0117,0;m:tower1;scl:8,2,8;;
i:tower1_98;pos:664.2239,162.8987,-364.5669;rot:0,270.0219,0;m:tower1;scl:8,2,8;;
i:tower1_99;pos:664.2148,160.0349,-309.7883;rot:0,270.0142,0;m:tower1;scl:8,2,8;;
i:tower1_100;pos:664.1907,157.5725,-255.0732;rot:0,270.0015,0;m:tower1;scl:8,2,8;;
i:tower1_101;pos:664.1844,155.1048,-200.3778;rot:0,270.0051,0;m:tower1;scl:8,2,8;;
i:tower1_102;pos:664.1824,152.3496,-145.725;rot:0,270.0128,0;m:tower1;scl:8,2,8;;
