i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:-13.21553,9.378504,44.55168;rot:0,87.67903,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_1;pos:24.84384,9.187541,34.11827;rot:0,122.9953,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_2;pos:-47.8795,9.18843,26.80914;rot:0,38.07402,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_3;pos:39.59737,9.180486,0.9555191;rot:0,8.673139,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_4;pos:-56.199,9.016913,-10.14625;rot:0,346.6893,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_5;pos:22.12695,9.485774,-34.5109;rot:0,44.57684,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_6;pos:-39.32233,9.468154,-45.12067;rot:0,323.0329,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_7;pos:-9.461241,9.238894,-71.75739;rot:0,297.5974,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_8;pos:26.17626,9.247461,-68.57948;rot:0,49.53255,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_9;pos:52.39589,9.269099,-40.97654;rot:0,37.00213,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_10;pos:72.66903,9.429464,11.15526;rot:0,188.4589,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_11;pos:86.39539,9.428323,-5.978706;rot:0,278.7911,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_12;pos:87.80008,9.241138,-29.4962;rot:0,20.14925,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_13;pos:67.60052,9.140455,-64.00898;rot:0,41.08087,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_14;pos:40.04527,9.064109,-91.13423;rot:0,51.2375,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_15;pos:21.24231,9.370049,-98.52545;rot:0,328.5751,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_16;pos:49.81281,8.882524,45.99385;rot:0,212.4626,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_17;pos:76.96095,9.100594,54.82627;rot:0,278.4143,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_18;pos:98.44573,9.050608,35.86586;rot:0,6.848299,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_19;pos:115.8532,9.416114,5.869883;rot:0,21.90414,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_20;pos:123.4413,9.366968,49.17953;rot:0,277.8376,0;m:cuboid;scl:1,4,4;t:stone5;;
i:cuboid_21;pos:143.0554,9.152959,30.23646;rot:0,354.316,0;m:cuboid;scl:1,4,4;t:stone5;;
