i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:tree1_2;pos:17.45047,0.9073204,59.77111;rot:0,36.24582,0;m:tree1;;
i:tree1_3;pos:105.4059,0.232588,49.50475;rot:0,96.99558,0;m:tree1;;
i:tree1_4;pos:88.20411,4.48698,-71.1106;rot:0,190.4945,0;m:tree1;;
i:tree1_5;pos:-89.77343,5.19445,-115.9966;rot:0,257.7427,0;m:tree1;;
i:tree1_6;pos:-139.5305,1.954036,74.33509;rot:0,350.2365,0;m:tree1;;
i:tree1_7;pos:-38.7286,4.251528,185.8283;rot:0,46.73585,0;m:tree1;;
i:tree1_8;pos:71.37309,0.9287597,101.6066;rot:0,120.2349,0;m:tree1;;
i:tree1_9;pos:235.2663,3.725945,-9.869797;rot:0,168.7329,0;m:tree1;;
i:tree1_10;pos:364.6759,-0.4447973,-76.45354;rot:0,120.7316,0;m:tree1;;
i:tree1_11;pos:387.63,1.984268,-204.4701;rot:0,165.4799,0;m:tree1;;
i:tree1_12;pos:313.9094,-1.954989,-219.9158;rot:0,243.2295,0;m:tree1;;
i:tree1_13;pos:206.0733,-0.2754596,-180.1382;rot:0,282.727,0;m:tree1;;
i:tree1_14;pos:104.4458,-1.788501,-163.2384;rot:0,280.7258,0;m:tree1;;
i:tree1_15;pos:-46.69373,6.63089,-50.62971;rot:0,288.2216,0;m:tree1;;
i:tree1_16;pos:-116.8903,-0.687687,-61.36653;rot:0,277.4696,0;m:tree1;;
i:tree1_17;pos:-140.5616,-0.6944467,13.97919;rot:0,324.7183,0;m:tree1;;
i:tree1_18;pos:-98.92672,2.6412,62.09589;rot:0,24.21779,0;m:tree1;;
i:tree1_19;pos:-21.19473,0.1943701,29.9931;rot:0,110.2176,0;m:tree1;;
i:tree1_20;pos:89.14362,2.649307,-11.18673;rot:0,114.4672,0;m:tree1;;
i:tree1_21;pos:176.3039,0.9086689,-74.83637;rot:0,123.4666,0;m:tree1;;
i:tree1_22;pos:280.5162,-1.784931,-99.72435;rot:0,122.7158,0;m:tree1;;
i:tree1_23;pos:360.6273,4.7099,-147.9595;rot:0,142.715,0;m:tree1;;
i:tree1_24;pos:477.7287,2.316844,-42.102;rot:0,43.21444,0;m:tree1;;
i:tree1_25;pos:368.6921,-9.814522,15.71926;rot:0,288.962,0;m:tree1;;
i:tree1_26;pos:196.3846,1.095188,-98.6955;rot:0,260.2092,0;m:tree1;;
i:tree1_27;pos:142.2326,-1.416224,-245.0243;rot:0,261.4579,0;m:tree1;;
i:tree1_28;pos:71.50063,-0.4388894,-219.608;rot:0,334.956,0;m:tree1;;
i:tree1_29;pos:27.91243,-2.720206,-243.3784;rot:0,15.95477,0;m:tree1;;
i:tree1_30;pos:-46.62741,-2.633007,-244.9763;rot:0,6.954312,0;m:tree1;;
i:tree1_31;pos:-131.3923,-3.418196,-218.4426;rot:0,23.70428,0;m:tree1;;
i:tree1_32;pos:-193.616,-3.505395,-192.6982;rot:0,22.20427,0;m:tree1;;
i:tree1_33;pos:-238.7314,-3.723233,-172.4276;rot:0,95.95417,0;m:tree1;;
i:tree1_34;pos:-230.7651,-3.200097,-114.1354;rot:0,108.2041,0;m:tree1;;
i:tree1_35;pos:-223.1074,-2.458716,-20.79664;rot:0,110.954,0;m:tree1;;
i:tree1_36;pos:-174.964,-3.461799,159.0759;rot:0,109.7038,0;m:tree1;;
i:tree1_37;pos:-136.9803,-3.505395,225.9575;rot:0,136.4534,0;m:tree1;;
i:tree1_38;pos:-67.97273,-4.114486,291.1014;rot:0,137.2032,0;m:tree1;;
i:tree1_39;pos:-10.81078,-0.8196903,322.554;rot:0,227.2023,0;m:tree1;;
i:tree1_40;pos:140.8585,-0.9834172,320.692;rot:0,226.2023,0;m:tree1;;
i:tree1_41;pos:206.1586,-1.461025,267.1842;rot:0,218.7022,0;m:tree1;;
i:tree1_42;pos:298.729,22.59062,96.36898;rot:0,248.2015,0;m:tree1;;
i:tree1_43;pos:327.3182,-3.185423,-2.936524;rot:0,231.2009,0;m:tree1;;
i:tree1_44;pos:354.1953,0.8409061,-36.66733;rot:0,229.2007,0;m:tree1;;
i:tree1_45;pos:406.1142,1.353005,-103.0611;rot:0,235.2003,0;m:tree1;;
i:tree1_46;pos:463.2484,1.922214,61.17934;rot:0,32.69784,0;m:tree1;;
