i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:8.71819,-12.52724,16.00339;rot:0,181.7987,0;m:cuboid;scl:0.5,1,1;;
i:cuboid_1;pos:-32.83176,-33.1713,58.18803;rot:0,179.3795,0;m:cuboid;scl:0.2,20,20;clr:115,113,115,255;;
i:cuboid_2;pos:135.0739,128.8067,-237.4414;rot:0,269.347,0;m:cuboid;scl:1,10,0.1;clr:115,118,124,255;;
i:cuboid_3;pos:10.30647,-28.32607,46.12389;rot:0,179.6763,0;m:cuboid;scl:0.2,20,20;clr:115,113,115,255;;
i:cuboid_4;pos:-27.30879,9.985723,150.7704;rot:0,89.59486,0;m:cuboid;scl:2.1,2.1,1;clr:101,104,107,255;;
i:cuboid_5;pos:-10.4936,-1.965272,161.8744;rot:0,179.3298,0;m:cuboid;scl:4,0.4,0.4;clr:118,118,121,255;;
i:cuboid_6;pos:8.670595,32.18577,55.22035;rot:0,359.7293,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_7;pos:-31.87178,31.4224,54.9857;rot:0,89.06204,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_8;pos:-31.82891,32.26599,85.17345;rot:0,269.7322,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_9;pos:8.27343,32.14986,85.42368;rot:0,179.9994,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_10;pos:-32.02109,32.00681,115.4239;rot:0,269.8161,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_11;pos:8.362134,32.42717,115.4553;rot:0,269.7866,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_12;pos:-61.77966,48.94422,50.72951;rot:-2.50129E-07,179.6907,343.9999;m:cuboid;scl:10,1,20;clr:127,130,133,255;;
i:cuboid_13;pos:-31.41726,31.94613,24.90784;rot:0,268.9088,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_14;pos:8.716475,32.30037,25.22877;rot:0,269.4771,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_15;pos:-10.10367,61.35342,51.29758;rot:0,359.4841,359.64;m:cuboid;scl:10,1,20;clr:127,130,133,255;;
i:cuboid_16;pos:-6.417535,60.6904,-25.17718;rot:0,179.5515,0;m:cuboid;scl:5,5,5;clr:130,127,133,255;;
i:cuboid_17;pos:24.84361,12.53689,-25.12197;rot:0,179.9865,0;m:cuboid;scl:5,5,5;clr:130,127,133,255;;
i:cuboid_18;pos:8.317084,-2.069174,115.4637;rot:0,89.14969,0;m:cuboid;scl:1.2,1,1.2;clr:104,107,107,255;;
i:cuboid_19;pos:-32.30831,-2.063536,115.2621;rot:0,270.1319,0;m:cuboid;scl:1.2,1,1.2;clr:104,107,107,255;;
i:cuboid_20;pos:8.757195,-2.102866,55.28843;rot:0,89.15383,0;m:cuboid;scl:1.2,1,1.2;clr:104,107,107,255;;
i:pyramid_21;pos:3.684662,1.708457,85.42586;rot:-1.567475E-07,178.9794,356.96;m:pyramid;scl:0.2,1,1;clr:130,127,133,255;;
i:pyramid_22;pos:4.309736,1.708458,55.25337;rot:359.7029,179.275,355.3984;m:pyramid;scl:0.2,1,1;clr:130,127,133,255;;
i:pyramid_23;pos:3.762015,1.908461,115.4479;rot:0.7566684,178.9084,355.4795;m:pyramid;scl:0.2,1,1;clr:130,127,133,255;;
i:pyramid_24;pos:4.304117,2.148457,25.21957;rot:359.5606,179.0015,354.9199;m:pyramid;scl:0.2,1,1;clr:130,127,133,255;;
i:boulder1_25;pos:622.6938,58.59937,233.3866;rot:0,101.6343,0;m:boulder1;scl:16,10,20;t:ice1;;
i:pyramid_26;pos:-33.05374,6.593168,71.0216;rot:333.1689,90.31049,179.301;m:pyramid;scl:0.28,0.28,0.28;clr:255,0,0,255;;
i:pyramid_27;pos:-33.31857,6.564049,101.0614;rot:333.3231,89.03791,180.1629;m:pyramid;scl:0.28,0.28,0.28;clr:255,255,0,255;;
i:cuboid_28;pos:24.10868,20.09294,69.89243;rot:0.1217555,270.2856,0.239241;m:cuboid;scl:0.5,2,3;clr:0,255,255,255;;
i:pyramid_29;pos:-28.21944,7.599326,25.18645;rot:24.61453,90.4751,0.9998573;m:pyramid;scl:0.5,0.5,0.5;clr:127,127,130,255;;
i:boulder1_30;pos:514.3926,57.09935,183.2151;rot:0,45.63262,0;m:boulder1;scl:16,10,20;t:ice1;;
i:cuboid_31;pos:-52.1225,80.89835,54.21194;rot:0,0.1482844,0;m:cuboid;scl:16,1,20;t:stone7;;
i:pyramid_32;pos:10.25089,6.704262,69.99536;rot:333.4407,270.2151,179.8102;m:pyramid;scl:0.28,0.28,0.28;clr:0,255,255,255;;
i:pyramid_33;pos:10.43436,6.525327,39.94701;rot:333.6339,270.1455,179.7948;m:pyramid;scl:0.28,0.28,0.28;clr:0,127,0,255;;
i:cuboid_34;pos:19.31242,19.8921,39.93515;rot:0,90.14077,0;m:cuboid;scl:0.5,2,2;clr:0,127,0,255;;
i:pyramid_35;pos:-28.58449,7.255516,55.26631;rot:336.8752,269.785,356.4856;m:pyramid;scl:0.5,0.5,0.5;clr:127,127,130,255;;
i:pyramid_36;pos:-28.57253,7.848568,85.16946;rot:336.6,268.7356,-4.651426E-06;m:pyramid;scl:0.5,0.5,0.5;clr:127,127,130,255;;
i:pyramid_37;pos:-28.87175,7.779669,115.4341;rot:335.28,270.1282,9.399044E-07;m:pyramid;scl:0.5,0.5,0.5;clr:127,127,130,255;;
i:cuboid_38;pos:-29.36242,22.56927,115.5894;rot:0,271.407,0;m:cuboid;scl:0.5,10,0.5;clr:127,127,130,255;;
i:cuboid_39;pos:-28.95272,21.83678,85.44875;rot:0,269.8257,0;m:cuboid;scl:0.5,10,0.5;clr:127,127,130,255;;
i:cuboid_40;pos:-29.08926,21.94091,55.3938;rot:0,269.9445,0;m:cuboid;scl:0.5,10,0.5;clr:127,127,130,255;;
i:cuboid_41;pos:-28.58761,21.92886,25.10949;rot:0,269.1868,0;m:cuboid;scl:0.5,10,0.5;clr:127,127,130,255;;
i:cuboid_42;pos:5.489439,22.21544,85.41654;rot:0,89.11175,0;m:cuboid;scl:0.5,10,0.5;clr:130,130,133,255;;
i:cuboid_43;pos:5.43774,22.44424,115.5397;rot:0,89.6549,0;m:cuboid;scl:0.5,10,0.5;clr:130,130,133,255;;
i:cuboid_44;pos:5.956431,21.80256,55.33712;rot:0,89.10055,0;m:cuboid;scl:0.5,10,0.5;clr:130,130,133,255;;
i:cuboid_45;pos:5.964332,22.24582,25.36726;rot:0,89.25372,0;m:cuboid;scl:0.5,10,0.5;clr:130,130,133,255;;
i:cuboid_46;pos:-152.0794,144.8143,178.9506;rot:0,151.4281,0;m:cuboid;scl:1.6,0.2,0.2;clr:52,52,37,255;;
i:cylinder_47;pos:-143.4385,131.4157,164.2019;rot:0,313.9046,0;m:cylinder;scl:4,1,4;clr:52,52,37,255;;
i:cuboid_48;pos:249.4533,-27.00197,-442.3464;rot:0,269.5145,0;m:cuboid;scl:30,10,30;;
i:cuboid_49;pos:-12.03367,57.64591,85.34269;rot:0,179.5927,0;m:cuboid;scl:5,0.5,0.98;clr:115,115,118,255;;
i:cuboid_50;pos:-10.65574,57.74832,115.4408;rot:0,0.06188997,0;m:cuboid;scl:5,0.5,0.98;clr:115,115,118,255;;
i:cuboid_51;pos:-11.7388,57.66657,55.16565;rot:0,359.6144,0;m:cuboid;scl:5,0.5,0.98;clr:115,115,118,255;;
i:cuboid_52;pos:-12.96963,57.647,25.07186;rot:0,359.8124,0;m:cuboid;scl:5,0.5,0.98;clr:115,115,118,255;;
i:cuboid_53;pos:-23.61316,58.62456,55.1214;rot:359.6197,179.872,344.7611;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_54;pos:-23.68924,58.62456,85.28392;rot:359.6197,179.872,344.7611;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_55;pos:-23.80893,58.66456,115.4579;rot:359.7038,180.1808,344.7593;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_56;pos:0.4582347,58.66456,25.09786;rot:359.6197,179.872,14.72112;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
