i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:8.71819,-12.52724,16.00339;rot:0,181.7987,0;m:cuboid;scl:0.5,1,1;;
i:cuboid_1;pos:11.64268,-12.49215,21.31482;rot:0,123.1384,0;m:cuboid;scl:0.5,1,1;;
i:cuboid_2;pos:4.581721,-12.54957,22.29223;rot:0,254.648,0;m:cuboid;scl:0.5,1,1;;
i:cuboid_3;pos:-32.83176,-33.1713,58.18803;rot:0,179.3795,0;m:cuboid;scl:0.2,20,20;clr:115,113,115,255;;
i:cuboid_4;pos:135.0739,128.8067,-237.4414;rot:0,269.347,0;m:cuboid;scl:1,10,0.1;clr:115,118,124,255;;
i:cuboid_5;pos:10.30647,-28.32607,46.12389;rot:0,179.6763,0;m:cuboid;scl:0.2,20,20;clr:115,113,115,255;;
i:cuboid_6;pos:-27.30879,9.985723,150.7704;rot:0,89.59486,0;m:cuboid;scl:2.1,2.1,1;clr:101,104,107,255;;
i:cuboid_7;pos:-10.4936,-1.965272,161.8744;rot:0,179.3298,0;m:cuboid;scl:4,0.4,0.4;clr:118,118,121,255;;
i:cuboid_8;pos:8.670595,32.18577,55.22035;rot:0,359.7293,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_9;pos:-31.87178,31.4224,54.9857;rot:0,89.06204,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_10;pos:-31.82891,32.26599,85.17345;rot:0,269.7322,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_11;pos:8.27343,32.14986,85.42368;rot:0,179.9994,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_12;pos:-32.02109,32.00681,115.4239;rot:0,269.8161,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_13;pos:8.362134,32.42717,115.4553;rot:0,269.7866,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_14;pos:-61.77966,48.94422,50.72951;rot:-2.50129E-07,179.6907,343.9999;m:cuboid;scl:10,1,20;clr:127,130,133,255;;
i:cuboid_15;pos:-31.41726,31.94613,24.90784;rot:0,268.9088,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_16;pos:8.716475,32.30037,25.22877;rot:0,269.4771,0;m:cuboid;scl:1,8,1;clr:127,130,133,255;;
i:cuboid_17;pos:-10.10367,61.35342,51.29758;rot:0,359.4841,359.64;m:cuboid;scl:10,1,20;clr:127,130,133,255;;
i:cuboid_18;pos:-60.84416,-15.2305,50.34552;rot:-1.667527E-08,179.8197,352.8;m:cuboid;scl:10,1,20;clr:127,130,133,255;;
i:cuboid_19;pos:36.20015,50.06552,51.03958;rot:1.000516E-08,179.8506,15.64001;m:cuboid;scl:10,1,20;clr:127,130,133,255;;
i:cuboid_20;pos:34.23096,54.18822,50.85119;rot:2.04272E-08,179.9397,9.680022;m:cuboid;scl:10,1,20;clr:127,130,133,255;;
i:cuboid_21;pos:-6.417535,40.09032,-25.17718;rot:0,179.5515,0;m:cuboid;scl:5,5,5;clr:130,127,133,255;;
i:cuboid_22;pos:-44.97029,-9.893361,-25.39189;rot:0,179.8046,0;m:cuboid;scl:5,5,5;clr:130,127,133,255;;
i:cuboid_23;pos:24.84361,-9.863096,-25.12197;rot:0,179.9865,0;m:cuboid;scl:5,5,5;clr:130,127,133,255;;
i:cuboid_24;pos:8.317084,-2.069174,115.4637;rot:0,89.14969,0;m:cuboid;scl:1.2,1,1.2;clr:104,107,107,255;;
i:cuboid_25;pos:-32.30831,-2.063536,115.2621;rot:0,270.1319,0;m:cuboid;scl:1.2,1,1.2;clr:104,107,107,255;;
i:cuboid_26;pos:8.757195,-2.102866,55.28843;rot:0,89.15383,0;m:cuboid;scl:1.2,1,1.2;clr:104,107,107,255;;
i:pyramid_27;pos:3.684662,1.708457,85.42586;rot:-1.567475E-07,178.9794,356.96;m:pyramid;scl:0.2,1,1;clr:130,127,133,255;;
i:pyramid_28;pos:4.309736,1.708458,55.25337;rot:359.7029,179.275,355.3984;m:pyramid;scl:0.2,1,1;clr:130,127,133,255;;
i:pyramid_29;pos:3.762015,1.908461,115.4479;rot:0.7566684,178.9084,355.4795;m:pyramid;scl:0.2,1,1;clr:130,127,133,255;;
i:pyramid_30;pos:4.304117,2.148457,25.21957;rot:359.5606,179.0015,354.9199;m:pyramid;scl:0.2,1,1;clr:130,127,133,255;;
i:cuboid_31;pos:-41.93443,19.89161,70.9277;rot:0,269.7144,0;m:cuboid;scl:0.5,2,2;clr:255,0,0,255;;
i:pyramid_32;pos:-33.05374,6.593168,71.0216;rot:333.1689,90.31049,179.301;m:pyramid;scl:0.28,0.28,0.28;clr:255,0,0,255;;
i:pyramid_33;pos:-32.7372,6.60405,40.5506;rot:333.5651,89.16102,180.5087;m:pyramid;scl:0.28,0.28,0.28;clr:0,0,246,255;;
i:pyramid_34;pos:-33.31857,6.564049,101.0614;rot:333.3231,89.03791,180.1629;m:pyramid;scl:0.28,0.28,0.28;clr:255,255,0,255;;
i:cuboid_35;pos:24.10868,20.09294,69.89243;rot:0.1217555,270.2856,0.239241;m:cuboid;scl:0.5,2,3;clr:0,255,255,255;;
i:pyramid_36;pos:-28.21944,7.599326,25.18645;rot:24.61453,90.4751,0.9998573;m:pyramid;scl:0.5,0.5,0.5;clr:127,127,130,255;;
i:cuboid_37;pos:-46.6096,19.9921,40.42587;rot:0,269.4108,0;m:cuboid;scl:0.5,2,3;clr:0,0,255,255;;
i:cuboid_38;pos:-47.19254,19.94415,100.8662;rot:0,269.2007,0;m:cuboid;scl:0.5,2,3;clr:255,255,0,255;;
i:cuboid_39;pos:23.94179,20.16291,100.2566;rot:0,90.78602,0;m:cuboid;scl:0.5,2,3;clr:127,0,130,255;;
i:pyramid_40;pos:10.05997,6.796287,100.4848;rot:333.2375,269.9575,180.4936;m:pyramid;scl:0.28,0.28,0.28;clr:127,0,130,255;;
i:pyramid_41;pos:10.25089,6.704262,69.99536;rot:333.4407,270.2151,179.8102;m:pyramid;scl:0.28,0.28,0.28;clr:0,255,255,255;;
i:pyramid_42;pos:10.43436,6.525327,39.94701;rot:333.6339,270.1455,179.7948;m:pyramid;scl:0.28,0.28,0.28;clr:0,127,0,255;;
i:cuboid_43;pos:19.31242,19.8921,39.93515;rot:0,90.14077,0;m:cuboid;scl:0.5,2,2;clr:0,127,0,255;;
i:pyramid_44;pos:-28.58449,7.255516,55.26631;rot:336.8752,269.785,356.4856;m:pyramid;scl:0.5,0.5,0.5;clr:127,127,130,255;;
i:pyramid_45;pos:-28.57253,7.848568,85.16946;rot:336.6,268.7356,-4.651426E-06;m:pyramid;scl:0.5,0.5,0.5;clr:127,127,130,255;;
i:pyramid_46;pos:-28.87175,7.779669,115.4341;rot:335.28,270.1282,9.399044E-07;m:pyramid;scl:0.5,0.5,0.5;clr:127,127,130,255;;
i:cuboid_47;pos:-29.36242,22.56927,115.5894;rot:0,271.407,0;m:cuboid;scl:0.5,10,0.5;clr:127,127,130,255;;
i:cuboid_48;pos:-28.95272,21.83678,85.44875;rot:0,269.8257,0;m:cuboid;scl:0.5,10,0.5;clr:127,127,130,255;;
i:cuboid_49;pos:-29.08926,21.94091,55.3938;rot:0,269.9445,0;m:cuboid;scl:0.5,10,0.5;clr:127,127,130,255;;
i:cuboid_50;pos:-28.58761,21.92886,25.10949;rot:0,269.1868,0;m:cuboid;scl:0.5,10,0.5;clr:127,127,130,255;;
i:cuboid_51;pos:5.489439,22.21544,85.41654;rot:0,89.11175,0;m:cuboid;scl:0.5,10,0.5;clr:130,130,133,255;;
i:cuboid_52;pos:5.43774,22.44424,115.5397;rot:0,89.6549,0;m:cuboid;scl:0.5,10,0.5;clr:130,130,133,255;;
i:cuboid_53;pos:5.956431,21.80256,55.33712;rot:0,89.10055,0;m:cuboid;scl:0.5,10,0.5;clr:130,130,133,255;;
i:cuboid_54;pos:5.964332,22.24582,25.36726;rot:0,89.25372,0;m:cuboid;scl:0.5,10,0.5;clr:130,130,133,255;;
i:cuboid_55;pos:-152.0794,144.8143,178.9506;rot:0,151.4281,0;m:cuboid;scl:1.6,0.2,0.2;clr:52,52,37,255;;
i:cuboid_56;pos:-137.5391,144.8312,166.8386;rot:0,61.44326,0;m:cuboid;scl:4,0.2,0.2;clr:52,52,37,255;;
i:cylinder_57;pos:-143.4385,131.4157,164.2019;rot:0,313.9046,0;m:cylinder;scl:4,1,4;clr:52,52,37,255;;
i:spawntitan_58;pos:-1204.345,166.2007,38.79107;rot:0,90.16305,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_59;pos:-1203.003,173.4008,-543.0173;rot:0,89.66299,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:cuboid_60;pos:301.4242,-27.00197,-444.1396;rot:0,269.5145,0;m:cuboid;scl:30,10,30;;
i:spawntitan_61;pos:-1205.206,168.0007,-69.56703;rot:0,90.16305,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_62;pos:-1205.746,182.979,-159.5318;rot:0,89.66299,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:spawntitan_63;pos:-1205.121,184.779,-264.5647;rot:0,89.663,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:cuboid_64;pos:-12.03367,57.64591,85.34269;rot:0,179.5927,0;m:cuboid;scl:5,0.5,0.98;clr:115,115,118,255;;
i:cuboid_65;pos:-10.65574,57.74832,115.4408;rot:0,0.06188997,0;m:cuboid;scl:5,0.5,0.98;clr:115,115,118,255;;
i:cuboid_66;pos:-11.7388,57.66657,55.16565;rot:0,359.6144,0;m:cuboid;scl:5,0.5,0.98;clr:115,115,118,255;;
i:cuboid_67;pos:-12.96963,57.647,25.07186;rot:0,359.8124,0;m:cuboid;scl:5,0.5,0.98;clr:115,115,118,255;;
i:cuboid_68;pos:-23.61316,58.62456,55.1214;rot:359.6197,179.872,344.7611;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_69;pos:-23.68924,58.62456,85.28392;rot:359.6197,179.872,344.7611;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_70;pos:-23.80893,58.66456,115.4579;rot:359.7038,180.1808,344.7593;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_71;pos:0.4582347,58.66456,25.09786;rot:359.6197,179.872,14.72112;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_72;pos:0.4089752,58.78456,55.23315;rot:359.7076,179.5643,15.96293;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_73;pos:-0.261608,58.78456,85.41262;rot:359.6197,179.872,14.40112;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_74;pos:-23.07965,58.58456,25.02174;rot:359.6197,179.872,344.7611;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_75;pos:-0.06905363,58.75107,115.4024;rot:-7.337118E-08,179.8951,284.9199;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_76;pos:-17.87781,59.66204,25.02082;rot:359.9478,179.4012,351.9202;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_77;pos:-5.647334,59.71678,25.07836;rot:359.89,180.5874,6.759288;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_78;pos:-18.56278,59.35969,55.0983;rot:359.9774,179.7357,351.84;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_79;pos:-3.669685,59.34399,55.14717;rot:0.08349589,179.71,8.599674;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_80;pos:-18.32025,59.38874,85.1691;rot:0.7693761,179.4016,351.4933;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_81;pos:-4.286042,59.29588,85.32246;rot:5.00258E-09,179.7928,8.840011;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_82;pos:-5.892266,59.74326,115.4163;rot:-4.335569E-08,180.4502,7.560005;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_83;pos:-19.0582,59.60402,115.3929;rot:0.1528015,179.588,353.4115;m:cuboid;scl:0.98,0.98,0.98;clr:115,115,118,255;;
i:cuboid_84;pos:-20.2489,5.523984,-0.287992;rot:0,181.6876,0;m:cuboid;scl:0.1,2,0.1;clr:115,115,118,255;;
i:cuboid_85;pos:0.154443,5.649895,-0.3913748;rot:0,177.4374,0;m:cuboid;scl:0.1,2,0.1;clr:115,115,118,255;;
i:cuboid_86;pos:-9.988088,15.06338,-0.3641566;rot:359.203,180.3871,89.76894;m:cuboid;scl:0.1,2,0.1;clr:115,115,118,255;;
i:cuboid_87;pos:-32.10353,25.7268,40.58584;rot:0,269.2752,0;m:cuboid;scl:0.5,0.05,0.1;clr:255,255,255,255;;
i:cuboid_88;pos:-9.988088,15.06338,-0.3641566;rot:359.203,180.3871,89.76894;m:cuboid;scl:0.1,2,0.1;clr:115,115,118,255;;
i:cuboid_89;pos:-32.10353,30.20686,40.58584;rot:0,269.2752,0;m:cuboid;scl:0.5,0.05,0.1;clr:255,255,255,255;;
i:cuboid_90;pos:-33.057,28.69059,99.78611;rot:0,266.7867,0;m:cuboid;scl:0.25,0.25,0.2;clr:0,0,0,255;;
i:cuboid_91;pos:9.32238,27.3363,39.96445;rot:358.0329,91.37129,359.6828;m:cuboid;scl:0.5,0.02,0.02;clr:0,255,0,255;;
i:cylinder_92;pos:12.67426,27.45871,40.00957;rot:84.27782,13.50913,283.6208;m:cylinder;scl:0.35,0.35,0.35;clr:0,130,0,255;;
i:cuboid_93;pos:-33.12918,26.22355,102.2871;rot:0,269.0163,0;m:cuboid;scl:0.25,0.25,0.2;clr:0,0,0,255;;
i:cylinder_94;pos:13.21266,27.4414,39.96822;rot:88.40469,126.0578,35.19474;m:cylinder;scl:0.4,0.4,0.4;clr:0,255,0,255;;
i:cuboid_95;pos:9.342305,27.39399,40.10648;rot:358.72,88.11272,-1.601225E-07;m:cuboid;scl:0.02,0.5,0.02;clr:0,255,0,255;;
i:cylinder_96;pos:-33.88086,27.15621,70.97984;rot:81.33807,11.12027,101.3552;m:cylinder;scl:0.2,0.2,0.2;clr:255,255,0,255;;
i:cuboid_97;pos:-32.1278,27.3735,71.90435;rot:1.88236,269.7302,333.3046;m:cuboid;scl:0.05,0.1,0.05;clr:255,255,0,255;;
i:cuboid_98;pos:-32.152,27.96551,71.93431;rot:1.012341,270.4295,269.7233;m:cuboid;scl:0.05,0.2,0.05;clr:255,255,0,255;;
i:cuboid_99;pos:-32.13382,28.72796,70.95531;rot:0,269.1101,0;m:cuboid;scl:0.5,0.05,0.05;clr:255,255,0,255;;
i:cuboid_100;pos:-32.1116,25.60288,70.94634;rot:0,269.451,0;m:cuboid;scl:0.5,0.05,0.05;clr:255,255,0,255;;
i:cuboid_101;pos:-32.12309,27.02357,70.1749;rot:1.038304,274.8128,343.6443;m:cuboid;scl:0.05,0.1,0.05;clr:255,255,0,255;;
i:cuboid_102;pos:-32.14351,26.49463,69.96075;rot:359.9374,270.6634,268.8481;m:cuboid;scl:0.05,0.2,0.05;clr:255,255,0,255;;
i:cuboid_103;pos:9.29189,26.55509,69.7162;rot:1.567518,89.2565,345.7449;m:cuboid;scl:0.05,0.04,0.04;clr:0,0,0,255;;
