i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:-9.090699,55.43472,110.7421;rot:0,180.1366,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_1;pos:-128.681,55.43449,-8.737369;rot:0,89.93652,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_2;pos:-8.565002,55.3546,-127.9979;rot:0,179.9366,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_3;pos:75.94695,-3.685624,-92.91652;rot:0,134.8566,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_4;pos:-93.63259,59.0267,75.58324;rot:0,314.9884,0;m:cuboid;scl:10,0.3,0.3;clr:255,127,0,255;;
i:cuboid_5;pos:-93.34655,59.09579,-92.57162;rot:0,224.8393,0;m:cuboid;scl:10,0.3,0.3;clr:255,127,0,255;;
i:cuboid_6;pos:-343.6097,24.69539,330.4168;rot:0,315.0084,0;m:cuboid;scl:60,6,60;clr:0,0,0,255;;
i:cuboid_7;pos:110.7857,25.41475,-40.83575;rot:0,269.8481,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_8;pos:98.78589,25.44781,-69.93323;rot:0,314.9143,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_9;pos:23.78515,25.3561,-128.0815;rot:0,359.5703,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_10;pos:-70.38129,25.55859,-115.9892;rot:0,44.60102,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_11;pos:-128.5273,25.50535,-41.02162;rot:0,89.73505,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_12;pos:-128.675,25.80186,23.79983;rot:0,90.03096,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_13;pos:110.2588,59.03465,-8.636754;rot:0,269.6892,0;m:cuboid;scl:10,0.3,0.3;clr:255,127,0,255;;
i:cuboid_14;pos:75.32345,-3.765631,75.8997;rot:0,224.8167,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_15;pos:-9.090699,-3.565609,110.7421;rot:0,180.1366,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_16;pos:-128.612,-4.205606,-11.29908;rot:0,89.93652,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_17;pos:-8.829037,59.05928,-127.8086;rot:0,180.0731,0;m:cuboid;scl:10,0.3,0.3;clr:255,127,0,255;;
i:cuboid_18;pos:75.94695,55.39465,-92.91652;rot:0,134.8566,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_19;pos:-93.8225,-3.685605,75.86272;rot:0,134.9766,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_20;pos:-93.29537,55.39454,-93.26894;rot:0,224.8567,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_21;pos:-351.346,22.18601,-339.913;rot:0,224.9141,0;m:cuboid;scl:60,6,60;clr:0,0,0,255;;
i:cuboid_22;pos:-349.9492,22.42272,324.1005;rot:0,314.9298,0;m:cuboid;scl:60,6,60;clr:0,0,0,255;;
i:cuboid_23;pos:110.5111,25.47145,24.19959;rot:0,269.7835,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_24;pos:98.1925,25.41605,53.13365;rot:0,225.0357,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_25;pos:52.58316,25.5923,98.57393;rot:0,224.7562,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_26;pos:23.27308,25.61572,110.6321;rot:0,180.1641,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_27;pos:52.99314,25.56543,-115.8432;rot:359.8,314.9336,0.4;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_28;pos:-116.3929,25.43896,-70.18326;rot:0,44.9804,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_29;pos:-116.5884,25.39937,53.055;rot:0,134.9326,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_30;pos:-70.81481,25.46933,98.7167;rot:0,134.9965,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_32;pos:110.6736,55.39459,-8.31207;rot:0,89.69651,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_33;pos:75.32345,55.39466,75.8997;rot:0,224.8167,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_34;pos:-9.166732,59.06013,110.333;rot:0,180.1546,0;m:cuboid;scl:10,0.3,0.3;clr:255,127,0,255;;
i:cuboid_35;pos:-128.3326,59.03093,-8.28462;rot:0,89.95489,0;m:cuboid;scl:10,0.3,0.3;clr:255,127,0,255;;
i:cuboid_36;pos:-8.499379,-4.205663,-127.985;rot:0,179.9366,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_37;pos:75.58299,59.04514,-92.69912;rot:0,314.822,0;m:cuboid;scl:10,0.3,0.3;clr:255,127,0,255;;
i:cuboid_38;pos:-93.8225,55.39453,75.86272;rot:0,134.9766,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_39;pos:-93.29537,-3.765644,-93.26894;rot:0,224.8567,0;m:cuboid;scl:10,1,0.2;clr:0,0,0,255;;
i:cuboid_40;pos:-485.1398,23.68217,0.5374935;rot:0,269.9576,0;m:cuboid;scl:60,6,60;clr:0,0,0,255;;
i:cuboid_41;pos:-41.20144,25.52197,-127.9783;rot:0,0.1309984,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_42;pos:-41.67075,25.81115,110.7474;rot:0,180.1247,0;m:cuboid;scl:3.5,5,0.2;clr:0,0,0,255;;
i:cuboid_43;pos:116.9915,26.34511,-133.3257;rot:0,135.0418,0;m:cuboid;scl:6,6,0.3;clr:0,0,0,255;;
i:cuboid_44;pos:-134.008,26.80218,-134.0198;rot:0,44.92245,0;m:cuboid;scl:6,6,0.3;clr:0,0,0,255;;
i:cuboid_45;pos:168.2238,26.33377,-8.468375;rot:0,89.78288,0;m:cuboid;scl:6,6,0.3;clr:0,0,0,255;;
