i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:82.74245,-20.04763,-11.87153;rot:0,89.98808,0;m:cuboid;scl:10,10,10;clr:0,0,0,255;;
i:cuboid_1;pos:-67.34437,14.93753,88.0119;rot:0,0.06391612,0;m:cuboid;scl:40,3,10;clr:0,0,0,255;;
i:cuboid_2;pos:-217.3344,14.94615,-161.6933;rot:0,270.0109,0;m:cuboid;scl:40,3,10;clr:0,0,0,255;;
i:cuboid_3;pos:-67.32735,-15.13471,87.83468;rot:0,0.08279683,0;m:cuboid;scl:20,3,10;;
i:cuboid_4;pos:32.73228,14.96431,-111.7394;rot:0,0.01895265,0;m:cuboid;scl:20,3,10;clr:0,0,0,255;;
i:cuboid_5;pos:-131.0479,156.039,-278.554;rot:0,90.01514,0;m:cuboid;scl:10,3,10;;
i:cuboid_6;pos:-79.09004,27.45694,-71.6987;rot:0,180.0786,0;m:cuboid;scl:20,0.5,2;clr:0,0,0,255;;
i:cuboid_7;pos:-57.31834,27.43538,25.45656;rot:0,89.98808,0;m:cuboid;scl:20,0.5,2;clr:0,0,0,255;;
i:cuboid_8;pos:-116.4039,14.97155,-151.654;rot:0,180.037,0;m:cuboid;scl:20,3,2;clr:0,0,0,255;;
i:cuboid_9;pos:0.3532804,169.485,142.4549;rot:0,179.7711,0;m:cuboid;scl:5,3,2;;
i:cuboid_10;pos:-84.69231,-38.52717,-132.0998;rot:7.670623E-07,179.861,329.3198;m:cuboid;scl:10,10,2;clr:0,0,0,255;;
i:cuboid_11;pos:-149.2817,-38.55684,32.91652;rot:1.500774E-08,0.01801459,329.7599;m:cuboid;scl:10,10,3;clr:0,0,0,255;;
i:cuboid_12;pos:-83.91902,-51.32288,28.02018;rot:0,0.007700607,0;m:cuboid;scl:10,10,2;;
i:cuboid_13;pos:323.0739,65.30884,67.43132;rot:0,269.9869,0;m:cuboid;scl:50,20,1;;
i:cuboid_14;pos:34.16807,2.851056,-213.3835;rot:0,180.0565,0;m:cuboid;scl:50,20,1;;
i:cuboid_15;pos:96.6655,115.2083,-239.6581;rot:0,0.07706939,0;m:cuboid;scl:2,1,1;;
