i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:boulder1_0;pos:133.2691,273.7539,5589.173;rot:345.1989,227.5286,1.861514;m:boulder1;scl:10,-30,10;;
i:boulder1_1;pos:-160.5614,243.7132,5397.679;rot:344.8361,62.0337,354.2632;m:boulder1;scl:10,-30,10;;
i:boulder1_2;pos:-51.42352,236.9151,5337.344;rot:355.036,90.2785,340.8081;m:boulder1;scl:10,-30,10;;
i:boulder1_3;pos:50.18587,242.2399,5333.213;rot:348.44,339.7419,1.960764E-06;m:boulder1;scl:10,-30,10;;
i:boulder1_4;pos:131.9776,273.7528,5395.349;rot:347.2489,290.4626,1.255811;m:boulder1;scl:10,-30,10;;
i:boulder1_5;pos:155.7291,255.5061,5496.059;rot:346.6,260.7079,-3.949503E-06;m:boulder1;scl:10,-30,10;;
i:boulder1_6;pos:-195.7453,246.6214,5515.138;rot:347.1981,92.38091,352.2915;m:boulder1;scl:10,-30,10;;
i:boulder1_7;pos:-159.018,252.5375,5614.314;rot:344.752,114.5174,356.3668;m:boulder1;scl:10,-30,10;;
i:boulder1_8;pos:-91.3397,260.7596,5673.064;rot:345.2175,157.1373,3.726949;m:boulder1;scl:10,-30,10;;
i:boulder1_9;pos:33.42834,284.9768,5692.247;rot:350.7388,192.2591,2.539175;m:boulder1;scl:10,-30,10;;
i:boulder1_10;pos:-101.3489,-106.7797,5446.347;rot:349.8215,56.30293,0.972136;m:boulder1;scl:5,-20,5;;
i:boulder1_11;pos:-95.51659,-132.0013,5589.126;rot:338,150.8425,-1.381237E-06;m:boulder1;scl:5,-20,5;;
i:boulder1_12;pos:-19.8603,-107.1407,5390.239;rot:350.7992,7.718987,359.4447;m:boulder1;scl:5,-20,5;;
i:boulder1_13;pos:-132.1385,-85.80728,5504.462;rot:343.2,93.59424,3.56735E-06;m:boulder1;scl:5,-20,5;;
i:boulder1_14;pos:57.3966,-151.5246,5439.342;rot:337.2,269.0747,-1.389209E-05;m:boulder1;scl:5,-20,5;;
i:boulder1_15;pos:61.32584,-61.77351,5382.736;rot:339,323.8165,1.600402E-05;m:boulder1;scl:5,-20,5;;
i:boulder1_16;pos:-46.02151,-154.2677,5609.099;rot:347.529,252.1577,339.0538;m:boulder1;scl:5,-20,5;;
i:boulder1_17;pos:70.01087,-155.4054,5499.983;rot:338.7156,238.2473,2.278591;m:boulder1;scl:5,-20,5;;
i:boulder1_18;pos:41.40779,-164.0665,5575.271;rot:338.8,223.2871,-2.747245E-05;m:boulder1;scl:5,-20,5;;
i:boulder1_19;pos:-2.438797,-180.7873,5605.017;rot:22.63575,42.16584,9.896667;m:boulder1;scl:5,-20,5;;
i:boulder1_20;pos:-86.61844,-37.9562,5381.361;rot:340.2,28.77922,-1.361129E-06;m:boulder1;scl:5,-20,5;;
i:boulder1_21;pos:-264.0859,253.7233,5566.777;rot:347.0987,128.1992,348.2743;m:boulder1;scl:5,-20,5;;
i:boulder1_22;pos:-32.052,151.7708,5714.001;rot:338.2184,175.563,5.301294;m:boulder1;scl:5,20,5;;
i:boulder1_23;pos:-1.01821,85.77609,5700.608;rot:340,184.2731,-1.703562E-07;m:boulder1;scl:5,20,5;;
i:boulder1_24;pos:99.28959,109.4591,5656.296;rot:338.4,224.5132,-1.193734E-05;m:boulder1;scl:5,20,5;;
i:boulder1_25;pos:140.0127,109.1701,5576.343;rot:340.1544,226.6069,8.064111;m:boulder1;scl:5,20,5;;
i:boulder1_26;pos:-150.6704,262.9003,5293.167;rot:336.96,29.25285,-5.102798E-06;m:boulder1;scl:5,20,5;;
i:boulder1_27;pos:-162.669,378.146,5731.643;rot:21.38179,294.483,166.0221;m:boulder1;scl:5,20,5;;
i:boulder1_28;pos:-196.8556,506.6872,5686.619;rot:359.3345,37.49217,186.5665;m:boulder1;scl:10,20,10;;
i:boulder1_29;pos:-253.1616,519.2803,5585.038;rot:0.1279044,24.93904,9.19912;m:boulder1;scl:-10,-20,10;;
i:boulder1_30;pos:-257.3718,514.4279,5470.376;rot:356.3673,353.7943,13.94366;m:boulder1;scl:-10,-20,10;;
i:boulder1_31;pos:-104.0838,493.7172,5736.595;rot:5.981738,68.92825,14.43411;m:boulder1;scl:-10,-20,10;;
i:boulder1_32;pos:11.40474,476.7088,5781.803;rot:3.614951,103.3916,16.4176;m:boulder1;scl:-10,-20,10;;
i:boulder1_33;pos:-216.2411,510.1791,5353.732;rot:357.7315,324.4688,23.29597;m:boulder1;scl:-10,-20,10;;
i:boulder1_34;pos:-121.2871,511.4838,5296.259;rot:1.825211,102.1894,336.6672;m:boulder1;scl:-10,-20,10;;
i:boulder1_35;pos:31.5201,500.7078,5296.802;rot:358.9547,69.13858,339.6256;m:boulder1;scl:-10,-20,10;;
i:boulder1_36;pos:84.13869,481.2939,5686.886;rot:356.2875,312.6671,345.2299;m:boulder1;scl:-10,-20,10;;
i:boulder1_37;pos:154.1899,478.2739,5624.373;rot:357.4385,321.2736,351.3693;m:boulder1;scl:-10,-20,10;;
i:boulder1_38;pos:189.5337,475.7011,5525.813;rot:2.047316,356.2146,339.8296;m:boulder1;scl:-10,-20,10;;
