i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:1022.705,-39.98119,57.96888;rot:0,89.88646,0;m:cuboid;scl:200,30,200;clr:255,162,40,255;;
i:cuboid_1;pos:2638.651,188.4422,-154.1563;rot:0,90.90737,0;m:cuboid;scl:400,60,400;clr:255,156,46,255;;
i:cuboid_2;pos:187.7504,100.8384,-628.9179;rot:0,300.8809,0;m:cuboid;scl:10,60,10;clr:255,156,46,255;;
i:cuboid_3;pos:-2634.325,188.5555,102.1478;rot:0,272.4069,0;m:cuboid;scl:400,60,400;clr:255,156,46,255;;
i:cuboid_4;pos:888.2686,238.0475,-396.3074;rot:0,180.562,0;m:cuboid;scl:50,50,200;t:empty;clr:255,144,34,255;;
i:cuboid_5;pos:-120.9058,147.7307,-588.2413;rot:0,203.8958,0;m:cuboid;scl:10,10,5;clr:255,139,34,255;;
i:cuboid_6;pos:-173.2808,97.38628,-652.0101;rot:0,264.9822,0;m:cuboid;scl:20,20,6;t:empty;clr:255,144,34,255;;
i:cuboid_7;pos:-56.71014,97.3952,-659.3401;rot:0,294.9614,0;m:cuboid;scl:15,20,15;t:empty;clr:255,144,34,255;;
i:cuboid_8;pos:-427.1378,72.41102,-621.3835;rot:0,185.0876,0;m:cuboid;scl:5,25,5;clr:255,139,34,255;;
i:cuboid_9;pos:-19.57569,97.31068,-621.5123;rot:0,190.8395,0;m:cuboid;scl:20,20,6;t:empty;clr:255,144,34,255;;
i:cuboid_10;pos:-334.8831,97.39233,-632.5723;rot:0,151.7591,0;m:cuboid;scl:20,20,6;t:empty;clr:255,144,34,255;;
i:cuboid_11;pos:-327.299,97.37041,-621.9274;rot:0,173.6755,0;m:cuboid;scl:20,20,6;t:empty;clr:255,144,34,255;;
i:cuboid_12;pos:612.7542,96.85363,29.63315;rot:0,30.82747,0;m:cuboid;scl:2,20,3;t:empty;clr:255,144,34,255;;
i:cuboid_13;pos:43.49123,72.50241,-611.4344;rot:0,177.5559,0;m:cuboid;scl:4,25,5;clr:255,139,34,255;;
i:cuboid_14;pos:-35.31583,72.81211,-594.4303;rot:0,195.697,0;m:cuboid;scl:4,25,5;clr:255,139,34,255;;
i:cuboid_15;pos:91.73927,72.63236,-598.5109;rot:0,152.2496,0;m:cuboid;scl:2,25,5;clr:255,139,34,255;;
i:cuboid_16;pos:380.3042,72.10525,-618.9477;rot:0,176.0172,0;m:cuboid;scl:3,25,5;clr:255,139,34,255;;
i:cuboid_17;pos:280.7253,72.19259,-578.0956;rot:0,221.6395,0;m:cuboid;scl:3,25,5;clr:255,139,34,255;;
i:cuboid_18;pos:214.0496,72.32855,-527.2507;rot:0,191.0083,0;m:cuboid;scl:2,25,5;clr:255,139,34,255;;
i:cuboid_19;pos:183.6309,72.37087,-527.3096;rot:0,170.3474,0;m:cuboid;scl:2,25,5;clr:255,139,34,255;;
i:cuboid_20;pos:169.7451,72.37132,-531.3128;rot:0,158.0854,0;m:cuboid;scl:2,25,5;clr:255,139,34,255;;
i:cuboid_21;pos:-172.5613,72.69662,-560.1712;rot:0,347.7935,0;m:cuboid;scl:4,25,2;clr:255,139,34,255;;
i:cuboid_22;pos:251.1651,72.17389,-585.0195;rot:0,225.8886,0;m:cuboid;scl:5,25,10;clr:255,139,34,255;;
i:cuboid_23;pos:134.2349,72.51922,-558.2396;rot:0,125.2805,0;m:cuboid;scl:2,25,5;clr:255,139,34,255;;
i:cuboid_24;pos:355.5162,97.24335,-596.5082;rot:0,112.3326,0;m:cuboid;scl:0.3,20,5;t:empty;clr:255,144,34,255;;
i:cuboid_25;pos:359.9935,97.25527,-596.3813;rot:0,283.922,0;m:cuboid;scl:0.3,20,5;t:empty;clr:255,144,34,255;;
i:cuboid_26;pos:-543.2993,98.51229,504.9101;rot:0,216.0955,0;m:cuboid;scl:20,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_27;pos:-657.9408,98.67357,331.2594;rot:0,279.3707,0;m:cuboid;scl:20,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_28;pos:-618.5678,98.9791,152.4695;rot:0,0.2951459,0;m:cuboid;scl:20,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_29;pos:-620.6971,98.63396,332.4224;rot:0,201.0893,0;m:cuboid;scl:20,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_30;pos:-321.9906,99.11347,662.3042;rot:0,249.1484,0;m:cuboid;scl:20,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_31;pos:-522.1242,98.86054,541.9479;rot:0,231.0055,0;m:cuboid;scl:20,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_32;pos:-150.2181,72.69514,-571.0498;rot:0,247.9499,0;m:cuboid;scl:4,25,0.8;clr:255,139,34,255;;
i:cuboid_33;pos:-631.1026,98.76131,-43.79994;rot:0,242.0405,0;m:cuboid;scl:20,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_34;pos:-605.6718,98.7795,56.65722;rot:0,346.6599,0;m:cuboid;scl:20,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_35;pos:-71.42336,73.07347,-575.5116;rot:0,294.6653,0;m:cuboid;scl:4,25,2;clr:255,139,34,255;;
i:cuboid_36;pos:-4.479676,72.72723,-602.6219;rot:0,193.2943,0;m:cuboid;scl:4,25,5;clr:255,139,34,255;;
i:cuboid_37;pos:143.7063,72.48082,-547.5919;rot:0,138.1634,0;m:cuboid;scl:2,25,5;clr:255,139,34,255;;
i:cuboid_38;pos:242.5194,72.26931,-542.4722;rot:0,218.2747,0;m:cuboid;scl:3,25,5;clr:255,139,34,255;;
i:cuboid_39;pos:226.3637,72.42763,-531.4802;rot:0,206.4718,0;m:cuboid;scl:2,25,5;clr:255,139,34,255;;
i:cuboid_40;pos:289.4787,72.18872,-616.4734;rot:0,214.305,0;m:cuboid;scl:5,25,10;clr:255,139,31,255;;
i:cuboid_41;pos:32.08967,72.45739,-592.8711;rot:0,91.30243,0;m:cuboid;scl:2,25,5;clr:255,139,34,255;;
i:cuboid_42;pos:-141.202,72.77569,-563.4173;rot:0,256.8564,0;m:cuboid;scl:4,25,2;clr:255,139,34,255;;
i:cuboid_43;pos:10.2971,72.60188,-605.4658;rot:0,186.8692,0;m:cuboid;scl:4,25,5;clr:255,139,34,255;;
i:cuboid_44;pos:122.3762,72.65962,-573.5737;rot:0,129.3375,0;m:cuboid;scl:2,25,5;clr:255,139,34,255;;
i:cylinder_45;pos:-229.4993,150.6666,-619.5826;rot:0,162.3658,0;m:cylinder;scl:30,25,10;clr:255,139,34,255;;
i:cuboid_46;pos:156.116,72.45469,-538.3232;rot:0,148.2412,0;m:cuboid;scl:2,25,5;clr:255,139,34,255;;
i:cuboid_47;pos:-279.0415,72.51186,-580.0504;rot:0,328.8887,0;m:cuboid;scl:4,25,2;clr:255,139,34,255;;
i:cuboid_48;pos:199.3764,72.37962,-525.9348;rot:0,179.7654,0;m:cuboid;scl:2,25,5;clr:255,139,34,255;;
i:cuboid_49;pos:-50.63976,72.79149,-589.485;rot:0,197.6194,0;m:cuboid;scl:4,25,5;clr:255,139,34,255;;
i:cuboid_50;pos:72.29972,72.49664,-605.3784;rot:0,166.4044,0;m:cuboid;scl:2,25,5;clr:255,139,34,255;;
i:cuboid_51;pos:-170.7295,72.61433,-572.5215;rot:0,173.1833,0;m:cuboid;scl:4,25,2;clr:255,139,34,255;;
i:cuboid_52;pos:-543.3532,98.96829,48.98903;rot:0,337.145,0;m:cuboid;scl:10,20,30;t:empty;clr:255,150,40,255;;
i:cuboid_53;pos:-461.478,98.89825,-202.7919;rot:0,30.28246,0;m:cuboid;scl:5,20,10;t:empty;clr:255,150,40,255;;
i:cuboid_54;pos:-528.6874,99.20563,-289.8669;rot:0,244.3136,0;m:cuboid;scl:5,20,10;t:empty;clr:255,150,40,255;;
i:cuboid_55;pos:-593.789,99.31483,-351.8529;rot:0,42.44661,0;m:cuboid;scl:5,20,10;t:empty;clr:255,150,40,255;;
