i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:752.8603,-4,2322.951;rot:0,270,0;m:cuboid;scl:18,1,18;t:stone2;til:2,2;;
i:cuboid_2;pos:752.8603,90,2230.451;rot:0,270,0;m:cuboid;scl:0.5,20,19;t:wood3;til:2,2;;
i:cuboid_3;pos:752.8603,90,2225.451;rot:0,270,0;m:cuboid;scl:0.5,20,20;t:brick1;til:4,4;;
i:cuboid_4;pos:845.3603,90,2322.951;rot:0,180,0;m:cuboid;scl:0.5,20,18;t:wood3;til:2,2;;
i:cuboid_5;pos:850.3603,90,2322.951;rot:0,180,0;m:cuboid;scl:0.5,20,19;t:brick1;til:4,4;;
i:cuboid_6;pos:660.3603,90,2322.951;rot:0,180,0;m:cuboid;scl:0.5,20,18;t:wood3;til:2,2;;
i:cuboid_7;pos:655.3603,90,2322.951;rot:0,180,0;m:cuboid;scl:0.5,20,19;t:brick1;til:4,4;;
i:cuboid_8;pos:752.8603,2.5,2357.951;rot:0,180,0;m:cuboid;scl:4,0.5,0.5;t:stone2;til:2,1;;
i:cuboid_9;pos:752.8603,5,2352.951;rot:0,180,0;m:cuboid;scl:4,1,0.5;t:stone2;til:2,1;;
i:cuboid_10;pos:752.8603,7.5,2347.951;rot:0,180,0;m:cuboid;scl:4,1.5,0.5;t:stone2;til:2,1;;
i:cuboid_11;pos:752.8603,10,2342.951;rot:0,180,0;m:cuboid;scl:4,2,0.5;t:stone2;til:2,1;;
i:cuboid_12;pos:752.8603,12.5,2337.951;rot:0,180,0;m:cuboid;scl:4,2.5,0.5;t:stone2;til:2,1;;
i:cuboid_13;pos:752.8603,15,2332.951;rot:0,180,0;m:cuboid;scl:4,3,0.5;t:stone2;til:2,1;;
i:cuboid_14;pos:752.8603,17.5,2327.951;rot:0,180,0;m:cuboid;scl:4,3.5,0.5;t:stone2;til:2,1;;
i:cuboid_15;pos:752.8603,20,2322.951;rot:0,180,0;m:cuboid;scl:4,4,0.5;t:stone2;til:2,1;;
