i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:barrier_1;pos:-700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_2;pos:0,745.795,-700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_3;pos:0,745.795,700;m:cuboid;scl:160,160,10;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_4;pos:700,745.795,-1.525;m:cuboid;scl:10,160,160;mat:transparent;clr:0,234,255,82;l:23;;
i:barrier_5;pos:-2.22,1253.08,17.87;m:cuboid;scl:160,10,160;mat:transparent;clr:0,234,255,82;l:23;;
i:cylinder_0;pos:-383.3999,17.33191,-460.9589;rot:0,185.9997,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_1;pos:-320.7718,17.33068,-468.1181;rot:0,188.7996,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_2;pos:-255.9749,17.44479,-465.9941;rot:0,169.3985,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_3;pos:-192.568,17.4316,-445.2999;rot:0,154.7475,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_4;pos:-146.6888,17.50701,-395.3667;rot:0,302.2455,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_5;pos:-104.2333,17.56352,-365.4682;rot:0,348.2408,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_6;pos:-38.49728,17.56472,-344.7869;rot:0,153.7391,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_7;pos:21.06252,17.49307,-308.8948;rot:0,131.7381,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_8;pos:60.2078,17.49861,-266.3065;rot:0,119.5868,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_9;pos:105.6477,17.52868,-216.1615;rot:0,146.3345,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_10;pos:157.3769,17.54998,-178.5131;rot:0,139.7336,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_11;pos:208.996,17.60359,-143.7977;rot:0,138.7826,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_12;pos:238.6288,17.65435,-152.3257;rot:0,253.4806,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
i:cylinder_13;pos:233.1686,17.72542,-209.9148;rot:0,295.7288,0;m:cylinder;scl:8,10,4;t:earth1;til:5,5;;
