i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_3;pos:0,0,0;rot:0,180,0;m:cuboid;scl:2,14,140;;
i:cuboid_4;pos:700,0,690;rot:0,180,0;m:cuboid;scl:140,14,2;;
i:cuboid_5;pos:1390,0,0;rot:0,180,0;m:cuboid;scl:2,14,140;;
i:cuboid_6;pos:700,0,-690;rot:0,180,0;m:cuboid;scl:140,14,2;;
i:cuboid_7;pos:-700,0,690;rot:0,180,0;m:cuboid;scl:140,14,2;;
i:cuboid_8;pos:-1390,0,0;rot:0,180,0;m:cuboid;scl:2,14,140;;
i:cuboid_9;pos:-700,0,-690;rot:0,180,0;m:cuboid;scl:140,14,2;;
i:cuboid_10;pos:0,500,0;rot:0,180,0;m:cuboid;scl:1,100,140;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_11;pos:0,500,0;rot:0,180,0;m:cuboid;scl:2,100,140;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_12;pos:700,500,690;rot:0,180,0;m:cuboid;scl:140,100,2;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_13;pos:1390,500,0;rot:0,180,0;m:cuboid;scl:2,100,140;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_14;pos:700,500,-690;rot:0,180,0;m:cuboid;scl:140,100,2;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_15;pos:700,990,0;rot:0,180,0;m:cuboid;scl:140,2,140;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_16;pos:-700,500,690;rot:0,180,0;m:cuboid;scl:140,100,2;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_17;pos:-1390,500,0;rot:0,180,0;m:cuboid;scl:2,100,140;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_18;pos:-700,500,-690;rot:0,180,0;m:cuboid;scl:140,100,2;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_19;pos:-700,990,0;rot:0,180,0;m:cuboid;scl:140,2,140;mat:transparent;clr:0,234,255,82;l:0;c:barrier;;
i:cuboid_20;pos:0,500,690;rot:0,180,0;m:cuboid;scl:2,100,2;;
i:cuboid_21;pos:0,500,-690;rot:0,180,0;m:cuboid;scl:2,100,2;;
i:cuboid_22;pos:1390,500,690;rot:0,180,0;m:cuboid;scl:2,100,2;;
i:cuboid_23;pos:1390,500,-690;rot:0,180,0;m:cuboid;scl:2,100,2;;
i:cuboid_24;pos:-1390,500,690;rot:0,180,0;m:cuboid;scl:2,100,2;;
i:cuboid_25;pos:-1390,500,-690;rot:0,180,0;m:cuboid;scl:2,100,2;;
i:spawntitan_26;pos:-156.4452,-289.9813,-92.48108;rot:0,21.2358,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_27;pos:-119.1351,-275.5295,-128.1085;rot:0,327.2327,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_28;pos:-105.6933,-275.4452,-91.97505;rot:0,241.9801,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_29;pos:-136.408,-275.3182,-67.32172;rot:0,197.7299,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_30;pos:-209.5518,-265.5983,-103.6893;rot:0,80.72887,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_31;pos:-184.703,-260.9124,-141.6995;rot:0,17.47874,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_32;pos:-149.9582,-249.151,-184.0479;rot:0,356.2282,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_33;pos:-118.0412,-247.3656,-171.3417;rot:0,314.9696,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_34;pos:-89.80157,-245.6599,-155.0661;rot:0,286.4623,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_35;pos:-48.78584,-234.7593,-126.5409;rot:0,282.2119,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_36;pos:-16.65282,-226.2464,-89.91736;rot:0,258.9599,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_37;pos:-51.39603,-248.403,-70.26738;rot:0,223.4591,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_38;pos:-74.9743,-244.0497,-32.24919;rot:0,217.709,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_39;pos:-127.4438,-245.9869,-12.36573;rot:0,189.9587,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_40;pos:-177.8722,-247.0231,-17.53727;rot:0,153.4581,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:spawntitan_41;pos:-211.4728,-247.1448,-41.78919;rot:0,135.2076,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:tree2_42;pos:635.76,118.34,0;rot:0,90,0;m:tree2;;
i:tree2_43;pos:565.36,118.34,3.52;rot:0,306.8699,0;m:tree2;;
i:tree2_44;pos:497.6,118.34,32.56;rot:0,180,0;m:tree2;;
i:tree2_45;pos:207.2,118.34,44;rot:0,90,0;m:tree2;;
i:tree2_46;pos:286.4,118.34,66;rot:0,323.1301,0;m:tree2;;
i:tree2_47;pos:632.24,118.34,76.56;rot:0,53.1301,0;m:tree2;;
i:tree2_48;pos:491.44,118.34,79.2;rot:0,270,0;m:tree2;;
i:tree2_49;pos:558.32,118.34,102.96;rot:0,180,0;m:tree2;;
i:tree2_50;pos:444.8,118.34,94.16;rot:0,90,0;m:tree2;;
i:tree2_51;pos:370.88,118.34,110;rot:0,180,0;m:tree2;;
i:tree2_52;pos:216,118.34,105.6;rot:0,270,0;m:tree2;;
i:tree2_53;pos:614.64,118.34,153.12;rot:0,306.8699,0;m:tree2;;
i:tree2_54;pos:304,118.34,149.6;rot:0,180,0;m:tree2;;
i:tree2_55;pos:539.84,118.34,165.44;rot:0,270,0;m:tree2;;
i:tree2_56;pos:614.64,118.34,215.6;rot:0,180,0;m:tree2;;
i:tree2_57;pos:458,118.34,198;rot:0,53.1301,0;m:tree2;;
i:tree2_58;pos:356.8,118.34,200.64;rot:0,323.1301,0;m:tree2;;
i:tree2_59;pos:312.8,118.34,220;rot:0,36.8699,0;m:tree2;;
i:tree2_60;pos:532.8,118.34,237.6;rot:0,180,0;m:tree2;;
i:tree2_61;pos:466.8,118.34,296.56;rot:0,306.8699,0;m:tree2;;
i:tree2_62;pos:378.8,118.34,275.44;rot:0,90,0;m:tree2;;
i:tree2_63;pos:546,118.34,312.4;rot:0,306.8699,0;m:tree2;;
i:tree2_64;pos:356.8,118.34,316.8;rot:0,270,0;m:tree2;;
i:tree2_65;pos:616.4,118.34,334.4;rot:0,180,0;m:tree2;;
i:tree2_66;pos:627.84,118.34,398.64;rot:0,53.1301,0;m:tree2;;
i:tree2_67;pos:559.2,118.34,382.8;rot:0,180,0;m:tree2;;
i:tree2_68;pos:451.84,118.34,381.04;rot:0,270,0;m:tree2;;
i:tree2_69;pos:572.4,118.34,454.08;rot:0,323.1301,0;m:tree2;;
i:tree2_70;pos:427.2,118.34,418;rot:0,53.1301,0;m:tree2;;
i:tree2_71;pos:640.16,118.34,-69.52;rot:0,270,0;m:tree2;;
i:tree2_72;pos:654.24,118.34,-146.96;rot:0,90,0;m:tree2;;
i:tree2_73;pos:659.52,118.34,-224.4;rot:0,90,0;m:tree2;;
i:tree2_74;pos:634,118.34,-315.92;rot:0,306.8699,0;m:tree2;;
i:tree2_75;pos:648.08,118.34,-409.2;rot:0,90,0;m:tree2;;
i:tree2_76;pos:645.44,118.34,-464.64;rot:0,180,0;m:tree2;;
i:tree2_77;pos:559.2,118.34,-59.84;rot:0,270,0;m:tree2;;
i:tree2_78;pos:574.16,118.34,-110;rot:0,180,0;m:tree2;;
i:tree2_79;pos:590,118.34,-180.4;rot:0,306.8699,0;m:tree2;;
i:tree2_80;pos:554.8,118.34,-246.4;rot:0,36.8699,0;m:tree2;;
i:tree2_81;pos:570.64,118.34,-294.8;rot:0,270,0;m:tree2;;
i:tree2_82;pos:583.84,118.34,-385.44;rot:0,180,0;m:tree2;;
i:tree2_83;pos:532.8,118.34,-479.6;rot:0,270,0;m:tree2;;
i:tree2_84;pos:528.4,118.34,-362.56;rot:0,53.1301,0;m:tree2;;
i:tree2_85;pos:532.8,118.34,-177.76;rot:0,270,0;m:tree2;;
i:tree2_86;pos:446.56,118.34,-99.44;rot:0,180,0;m:tree2;;
i:tree2_87;pos:458,118.34,-147.84;rot:0,270,0;m:tree2;;
i:tree2_88;pos:453.6,118.34,-242;rot:0,180,0;m:tree2;;
i:tree2_89;pos:441.28,118.34,-340.56;rot:0,270,0;m:tree2;;
i:tree2_90;pos:475.6,118.34,-431.2;rot:0,180,0;m:tree2;;
i:tree2_91;pos:409.6,118.34,-444.4;rot:0,53.1301,0;m:tree2;;
i:tree2_92;pos:387.6,118.34,-202.4;rot:0,323.1301,0;m:tree2;;
i:tree2_93;pos:374.4,118.34,-318.56;rot:0,28.07249,0;m:tree2;;
i:tree2_94;pos:343.6,118.34,-374;rot:0,306.8699,0;m:tree2;;
i:tree2_95;pos:340.96,118.34,-149.6;rot:0,270,0;m:tree2;;
i:tree2_96;pos:264.4,118.34,-17.6;rot:0,337.3801,0;m:tree2;;
i:tree2_97;pos:289.04,118.34,-105.6;rot:0,53.1301,0;m:tree2;;
i:tree2_98;pos:275.84,118.34,-180.4;rot:0,341.0753,0;m:tree2;;
i:tree2_99;pos:286.4,118.34,-246.4;rot:0,323.1301,0;m:tree2;;
i:tree2_100;pos:293.44,118.34,-299.2;rot:0,14.25003,0;m:tree2;;
i:tree2_101;pos:214.24,118.34,-72.16;rot:0,306.8699,0;m:tree2;;
i:tree2_102;pos:224.8,118.34,-167.2;rot:0,28.07249,0;m:tree2;;
