i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:capsule_0;pos:562.0207,72.20375,-169.4903;rot:0,325.4067,0;m:capsule;scl:6,6,6;clr:194,113,255,255;;
i:cylinder_1;pos:-432.3278,54.68711,106.9842;rot:0,176.9325,0;m:cylinder;scl:1,6,1;clr:133,255,249,255;;
i:cylinder_2;pos:-428.4038,55.66761,-122.6706;rot:0,176.9325,0;m:cylinder;scl:1,6,1;clr:133,26,63,255;;
i:cylinder_3;pos:-560.5637,54.04805,-4.212752;rot:0,89.68584,0;m:cylinder;scl:1,6,1;clr:133,255,63,255;;
i:sphere_4;pos:-3.867043,134.7848,-183.0199;rot:0,107.0368,0;m:sphere;scl:5,5,5;clr:255,0,255,255;;
i:sphere_5;pos:-4.173419,142.9048,160.7364;rot:0,175.6873,0;m:sphere;scl:5,5,5;clr:0,255,255,255;;
i:sphere_6;pos:157.2058,132.4886,-16.33282;rot:0,272.1786,0;m:sphere;scl:5,5,5;clr:255,115,0,255;;
i:sphere_7;pos:-194.6301,136.8694,-5.490599;rot:0,88.42075,0;m:sphere;scl:5,5,5;clr:0,0,0,255;;
i:sphere_8;pos:-4.02695,337.7413,317.9571;rot:0,138.6876,0;m:sphere;scl:10,10,10;clr:0,0,255,255;;
i:sphere_9;pos:-327.7624,340.9446,-1.548028;rot:0,75.95757,0;m:sphere;scl:10,10,10;clr:255,255,0,255;;
i:capsule_10;pos:-5.695693,213.0903,-85.69321;rot:41.61341,186.5363,26.87013;m:capsule;clr:0,255,0,255;;
i:capsule_11;pos:-10.73345,252.9111,-12.13143;rot:4.435812,155.7386,307.9921;m:capsule;clr:0,0,255,255;;
i:capsule_12;pos:-5.562763,218.0531,72.96336;rot:311.2666,239.7253,283.735;m:capsule;clr:255,0,0,255;;
i:sphere_13;pos:-18.29465,574.8538,520.0729;rot:0,267.6829,0;m:sphere;scl:15,15,15;clr:0,0,0,255;;
i:sphere_14;pos:-560.2583,575.0897,7.589777;rot:0,357.6674,0;m:sphere;scl:15,15,15;clr:255,0,255,255;;
i:sphere_15;pos:524.7934,576.084,-4.014947;rot:0,356.6533,0;m:sphere;scl:15,15,15;clr:0,255,255,255;;
i:sphere_16;pos:-20.12174,580.7037,-523.5018;rot:0,345.3967,0;m:sphere;scl:15,15,15;clr:255,95,0,255;;
