i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_1;pos:0,0,0;m:cuboid;scl:1000,1,1000;clr:255,255,255,255;;
i:cuboid_2;pos:-735,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_3;pos:-705,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_4;pos:-675,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_5;pos:-645,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_6;pos:-615,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_7;pos:-585,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_8;pos:-555,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_9;pos:-525,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_10;pos:-495,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_11;pos:-465,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_12;pos:-435,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_13;pos:-405,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_14;pos:-375,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_15;pos:-345,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_16;pos:-315,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_17;pos:-285,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_18;pos:-255,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_19;pos:-225,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_20;pos:-195,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_21;pos:-165,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_22;pos:-135,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_23;pos:-105,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_24;pos:-75,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_25;pos:-45,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_26;pos:-15,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
i:cuboid_27;pos:15,35,735;m:cuboid;scl:3,7,3;t:stone4;til:3,3;;
