i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:cuboid_0;pos:404.3198,79.693,-484.3221;rot:0,357.7268,0;m:cuboid;scl:3,7,1;t:stone10;;
i:cuboid_1;pos:91.74187,77.52122,639.2399;rot:0,269.5611,0;m:cuboid;scl:7,7,1;t:stone7;;
i:cuboid_2;pos:53.19403,77.02201,658.2957;rot:0,357.5779,0;m:cuboid;scl:7,7,1;t:stone7;;
i:cuboid_3;pos:23.16759,77.5886,635.6953;rot:0,89.18805,0;m:cuboid;scl:7,7,1;t:stone7;;
i:cuboid_4;pos:56.76976,50.12276,637.4809;rot:0,356.7995,0;m:cuboid;scl:7,2,7;t:stone7;;
i:cuboid_5;pos:82.73161,10.85932,-1272.229;rot:0,185.3207,0;m:cuboid;scl:400,7,400;t:stone10;;
i:spawnhuman_6;pos:53.65398,61.21384,632.1281;rot:0,355.6828,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawnhuman_7;pos:53.67819,60.414,632.3243;rot:0,355.6828,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:cuboid_8;pos:24.03611,77.76683,563.4996;rot:0,89.33992,0;m:cuboid;scl:10,7,1;t:stone7;;
i:cuboid_9;pos:93.00375,77.97308,554.1898;rot:0,269.0773,0;m:cuboid;scl:10,7,1;t:stone7;;
i:cuboid_10;pos:94.12495,78.22247,489.5703;rot:0,88.33727,0;m:cuboid;scl:3,7,1;t:stone7;;
i:cuboid_11;pos:-13.90717,77.67881,517.657;rot:0,88.82476,0;m:cuboid;scl:1,7,7;t:stone7;;
i:cuboid_12;pos:49.49651,78.06439,469.1301;rot:0,88.44955,0;m:cuboid;scl:1,7,10;t:stone7;;
i:cuboid_13;pos:-42.47412,77.85297,471.9229;rot:0,357.689,0;m:cuboid;scl:1,7,10;t:stone7;;
i:cuboid_14;pos:5.037961,78.1138,419.0245;rot:0,357.6697,0;m:cuboid;scl:10,7,1;t:stone7;;
i:cuboid_15;pos:95.08866,78.06583,415.5685;rot:0,359.1347,0;m:cuboid;scl:1,7,10;t:stone7;;
i:cuboid_16;pos:50.94922,78.03658,365.8742;rot:0,358.5161,0;m:cuboid;scl:1,7,10;t:stone7;;
i:cuboid_17;pos:142.8948,77.98875,371.0789;rot:0,269.8108,0;m:cuboid;scl:1,7,10;t:stone7;;
i:cuboid_18;pos:97.41656,78.34029,321.0272;rot:0,89.78329,0;m:cuboid;scl:1,7,10;t:stone7;;
i:cuboid_19;pos:187.857,78.22997,325.9035;rot:0,359.6273,0;m:cuboid;scl:1,7,10;t:stone7;;
i:cuboid_20;pos:123.238,78.11251,277.8807;rot:0,90.05341,0;m:cuboid;scl:1,7,15;t:stone7;;
i:cuboid_21;pos:22.58861,78.20537,320.1183;rot:0,358.5332,0;m:cuboid;scl:5,7,1;t:stone7;;
i:cuboid_22;pos:3.629768,78.57174,223.9938;rot:0,359.2836,0;m:cuboid;scl:1,7,20;t:stone7;;
i:cuboid_23;pos:52.99753,78.17229,182.6071;rot:0,0.1396869,0;m:cuboid;scl:1,7,20;t:stone7;;
i:cuboid_24;pos:-90.20525,78.53635,126.5759;rot:0,88.50673,0;m:cuboid;scl:1,7,20;t:stone7;;
i:cuboid_25;pos:59.60266,79.12041,606.9197;rot:0,357.1475,0;m:cuboid;scl:7,7,1;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_26;pos:-42.15593,78.37852,85.27921;rot:0,88.44362,0;m:cuboid;scl:1,7,20;t:stone7;;
i:cuboid_27;pos:-59.4182,49.56901,108.4674;rot:0,87.30776,0;m:cuboid;scl:4,1,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_28;pos:-45.56949,91.26972,108.8044;rot:0,87.55814,0;m:cuboid;scl:4,1,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_29;pos:-36.80805,69.24434,107.9964;rot:0,269.0535,0;m:cuboid;scl:4,1,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_30;pos:-69.35418,60.41888,103.0289;rot:0,88.30254,0;m:cuboid;scl:4,1,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_31;pos:-97.96392,80.55157,107.997;rot:0,87.30245,0;m:cuboid;scl:4,1,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_32;pos:-66.86718,108.3517,104.0562;rot:0,87.30245,0;m:cuboid;scl:4,1,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_33;pos:-136.6221,56.03258,104.2129;rot:0,87.74165,0;m:cuboid;scl:4,3,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_34;pos:-183.5328,78.68475,84.97721;rot:0,357.6035,0;m:cuboid;scl:1,7,10;t:stone7;;
i:cuboid_35;pos:-86.58878,78.54532,43.04789;rot:0,88.42435,0;m:cuboid;scl:1,7,20;t:stone7;;
i:cuboid_36;pos:54.22411,79.12705,-66.81327;rot:0,359.4294,0;m:cuboid;scl:1,7,30;t:stone7;;
i:cuboid_37;pos:10.72107,79.47911,-73.645;rot:0,358.8146,0;m:cuboid;scl:1,7,23;t:stone7;;
i:cuboid_38;pos:9.780656,79.07292,-212.8367;rot:0,358.6864,0;m:cuboid;scl:10,7,1;t:stone7;;
i:cuboid_39;pos:-38.52012,77.85567,-110.411;rot:0,358.2247,0;m:cuboid;scl:1,7,20;t:stone7;;
i:cuboid_40;pos:-78.66357,78.44649,-73.46741;rot:0,87.88232,0;m:cuboid;scl:23,7,1;t:stone7;;
i:cuboid_41;pos:-176.3713,77.98454,-87.9215;rot:0,87.18249,0;m:cuboid;scl:35,7,1;t:stone7;;
i:cuboid_42;pos:-70.78444,78.61238,-215.0175;rot:0,358.0674,0;m:cuboid;scl:10,7,1;t:stone7;;
i:cuboid_43;pos:-120.5584,78.77794,-111.7026;rot:0,357.5753,0;m:cuboid;scl:1,7,20;t:stone7;;
i:cuboid_44;pos:-32.92762,77.16393,-251.9311;rot:0,87.53456,0;m:cuboid;scl:1,7,28;t:stone7;;
i:cuboid_45;pos:101.4428,78.60498,-126.127;rot:0,359.2294,0;m:cuboid;scl:1,7,25;t:stone7;;
i:cuboid_46;pos:78.02794,42.67391,-91.45453;rot:0,359.3743,0;m:cuboid;scl:4,3,25;t:stone7;;
i:cuboid_47;pos:334.6379,79.53334,111.8155;rot:0,269.8777,0;m:cuboid;scl:5,7,1;t:stone7;;
i:cuboid_48;pos:-42.93724,100.4846,13.80694;rot:0,266.7172,0;m:cuboid;scl:5,2.5,1;t:stone7;;
i:cuboid_49;pos:-42.48079,55.68906,14.43407;rot:0,268.0341,0;m:cuboid;scl:5,2.5,1;t:stone7;;
i:cuboid_50;pos:-126.0634,55.51369,12.89305;rot:0,266.9907,0;m:cuboid;scl:5,2.5,1;t:stone7;;
i:cuboid_51;pos:-125.8724,101.123,13.40741;rot:0,267.6253,0;m:cuboid;scl:5,2.5,1;t:stone7;;
i:cuboid_52;pos:-82.3311,61.40242,63.64257;rot:0,266.923,0;m:cuboid;scl:5,4,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_53;pos:-45.49063,59.66396,64.16525;rot:0,266.8098,0;m:cuboid;scl:4.5,4,1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_54;pos:99.03513,99.9586,14.64022;rot:0,268.2151,0;m:cuboid;scl:4,2.7,1;t:stone7;;
i:cuboid_55;pos:150.0077,78.66229,38.95798;rot:0,88.89149,0;m:cuboid;scl:1,7,20;t:stone7;;
i:cuboid_56;pos:99.175,54.19872,16.52549;rot:0,268.2151,0;m:cuboid;scl:4,2.7,1;t:stone7;;
i:cuboid_57;pos:99.47118,76.67869,3.448365;rot:0,268.2151,0;m:cuboid;scl:1,2,1;t:stone7;;
i:cuboid_58;pos:98.85903,76.87861,28.0012;rot:0,268.2151,0;m:cuboid;scl:1,2,1;t:stone7;;
i:cuboid_59;pos:190.5412,77.9586,-2.533595;rot:0,268.1867,0;m:cuboid;scl:1,7,19;t:stone7;;
i:cuboid_60;pos:290.5463,77.95675,45.57533;rot:0,0.05260251,0;m:cuboid;scl:1,7,10;t:stone7;;
i:cuboid_61;pos:245.5695,80.15593,93.65648;rot:0,359.6792,0;m:cuboid;scl:1,7,10;t:stone7;;
i:cuboid_62;pos:378.3216,79.38838,136.6509;rot:0,270.7205,0;m:cuboid;scl:1,7,30;t:stone7;;
