i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_1;pos:-700,6,5;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:cuboid_2;pos:-600,50,0;m:cuboid;scl:1,10,10;mat:transparent;clr:0,0,255,175;l:0;c:start;;
i:cuboid_3;pos:-800,50,0;m:cuboid;scl:1,10,10;mat:transparent;clr:255,255,0,175;l:0;c:trigger;c:finish;;
i:cuboid_4;pos:-775,50,0;m:cuboid;scl:4,10,10;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_5;pos:-775,50,0;m:cuboid;scl:4,10,10;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_6;pos:-515.8361,103,355.0558;m:cuboid;scl:100,2,100;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_7;pos:-752.7509,103,1166.151;m:cuboid;scl:100,2,100;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_8;pos:-203,103,1597.524;m:cuboid;scl:10,2,10;mat:transparent;clr:0,234,255,82;l:23;c:barrier;;
i:cuboid_9;pos:0,0,0;m:cuboid;scl:999,1,999;t:stone1;til:99,99;;
i:cuboid_10;pos:-500,50,50;m:cuboid;scl:50,10,1;t:stone4;til:15,3;;
i:cuboid_11;pos:-450,50,-50;m:cuboid;scl:60,10,1;t:stone4;til:18,3;;
i:cuboid_12;pos:-150,50,450;m:cuboid;scl:1,10,100;t:stone4;til:30,3;;
i:cuboid_13;pos:-250,50,500;m:cuboid;scl:1,10,90;t:stone4;til:27,3;;
i:cuboid_14;pos:-200,50,950;m:cuboid;scl:10,10,1;t:stone4;til:3,3;;
i:cuboid_15;pos:-250,150,900;m:cuboid;scl:1,10,10;t:stone4;til:3,3;;
i:cuboid_16;pos:-150,150,900;m:cuboid;scl:1,10,10;t:stone4;til:3,3;;
i:cuboid_17;pos:-200,150,850;m:cuboid;scl:10,10,1;t:stone4;til:3,3;;
i:cuboid_18;pos:-200,100,1200;m:cuboid;scl:10,1,50;t:stone4;til:3,15;;
i:cuboid_19;pos:-200,200,1200;m:cuboid;scl:10,1,70;t:stone4;til:3,21;;
i:cuboid_20;pos:-150,150,1200;m:cuboid;scl:1,10,50;t:stone4;til:15,3;;
i:cuboid_21;pos:-250,150,1200;m:cuboid;scl:1,10,50;t:stone4;til:15,3;;
i:cuboid_22;pos:-250,150,1500;m:cuboid;scl:1,10,10;t:stone4;til:3,3;;
i:cuboid_23;pos:-150,150,1500;m:cuboid;scl:1,10,10;t:stone4;til:3,3;;
i:cuboid_24;pos:-250,50,1500;m:cuboid;scl:1,10,10;t:stone4;til:3,3;;
i:cuboid_25;pos:-150,50,1500;m:cuboid;scl:1,10,10;t:stone4;til:3,3;;
i:cuboid_26;pos:-150,50,1600;m:cuboid;scl:1,10,10;t:stone4;til:3,3;;
i:cuboid_27;pos:-550,50,1650;m:cuboid;scl:80,10,1;t:stone4;til:24,3;;
