i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:0,510,-100;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:spawnhuman_1;pos:0,510,-100;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawntitan_3;pos:99999,2,99999;rot:0,180,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:cuboid_4;pos:-4000,0,-4000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_5;pos:-3000,0,-4000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_6;pos:-2000,0,-4000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_7;pos:-1000,0,-4000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_8;pos:0,0,-4000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_9;pos:1000,0,-4000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_10;pos:2000,0,-4000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_11;pos:3000,0,-4000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_12;pos:4000,0,-4000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_13;pos:-4000,0,-3000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_14;pos:-3000,0,-3000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_15;pos:-2000,0,-3000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_16;pos:-1000,0,-3000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_17;pos:0,0,-3000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
i:cuboid_18;pos:1000,0,-3000;rot:0,180,0;m:cuboid;scl:100,3,100;t:rock1;til:5,5;;
