i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:0,23,-4000;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:2, t:1;;
i:spawnhuman_1;pos:0,23,-4000;rot:0,180,0;m:spawnhuman;l:23;c:spawner, f:1, t:1;;
i:spawntitan_3;pos:99999,2,99999;rot:0,180,0;m:spawntitan;l:23;c:spawner, f:2, t:2;;
i:cuboid_85;pos:0,-30,0;rot:0,180,0;m:cuboid;scl:900,3,900;mat:transparent;;
i:cuboid_86;pos:0,0,-4485;rot:0,180,0;m:cuboid;scl:900,900,3;mat:transparent;clr:0,0,0,200;;
i:cuboid_87;pos:0,0,4485;rot:0,180,0;m:cuboid;scl:900,900,3;mat:transparent;clr:0,0,0,200;;
i:cuboid_88;pos:-4485,0,0;rot:0,180,0;m:cuboid;scl:3,900,900;mat:transparent;clr:0,0,0,200;;
i:cuboid_89;pos:4485,0,0;rot:0,180,0;m:cuboid;scl:3,900,900;mat:transparent;clr:0,0,0,200;;
i:cuboid_90;pos:0,4485,0;rot:0,180,0;m:cuboid;scl:900,3,900;mat:transparent;clr:0,0,0,200;;
i:cuboid_91;pos:0,15,-4000;rot:0,180,0;m:cuboid;scl:10,1,10;t:crystal2;til:5,5;;
i:cuboid_92;pos:0,15,-3700;rot:0,180,0;m:cuboid;scl:10,1,10;t:crystal2;til:5,5;;
i:cuboid_93;pos:0,13,-3600;rot:0,180,0;m:cuboid;scl:10,1,10;t:crystal2;til:5,5;;
i:cuboid_94;pos:-50,13,-3500;rot:0,180,0;m:cuboid;scl:10,1,10;t:crystal2;til:5,5;;
i:cuboid_95;pos:0,13,-3400;rot:0,180,0;m:cuboid;scl:10,1,10;t:crystal2;til:5,5;;
i:cuboid_96;pos:50,13,-3300;rot:0,180,0;m:cuboid;scl:10,1,10;t:crystal2;til:5,5;;
i:cuboid_97;pos:0,13,-3200;rot:0,180,0;m:cuboid;scl:10,1,10;t:crystal2;til:5,5;;
i:cuboid_98;pos:0,50,-3155;rot:0,180,0;m:cuboid;scl:1,7.5,1;t:crystal2;til:5,5;;
i:cylinder_99;pos:25,50,-3075;rot:0,180,0;m:cylinder;scl:1.5,3.75,1.5;t:crystal2;til:5,5;;
i:cylinder_100;pos:-25,50,-3000;rot:0,180,0;m:cylinder;scl:1.5,3.75,1.5;t:crystal2;til:5,5;;
i:cylinder_101;pos:25,50,-2925;rot:0,180,0;m:cylinder;scl:1.5,3.75,1.5;t:crystal2;til:5,5;;
i:cylinder_102;pos:-25,50,-2850;rot:0,180,0;m:cylinder;scl:1.5,3.75,1.5;t:crystal2;til:5,5;;
i:cylinder_103;pos:25,50,-2775;rot:0,180,0;m:cylinder;scl:1.5,3.75,1.5;t:crystal2;til:5,5;;
i:sphere_104;pos:100,80,-2700;rot:0,180,0;m:sphere;scl:0.5,0.5,0.5;t:crystal2;til:5,5;;
i:sphere_105;pos:175,100,-2700;rot:0,180,0;m:sphere;scl:0.75,0.75,0.75;t:crystal2;til:5,5;;
i:sphere_106;pos:250,120,-2700;rot:0,180,0;m:sphere;scl:0.75,0.75,0.75;t:crystal2;til:5,5;;
i:sphere_107;pos:325,140,-2700;rot:0,180,0;m:sphere;scl:0.75,0.75,0.75;t:crystal2;til:5,5;;
i:sphere_108;pos:400,120,-2700;rot:0,180,0;m:sphere;scl:0.75,0.75,0.75;t:crystal2;til:5,5;;
i:sphere_109;pos:475,100,-2700;rot:0,180,0;m:sphere;scl:0.75,0.75,0.75;t:crystal2;til:5,5;;
i:sphere_110;pos:550,80,-2700;rot:0,180,0;m:sphere;scl:0.5,0.5,0.5;t:crystal2;til:5,5;;
i:sphere_111;pos:650,200,-2700;rot:270.0198,180,0;m:sphere;scl:0.5,0.5,0.5;t:crystal2;til:5,5;;
i:cylinder_112;pos:650,350,-2700;rot:270.0198,180,0;m:cylinder;scl:1.5,3.75,1.5;t:crystal2;til:5,5;;
i:cylinder_113;pos:750,200,-2700;rot:270.0198,180,0;m:cylinder;scl:1.5,3.75,1.5;t:crystal2;til:5,5;;
i:cylinder_114;pos:850,300,-2700;rot:270.0198,180,0;m:cylinder;scl:1.5,3.75,1.5;t:crystal2;til:5,5;;
i:cuboid_115;pos:950,15,-2700;rot:0,180,0;m:cuboid;scl:10,1,10;t:crystal2;til:5,5;;
i:cuboid_116;pos:995,50,-2550;rot:0,180,0;m:cuboid;scl:0.9,7.5,1;t:crystal2;til:5,5;;
