i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:500,825,0;rot:0,90,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:spawnhuman_1;pos:500,825,0;rot:0,90,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawntitan_3;pos:99999,2,99999;rot:0,180,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:cuboid_4;pos:394.8692,900,163.8126;rot:0,67.46874,0;m:cuboid;scl:17.92763,17.696,4.5;clr:193,121,62,255;;
i:cuboid_5;pos:301.9582,900,302.6177;rot:0,44.9375,0;m:cuboid;scl:17.92763,17.696,4.5;clr:184,18,158,255;;
i:cuboid_6;pos:162.9507,900,395.2256;rot:0,22.40625,0;m:cuboid;scl:17.92763,17.696,4.5;clr:179,17,181,255;;
i:cuboid_7;pos:-0.9326596,900,427.499;rot:0,359.875,0;m:cuboid;scl:17.92763,17.696,4.5;clr:126,233,109,255;;
i:cuboid_8;pos:-164.6736,900,394.5109;rot:0,337.3438,0;m:cuboid;scl:17.92763,17.696,4.5;clr:74,194,225,255;;
i:cuboid_9;pos:-303.2758,900,301.2973;rot:0,314.8125,0;m:cuboid;scl:17.92763,17.696,4.5;clr:180,221,120,255;;
i:cuboid_10;pos:-395.5802,900,162.0881;rot:0,292.2813,0;m:cuboid;scl:17.92763,17.696,4.5;clr:155,188,21,255;;
i:cuboid_11;pos:-394.1507,900,-165.5339;rot:0,247.2188,0;m:cuboid;scl:17.92763,17.696,4.5;clr:204,146,20,255;;
i:cuboid_12;pos:-300.6349,900,-303.9324;rot:0,224.6875,0;m:cuboid;scl:17.92763,17.696,4.5;clr:57,179,23,255;;
i:cuboid_13;pos:-161.2247,900,-395.9329;rot:0,202.1563,0;m:cuboid;scl:17.92763,17.696,4.5;clr:180,119,145,255;;
i:cuboid_14;pos:2.797961,900,-427.4908;rot:0,179.625,0;m:cuboid;scl:17.92763,17.696,4.5;clr:185,150,135,255;;
i:cuboid_15;pos:166.3934,900,-393.7886;rot:0,157.0938,0;m:cuboid;scl:17.92763,17.696,4.5;clr:142,216,40,255;;
i:cuboid_16;pos:304.5875,900,-299.9711;rot:0,134.5625,0;m:cuboid;scl:17.92763,17.696,4.5;clr:244,12,45,255;;
i:cuboid_17;pos:396.2837,900,-160.3605;rot:0,112.0313,0;m:cuboid;scl:17.92763,17.696,4.5;clr:237,127,153,255;;
i:cuboid_18;pos:394.8692,962.7709,151.3089;rot:351.5566,69.0338,339.0338;m:cuboid;scl:17.92763,17.696,4.5;clr:200,160,223,255;;
