i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_4;pos:475,30,4250;rot:0,208.0725,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:spawnhuman_5;pos:475,30,4250;rot:0,208.0725,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawntitan_7;pos:99999,2,99999;rot:0,180,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:cylinder_8;pos:0,0,0;rot:0,180,0;m:cylinder;scl:900,2.5,900;t:lava1;til:500,500;;
i:cuboid_10;pos:0,0,4625;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_11;pos:201.7397,0,4620.598;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_12;pos:403.0953,0,4607.4;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_13;pos:603.6837,0,4585.433;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_14;pos:803.1228,0,4554.736;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_15;pos:1001.033,0,4515.369;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_16;pos:1197.038,0,4467.407;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_17;pos:1390.764,0,4410.941;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_18;pos:1581.843,0,4346.079;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_19;pos:1769.911,0,4272.943;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_20;pos:1954.609,0,4191.673;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_21;pos:2135.587,0,4102.425;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_22;pos:2312.5,0,4005.367;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_23;pos:2485.011,0,3900.686;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_24;pos:2652.791,0,3788.578;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_25;pos:2815.522,0,3669.259;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_26;pos:2972.893,0,3542.956;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_27;pos:3124.605,0,3409.908;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_28;pos:3270.369,0,3270.369;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_29;pos:3409.908,0,3124.605;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_30;pos:3542.956,0,2972.893;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_31;pos:3669.259,0,2815.522;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_32;pos:3788.578,0,2652.791;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_33;pos:3900.686,0,2485.011;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_34;pos:4005.367,0,2312.5;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_35;pos:4102.425,0,2135.587;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_36;pos:4191.673,0,1954.609;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_37;pos:4272.943,0,1769.911;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_38;pos:4346.079,0,1581.843;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_39;pos:4410.941,0,1390.764;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_40;pos:4467.407,0,1197.038;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_41;pos:4515.369,0,1001.033;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_42;pos:4554.736,0,803.1228;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_43;pos:4585.433,0,603.6837;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_44;pos:4607.4,0,403.0953;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_45;pos:4620.598,0,201.7397;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_46;pos:4625,0,2.833156E-13;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_47;pos:4620.598,0,-201.7397;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_48;pos:4607.4,0,-403.0953;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_49;pos:4585.433,0,-603.6837;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_50;pos:4554.736,0,-803.1228;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_51;pos:4515.369,0,-1001.033;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_52;pos:4467.407,0,-1197.038;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_53;pos:4410.941,0,-1390.764;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_54;pos:4346.079,0,-1581.843;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_55;pos:4272.943,0,-1769.911;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_56;pos:4191.673,0,-1954.609;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_57;pos:4102.425,0,-2135.587;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_58;pos:4005.367,0,-2312.5;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_59;pos:3900.686,0,-2485.011;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_60;pos:3788.578,0,-2652.791;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
i:cuboid_61;pos:3669.259,0,-2815.522;rot:0,180,0;m:cuboid;scl:21,3,21;t:lava1;til:10,10;;
