i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:0,6015,50;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:spawnhuman_1;pos:0,6015,50;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawntitan_3;pos:99999,2,99999;rot:0,180,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:cuboid_4;pos:0,6000,2600;rot:0,180,0;m:cuboid;scl:10,1,520;t:metal4;til:9999999,9999999;;
i:cuboid_5;pos:0,6100,2600;rot:0,180,0;m:cuboid;scl:10,1,520;t:metal4;til:9999999,9999999;;
i:cuboid_6;pos:50,6050,2600;rot:0,180,0;m:cuboid;scl:1.1,10.1,520.1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_7;pos:-50,6050,2600;rot:0,180,0;m:cuboid;scl:1.1,10.1,520.1;mat:transparent;clr:255,0,0,175;c:trigger;c:killzone;;
i:cuboid_8;pos:50,6050,2600;rot:0,180,0;m:cuboid;scl:1,10,520;t:metal4;til:9999999,9999999;;
i:cuboid_9;pos:-50,6050,2600;rot:0,180,0;m:cuboid;scl:1,10,520;t:metal4;til:9999999,9999999;;
i:cuboid_10;pos:0,6050,5200;rot:0,180,0;m:cuboid;scl:10,10,0.995;mat:transparent;clr:255,255,0,175;c:trigger;c:finish;;
i:cuboid_11;pos:0,6050,100;rot:0,180,0;m:cuboid;scl:1.1,2.1,0.5;mat:transparent;clr:0,0,255,175;c:trigger;c:start;;
i:cuboid_12;pos:0,6050,0;rot:0,180,0;m:cuboid;scl:10,10,1;t:metal4;til:9999999,9999999;;
i:cuboid_13;pos:0,6080,100;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_14;pos:0,6080,200;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_15;pos:0,6080,300;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_16;pos:0,6080,400;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_17;pos:0,6080,500;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_18;pos:0,6080,600;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_19;pos:0,6080,700;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_20;pos:0,6080,800;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
i:cuboid_21;pos:0,6080,900;rot:0,180,0;m:cuboid;scl:10,4,1;t:metal4;til:9999999,9999999;;
