i:ground;pos:-6.8,-32,6.2;m:cuboid;scl:134.1,6.4,134.1;t:grass1;til:15,15;;
i:spawnhuman_0;pos:500,11,500;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:2, t:1;;
i:spawnhuman_1;pos:500,11,500;rot:0,180,0;m:spawnhuman;l:26;c:spawner, f:1, t:1;;
i:spawntitan_3;pos:99999,2,99999;rot:0,180,0;m:spawntitan;l:26;c:spawner, f:2, t:2;;
i:cuboid_4;pos:0,0,0;rot:0,180,0;m:cuboid;scl:200,1,200;t:stone5;til:10,10;;
i:cuboid_5;pos:1000,50,0;rot:0,180,0;m:cuboid;scl:1,10,200;t:stone5;;
i:cuboid_6;pos:-1000,50,0;rot:0,180,0;m:cuboid;scl:1,10,200;t:stone5;;
i:cuboid_7;pos:0,50,1000;rot:0,180,0;m:cuboid;scl:200,10,1;t:stone5;;
i:cuboid_8;pos:0,50,-1000;rot:0,180,0;m:cuboid;scl:200,10,1;t:stone5;;
i:cylinder_9;pos:500,0,500;rot:0,180,0;m:cylinder;scl:3,1,3;t:stone5;;
i:cuboid_10;pos:550,50,500;rot:0,180,0;m:cuboid;scl:1,10,10;t:stone5;;
i:cuboid_11;pos:450,50,500;rot:0,180,0;m:cuboid;scl:1,10,10;t:stone5;;
i:cuboid_12;pos:500,50,550;rot:0,180,0;m:cuboid;scl:10,10,1;t:stone5;;
i:cuboid_13;pos:550,50,275;rot:0,180,0;m:cuboid;scl:1,10,35;t:stone5;;
i:cuboid_14;pos:450,50,300;rot:0,180,0;m:cuboid;scl:1,10,30;t:stone5;;
i:cuboid_15;pos:350,50,100;rot:0,180,0;m:cuboid;scl:40,10,1;t:stone5;;
i:cuboid_16;pos:350,50,550.02;rot:0,180,0;m:cuboid;scl:40,10,1;t:stone5;;
i:cuboid_17;pos:400,50,250;rot:0,180,0;m:cuboid;scl:1,10,30;t:stone5;;
i:cuboid_18;pos:362,50,426;rot:0,126.8699,0;m:cuboid;scl:1,10,10;t:stone5;;
i:cuboid_19;pos:375,50,500;rot:0,180,0;m:cuboid;scl:1,10,1;t:stone5;;
i:cuboid_20;pos:288,50,426;rot:0,233.1301,0;m:cuboid;scl:1,10,10;t:stone5;;
i:cuboid_21;pos:260,50,500;rot:0,180,0;m:cuboid;scl:1,10,1;t:stone5;;
i:cuboid_22;pos:250,50,250;rot:0,180,0;m:cuboid;scl:1,10,30;t:stone5;;
i:cuboid_23;pos:155,50,370;rot:0,180,0;m:cuboid;scl:1,10,35;t:stone5;;
i:cuboid_24;pos:155,95,150;rot:0,180,0;m:cuboid;scl:1,1,10;t:stone5;;
i:cuboid_25;pos:155,125,200;rot:0,180,0;m:cuboid;scl:1,30,1;t:stone5;;
i:cuboid_26;pos:155,125,100;rot:0,180,0;m:cuboid;scl:1,30,1;t:stone5;;
i:cuboid_27;pos:55,125,200;rot:0,180,0;m:cuboid;scl:1,30,1;t:stone5;;
i:cuboid_28;pos:55,125,100;rot:0,180,0;m:cuboid;scl:1,30,1;t:stone5;;
i:cuboid_29;pos:55,195,150;rot:0,180,0;m:cuboid;scl:1,1,10;t:stone5;;
i:cuboid_30;pos:155,270,150;rot:0,180,0;m:cuboid;scl:1,1,10;t:stone5;;
i:cylinder_31;pos:-50,195,150;rot:270.0198,180,0;m:cylinder;scl:2,5,2;t:stone5;;
i:cylinder_32;pos:-160,195,150;rot:270.0198,180,0;m:cylinder;scl:2,5,2;t:stone5;;
i:cylinder_33;pos:-270,195,150;rot:270.0198,180,0;m:cylinder;scl:2,5,2;t:stone5;;
i:cuboid_34;pos:-475,125,200;rot:0,180,0;m:cuboid;scl:1,30,1;t:stone5;;
i:cuboid_35;pos:-475,125,100;rot:0,180,0;m:cuboid;scl:1,30,1;t:stone5;;
i:cuboid_36;pos:-375,125,200;rot:0,180,0;m:cuboid;scl:1,30,1;t:stone5;;
i:cuboid_37;pos:-375,125,100;rot:0,180,0;m:cuboid;scl:1,30,1;t:stone5;;
i:cuboid_38;pos:-375,195,150;rot:0,180,0;m:cuboid;scl:1,1,10;t:stone5;;
i:cuboid_39;pos:-475,270,150;rot:0,180,0;m:cuboid;scl:1,1,10;t:stone5;;
i:cuboid_40;pos:-425,95,200;rot:0,180,0;m:cuboid;scl:10,1,1;t:stone5;;
i:cuboid_41;pos:-475,50,300;rot:0,180,0;m:cuboid;scl:1,10,20;t:stone5;;
i:cuboid_42;pos:-375,50,450;rot:0,180,0;m:cuboid;scl:1,10,50;t:stone5;;
i:cuboid_43;pos:-475,50,550;rot:0,180,0;m:cuboid;scl:1,10,20;t:stone5;;
i:cuboid_44;pos:-475,50,425;rot:0,180,0;m:cuboid;scl:10,10,1;t:stone5;;
i:cuboid_45;pos:-525,50,395;rot:0,180,0;m:cuboid;scl:10,10,1;t:stone5;;
i:cuboid_46;pos:-525,50,395;rot:0,180,0;m:cuboid;scl:10,10,1;t:stone5;;
i:cuboid_47;pos:-525,50,455;rot:0,180,0;m:cuboid;scl:10,10,1;t:stone5;;
i:cuboid_48;pos:-575,50,425;rot:0,180,0;m:cuboid;scl:1,10,7;t:stone5;;
i:cuboid_49;pos:-687.5,50,705;rot:0,180,0;m:cuboid;scl:63.5,10,1;t:stone5;;
i:cuboid_50;pos:-540,50,645;rot:0,180,0;m:cuboid;scl:12,10,1;t:stone5;;
i:cuboid_51;pos:-600,50,250;rot:0,180,0;m:cuboid;scl:1,10,80;t:stone5;;
i:cuboid_52;pos:-775,50,645;rot:0,180,0;m:cuboid;scl:35,2,1.05;t:stone5;;
i:cuboid_53;pos:-825,50,575;rot:0,180,0;m:cuboid;scl:30,2,1.05;t:stone5;;
i:cuboid_54;pos:-775,50,505;rot:0,180,0;m:cuboid;scl:25,2,1.05;t:stone5;;
i:cuboid_55;pos:-825,50,435;rot:0,180,0;m:cuboid;scl:20,2,1.05;t:stone5;;
i:cuboid_56;pos:-775,50,365;rot:0,180,0;m:cuboid;scl:15,2,1.05;t:stone5;;
i:cuboid_57;pos:-825,50,295;rot:0,180,0;m:cuboid;scl:35,2,1.05;t:stone5;;
i:cuboid_58;pos:-645,50,200;rot:0,180,0;m:cuboid;scl:1,10,20;t:stone5;;
i:cuboid_59;pos:-640,50,50;rot:0,233.1301,0;m:cuboid;scl:1,10,10;t:stone5;;
i:cuboid_60;pos:-683,50,74;rot:0,233.1301,0;m:cuboid;scl:1,10,10;t:stone5;;
i:cuboid_61;pos:-640,50,-117.5;rot:0,126.8699,0;m:cuboid;scl:1,10,10;t:stone5;;
i:cuboid_62;pos:-683,50,-143.5;rot:0,126.8699,0;m:cuboid;scl:1,10,10;t:stone5;;
i:cuboid_63;pos:-678,50,-33.75;rot:0,180,0;m:cuboid;scl:1,10,11.55;t:stone5;;
i:cuboid_64;pos:-725,50,-33.75;rot:0,180,0;m:cuboid;scl:1,10,17.5;t:stone5;;
i:cuboid_65;pos:-600,50,-174.5;rot:0,180,0;m:cuboid;scl:10,10,1;t:stone5;;
i:cuboid_66;pos:-577.5,50,-146.5;rot:0,180,0;m:cuboid;scl:5.1,10,1;t:stone5;;
i:cuboid_67;pos:-540,20,-160.5;rot:0,180,0;m:cuboid;scl:3,4.5,2.5;t:stone5;;
i:cuboid_68;pos:-540,77.5,-160.5;rot:0,180,0;m:cuboid;scl:3,4.5,2.5;t:stone5;;
i:cuboid_69;pos:-537.5,50,-174.5;rot:0,180,0;m:cuboid;scl:3,4.5,1;t:stone5;;
i:cuboid_70;pos:-537.5,50,-146.5;rot:0,180,0;m:cuboid;scl:3,4.5,1;t:stone5;;
i:cuboid_71;pos:-524,37.5,-160.5;rot:0,180,0;m:cuboid;scl:0.2,1,2;t:stone5;;
i:cuboid_72;pos:-524,50,-135;rot:0,180,0;m:cuboid;scl:1,10,3;t:stone5;;
i:cuboid_73;pos:-524,50,-185;rot:0,180,0;m:cuboid;scl:1,10,3;t:stone5;;
i:cuboid_74;pos:-490,50,-195;rot:0,180,0;m:cuboid;scl:10,10,1;t:stone5;;
i:cuboid_75;pos:-490,50,-125;rot:0,180,0;m:cuboid;scl:10,10,1;t:stone5;;
i:sphere_76;pos:-150,80,-161;rot:0,180,0;m:sphere;t:stone5;clr:127,127,127,255;;
i:cuboid_77;pos:200,50,-195;rot:0,180,0;m:cuboid;scl:10,10,1;t:stone5;;
i:cuboid_78;pos:175,50,-125;rot:0,180,0;m:cuboid;scl:5,10,1;t:stone5;;
i:cuboid_79;pos:400,50,-250;rot:0,180,0;m:cuboid;scl:1,10,30;t:stone5;;
i:cuboid_80;pos:362,50,-426;rot:0,233.1301,0;m:cuboid;scl:1,10,10;t:stone5;;
i:cuboid_81;pos:375,50,-500;rot:0,180,0;m:cuboid;scl:1,10,1;t:stone5;;
i:cuboid_82;pos:288,50,-426;rot:0,126.8699,0;m:cuboid;scl:1,10,10;t:stone5;;
i:cuboid_83;pos:250,50,-250;rot:0,180,0;m:cuboid;scl:1,10,30;t:stone5;;
i:cuboid_84;pos:205,50,-100;rot:0,180,0;m:cuboid;scl:1,10,6;t:stone5;;
i:cuboid_85;pos:325,50,-75;rot:0,180,0;m:cuboid;scl:25,10,1;t:stone5;;
i:cuboid_86;pos:325,50,-225;rot:0,180,0;m:cuboid;scl:1,10,30;t:stone5;;
i:cuboid_87;pos:450,50,-305;rot:0,180,0;m:cuboid;scl:1,10,45;t:stone5;;
i:cuboid_88;pos:450,50,-530;rot:0,180,0;m:cuboid;scl:35,10,1;t:stone5;;
i:cuboid_89;pos:250,50,-500;rot:0,180,0;m:cuboid;scl:1,10,20;t:stone5;;
i:cuboid_90;pos:430,50,-595;rot:0,180,0;m:cuboid;scl:35,10,1;t:stone5;;
i:cuboid_91;pos:630,50,-695;rot:0,180,0;m:cuboid;scl:1,10,35;t:stone5;;
i:cuboid_92;pos:250,50,-750;rot:0,180,0;m:cuboid;scl:1,10,30;t:stone5;;
i:cuboid_93;pos:450,50,-625;rot:0,180,0;m:cuboid;scl:35,10,1;t:stone5;;
