    VariableInt.Set("numberOfTitans", 5);
    VariableFloat.Set("point1X", );
    VariableFloat.Set("point1Y", );
    VariableFloat.Set("point1Z", );

    VariableFloat.Set("point2X", );
    VariableFloat.Set("point2Y", );
    VariableFloat.Set("point2Z", );

    VariableFloat.Set("point3X", );
    VariableFloat.Set("point3Y", );
    VariableFloat.Set("point3Z", );

    VariableFloat.Set("point4X", );
    VariableFloat.Set("point4Y", );
    VariableFloat.Set("point4Z", );

    VariableFloat.Set("point5X", );
    VariableFloat.Set("point5Y", );
    VariableFloat.Set("point5Z", );

    VariableFloat.Set("point6X", );
    VariableFloat.Set("point6Y", );
    VariableFloat.Set("point6Z", );

    VariableFloat.Set("point7X", );
    VariableFloat.Set("point7Y", );
    VariableFloat.Set("point7Z", );

    VariableFloat.Set("point8X", );
    VariableFloat.Set("point8Y", );
    VariableFloat.Set("point8Z", );

    VariableFloat.Set("point9X", );
    VariableFloat.Set("point9Y", );
    VariableFloat.Set("point9Z", );

    VariableFloat.Set("point10X", );
    VariableFloat.Set("point10Y", );
    VariableFloat.Set("point10Z", );


misc,region,MC,2147483647,2147483647,2147483647,0,0,0,0,0,0,1;
spawnpoint,playerM,-2.5,-9985,-2.5,0,0,0,1;
custom,cuboid,metal4,3.5,0.5,0.5,0,1,1,1,0.35,0.05,-52.5,-9960,52.5,0,0,0,-1;
custom,cuboid,metal4,3.5,0.5,0.5,0,1,1,1,0.35,0.05,-37.5,-9960,67.5,0,0.7070168,0,0.7070168;
custom,cuboid,metal4,3.5,0.5,0.5,0,1,1,1,0.35,0.05,-52.5,-9960,82.5,0,1,0,0;
custom,cuboid,metal4,3.5,0.5,0.5,0,1,1,1,0.35,0.05,-67.5,-9960,67.5,0,0.7070168,0,0.7070168;
//photon,spawnTitan,0,0,-52.5,-9984,67.5,0,1,0,0;
custom,cuboid,metal4,3.5,0.5,0.5,0,1,1,1,0.35,0.05,-52.5,-9960,112.5,0,0,0,-1;
custom,cuboid,metal4,3.5,0.5,0.5,0,1,1,1,0.35,0.05,-37.5,-9960,127.5,0,0.7070168,0,0.7070168;
custom,cuboid,metal4,3.5,0.5,0.5,0,1,1,1,0.35,0.05,-52.5,-9960,142.5,0,1,0,0;
custom,cuboid,metal4,3.5,0.5,0.5,0,1,1,1,0.35,0.05,-67.5,-9960,127.5,0,0.7070168,0,0.7070168;
//photon,spawnTitan,0,0,-52.5,-9984,127.5,0,1,0,0;
custom,cuboid,metal4,3.5,0.5,0.5,0,1,1,1,0.35,0.05,-52.5,-9960,172.5,0,0,0,-1;
